size	Count
747	3
1154	1
1576	229
1429	5
1565	86
1397	7
1566	102
1569	27
1580	555
1209	8
1375	6
925	4
911	5
1571	67
1559	97
1570	47
1562	84
1433	7
1523	15
1578	63
1247	4
1174	6
290	1
1531	14
1199	3
1173	6
802	60
581	2
1572	38
555	6
664	4
1530	12
472	24
1467	10
1116	4
1550	14
1563	44
1547	20
941	2
517	10
1549	53
1310	2
1568	237
728	4
962	7
468	31
1496	15
477	4
1180	11
469	152
1541	19
893	3
1077	3
1312	2
1504	14
1378	9
1515	8
1299	5
1383	1
696	3
1532	17
849	3
992	14
1528	11
987	4
436	3
1293	14
1256	3
615	4
1097	5
1543	20
1527	14
1087	3
1556	47
1483	4
998	12
511	5
1050	9
1488	8
1227	9
1257	4
709	25
1587	12
1400	1
506	2
1479	6
455	27
673	25
968	2
531	25
1229	6
1412	7
1380	3
712	12
1557	37
569	18
1243	6
574	17
576	2
1240	29
1379	2
1536	25
1425	10
724	1
450	14
1477	9
1061	6
1237	9
1540	18
1253	3
619	3
960	4
1414	5
719	3
1561	46
1582	22
1491	11
757	7
862	5
772	2
1275	18
1158	5
252	2
798	12
1558	38
1456	5
1514	7
1365	5
1564	59
1575	63
763	4
1108	4
1567	69
1493	6
1075	5
1442	8
1455	5
1513	16
1590	20
1372	8
562	4
1473	6
435	10
1279	8
451	14
944	4
1292	8
990	18
288	5
733	5
1345	8
698	4
1343	7
826	1
1457	6
1533	17
1573	41
652	6
700	5
711	21
437	5
1512	26
601	1
504	6
1200	6
1413	4
637	1
1032	6
1394	10
1276	10
1579	101
1509	7
1185	5
699	6
1526	13
1273	5
1494	5
785	12
859	17
1505	11
1524	16
714	3
1323	4
1316	3
1535	18
1522	10
1071	7
901	7
1101	2
1327	1
1251	4
1339	7
937	2
1507	10
952	1
1554	61
779	4
1539	19
1395	4
1344	4
1016	3
1447	3
457	2
695	4
789	4
915	28
1546	20
1468	7
1235	11
970	6
964	3
1388	6
1000	6
936	2
1369	10
1217	1
1443	2
713	11
1239	25
360	4
1440	4
485	1
1521	11
1453	7
1498	10
1315	14
1518	13
476	5
471	12
1350	4
1574	48
1588	11
1534	22
971	3
1255	3
512	9
1043	6
966	2
474	10
1435	2
1278	2
697	3
791	8
1284	6
1354	3
869	3
701	4
1376	5
787	10
1078	11
1489	9
1219	4
1495	7
1462	8
923	1
744	2
1131	2
467	8
707	4
1548	35
1553	29
1552	31
475	16
883	10
1474	10
797	7
502	1
1013	4
1377	6
479	19
912	4
855	4
1179	4
1224	5
784	2
1153	2
671	7
1382	2
847	1
609	8
1392	11
1359	6
1364	5
446	8
1249	4
898	2
974	6
230	1
865	9
1487	4
1555	25
1431	6
1342	4
718	4
1408	5
1025	3
1212	6
788	13
891	3
878	3
454	10
1338	2
1551	33
1352	2
579	2
596	2
879	3
1146	1
465	25
245	2
335	1
1432	5
1337	2
801	11
988	4
1049	2
1222	3
1193	3
1502	15
1175	4
827	3
1466	9
536	4
1250	6
1093	4
658	4
1538	15
805	17
1135	4
464	17
1054	4
983	7
1300	8
1289	3
1503	12
