size	Count
467	2308
432	2
450	24
830	5
855	4
933	2
776	8
1530	6
465	188
694	1
464	167
1287	1
949	1
449	37
660	111
1301	11
458	40
912	5
913	3
607	1
446	27
1392	1
1270	1
1288	3
1537	3
453	82
627	1
1551	4
635	3
1546	2
459	71
1557	4
865	3
577	2
1444	4
1463	2
1573	5
550	1
1501	18
466	185
1339	2
208	1
740	1
1340	1
1308	2
451	54
889	5
638	1
706	2
958	2
1555	4
1567	9
1492	1
1233	4
929	4
1315	1
447	9
1505	3
930	4
1464	4
1165	2
455	15
471	29
631	3
800	2
900	5
454	9
1576	8
1569	6
435	3
946	1
747	4
1402	1
1016	2
1182	1
1372	1
1202	4
932	7
1491	3
452	18
1516	3
513	1
1277	2
787	1
1105	2
860	4
882	2
1088	1
1310	3
819	4
1247	2
967	4
906	2
661	2
1513	5
1466	2
617	1
1141	1
1454	3
1109	2
891	1
886	1
1531	2
877	1
1488	1
825	4
1471	5
710	2
485	7
1280	3
895	3
1196	2
462	101
859	2
1494	4
463	67
1199	2
1285	2
1485	3
1468	2
922	8
1032	1
768	2
1572	6
436	5
789	3
443	6
853	4
1547	6
1002	1
440	3
910	1
786	2
655	10
926	2
1568	2
1314	6
460	25
1581	3
852	2
614	3
478	1
612	1
1146	2
1290	1
1260	1
613	2
1312	1
1091	1
1458	1
1532	1
487	1
461	49
1538	9
908	4
1246	1
413	3
869	3
1554	4
510	1
1370	1
873	3
824	8
406	1
894	2
834	1
849	2
1111	1
676	2
1225	2
1278	2
541	2
1273	2
795	3
1544	4
881	3
1076	1
1562	5
1426	3
1323	1
896	3
1096	3
880	1
867	5
439	5
527	1
540	1
925	1
428	3
1173	1
382	1
816	1
1008	1
1550	4
828	1
1460	2
1435	1
1574	3
940	7
1320	2
921	4
678	1
476	1
448	14
1512	6
745	1
934	3
1563	3
1268	1
931	9
1089	2
1205	2
871	1
1159	2
1526	2
791	3
1219	2
1553	4
794	2
944	1
1475	1
996	3
966	1
862	4
876	2
1241	1
1248	1
848	1
342	2
875	7
1279	3
1160	3
1305	1
1420	2
1359	2
1571	2
840	2
423	2
861	2
1067	1
330	1
762	3
1006	2
438	6
774	4
1385	4
418	3
531	2
798	4
1276	2
1489	1
1404	1
637	2
1534	3
1066	3
850	3
569	1
456	15
1094	1
1325	5
1490	3
1255	1
528	2
872	3
477	1
788	1
924	4
486	1
904	3
468	5
1394	1
821	2
796	1
928	7
1561	4
1441	2
1445	2
725	3
1524	5
512	1
1545	1
560	3
642	2
997	2
941	4
395	1
716	1
1294	1
1252	1
507	1
845	1
567	3
1040	1
1358	1
1565	6
1467	4
1282	4
442	6
827	2
1121	1
1317	2
1102	1
657	13
539	2
1510	1
1396	2
558	1
563	2
1479	6
475	1
780	1
885	2
1506	3
122	1
1335	1
1481	1
1484	2
699	1
936	2
633	3
1577	2
1579	3
659	9
322	1
297	1
681	2
1231	1
722	2
854	1
625	1
833	2
457	23
829	3
1496	3
902	1
1566	5
874	4
405	1
702	1
686	2
1302	2
792	3
753	1
953	2
893	3
974	3
573	1
1236	2
1351	1
1326	1
815	2
1541	2
805	1
534	4
717	1
490	2
939	3
618	1
1028	1
719	1
897	2
1433	3
1417	1
425	2
843	3
509	2
1542	2
1560	1
1457	2
709	1
1365	1
927	2
1424	1
760	1
733	1
756	2
1504	2
935	3
892	2
1086	1
918	3
621	2
651	3
1419	1
781	2
1456	2
565	2
844	3
1003	2
1543	1
503	1
890	2
1303	1
644	1
1058	2
1218	2
1564	1
994	3
1238	1
799	1
1414	1
1013	1
1461	1
1453	4
1449	3
1388	1
750	1
551	3
1434	1
746	1
1411	2
1486	2
909	2
537	1
239	1
1133	1
1271	1
1500	2
1327	1
1429	4
1191	2
1281	1
1575	2
803	4
822	3
937	3
309	1
907	5
870	4
976	2
1559	2
1410	1
911	5
835	3
1438	2
938	2
841	2
679	2
1497	3
755	1
1483	3
969	1
1533	2
1539	3
636	1
1198	1
806	2
325	1
1167	1
470	3
441	4
1019	1
1222	1
1523	1
1065	1
1446	3
687	1
1036	2
1188	3
1570	1
1587	2
1413	2
868	1
1509	1
1367	1
421	4
720	2
1183	2
808	1
517	1
1055	1
847	2
915	3
919	8
737	2
1072	1
542	1
1226	2
1584	1
1522	1
1176	2
645	1
562	2
778	3
1459	3
1153	1
809	1
770	1
630	1
692	2
611	1
1000	1
736	1
1054	1
393	1
1229	1
1115	1
469	2
1371	1
650	3
1487	2
879	2
688	1
1217	1
1074	1
628	1
1029	1
749	1
1177	1
751	1
1549	2
814	1
1376	2
842	1
1114	1
1514	1
1239	2
989	1
1242	2
664	1
1498	3
1267	1
1104	1
1432	2
1558	3
683	1
899	2
1540	1
1470	2
1309	1
1266	2
1529	3
1186	1
858	1
427	1
1145	1
665	2
1053	2
680	1
1126	2
586	1
1415	1
1134	1
219	1
1503	2
1181	1
758	3
993	1
914	2
1083	1
605	2
916	6
1431	1
784	1
1307	1
851	1
488	1
1259	1
832	1
615	1
846	1
1272	1
1507	2
1221	1
1286	2
917	1
1297	1
1363	1
734	2
1440	1
1113	1
654	3
695	2
1393	1
606	1
1107	1
690	1
1042	1
1169	1
715	3
321	1
437	6
662	2
656	4
1168	1
1348	1
793	1
313	1
1336	1
1499	2
1469	1
658	8
1289	1
1155	1
1215	1
1005	1
434	4
771	3
473	1
444	8
1261	1
1078	1
1578	1
643	1
884	2
1536	1
1344	1
866	1
1174	2
1192	2
489	1
1527	3
1337	1
783	1
1473	3
306	1
726	1
1535	2
764	2
1147	2
622	1
1214	2
433	1
396	1
581	1
164	1
1164	1
1476	1
381	1
1250	2
445	5
482	1
731	2
887	1
1235	2
920	1
1374	1
739	2
1162	1
856	2
538	1
1022	1
812	1
1234	1
1163	1
988	1
748	1
1190	1
743	1
653	1
1427	1
1334	1
685	2
1118	1
898	1
429	1
557	2
1362	1
1480	1
1172	1
1212	1
823	2
1398	1
516	1
742	1
1283	1
1405	1
1439	1
1318	2
1274	2
1063	1
693	1
1451	1
983	1
1447	1
417	1
1452	3
1306	1
1519	1
1442	1
496	1
1194	1
836	1
1406	1
1293	1
652	1
1195	1
1350	1
648	1
547	1
1059	1
1161	2
1208	1
826	1
1436	1
647	1
1304	1
1517	1
1291	2
1110	1
1412	1
1056	2
1148	1
411	2
864	1
1313	1
1085	1
548	1
394	1
419	2
401	2
294	1
1007	1
1408	1
142	1
398	1
1462	1
424	1
286	1
684	1
1070	1
754	1
1520	1
1031	1
1418	1
878	1
1341	1
1030	1
408	1
389	1
403	1
782	1
373	1
1130	1
337	1
302	1
1368	1
359	1
1409	1
649	1
696	1
347	1
1090	1
1097	1
984	1
1397	1
1377	1
1156	1
561	1
1343	1
1200	2
1220	1
1256	1
1128	1
598	1
1112	1
998	1
970	1
817	1
977	1
724	1
744	1
666	1
670	1
329	1
585	1
546	1
