size	Count
1019	7
1495	8
424	2
971	45
1148	39
1158	106
872	10
1588	40
470	1
1547	14
1457	6
1501	40
1459	25
1545	19
607	3
1550	6
1374	4
975	10
972	3
1447	132
1416	11
1462	13
1569	28
1446	19
987	3
796	5
895	30
1466	301
869	2
1150	9
954	31
821	17
1398	10
566	2
791	3
958	10
1010	1
925	22
711	2
1153	120
1323	2
1174	17
997	2
1573	15
1362	18
493	1
1551	11
1303	5
926	8
1561	14
827	2
864	2
1184	8
1568	31
826	3
921	166
1526	6
1346	27
514	2
1378	4
490	15
1187	2
534	1
568	5
1377	2
569	24
1149	12
1005	5
1154	22
523	1
807	5
1582	22
686	1
888	9
979	2
1195	3
1555	11
1480	14
783	1
706	8
1530	9
1580	17
956	2
803	17
1460	24
867	3
744	2
381	1
1540	13
1516	6
853	3
1388	6
1415	7
1544	26
1484	9
1146	13
949	6
1581	9
1472	21
1557	16
1156	21
1386	3
1169	7
1461	21
1399	6
1028	7
1518	13
940	28
557	2
1570	17
990	19
1438	6
1509	6
468	4
1092	4
340	1
1412	61
1180	5
994	5
1528	10
890	8
916	12
1147	19
1430	7
1179	3
833	2
1212	4
1302	4
1113	4
1265	3
1200	3
1056	4
1482	9
1571	17
748	1
1284	4
960	5
1591	7
1404	9
1107	2
1410	11
632	2
1562	26
1493	11
927	6
904	10
909	6
1572	22
1406	5
260	1
1517	6
936	21
1143	12
863	17
622	10
1567	20
1426	6
1328	5
274	1
373	1
1373	6
1397	6
1051	7
1298	1
474	5
1172	1
675	1
598	5
1470	7
1110	3
1574	30
1205	2
1455	11
189	1
935	12
733	2
1063	5
559	2
1575	11
1553	17
1468	12
968	7
1188	3
1260	7
1348	4
567	1
1577	23
1098	5
1424	2
1475	9
1436	6
1492	7
1053	4
1208	5
970	4
1515	8
606	7
1549	16
1439	7
1441	11
1159	4
1151	15
1542	11
1422	6
716	1
1181	5
1445	15
1152	41
1586	16
1176	4
448	1
1420	5
542	3
1042	4
1307	2
1469	16
1141	5
1040	4
1532	11
762	2
865	3
1576	13
1478	11
922	6
886	35
1354	4
1556	15
1344	4
1021	8
1450	3
1559	14
1352	12
1538	22
917	8
1440	12
1022	3
772	1
1499	7
1394	5
398	1
693	1
1199	5
1165	7
1041	4
929	5
1282	6
1537	16
943	2
1078	3
590	1
1496	7
836	2
1183	2
591	3
1338	5
714	2
1059	5
945	3
666	1
1497	13
996	3
831	6
1395	2
1423	3
1134	5
1029	3
1451	2
1192	3
1112	3
1514	14
1170	4
1120	2
928	4
1246	2
1565	19
1144	13
670	2
678	1
918	14
1490	9
1578	14
570	2
983	5
1444	11
1464	30
884	3
1335	5
1494	7
1025	8
933	5
1595	4
1116	8
1579	23
1248	2
1267	2
963	2
157	1
992	8
475	4
1333	6
1329	4
1477	10
1123	2
1315	2
1145	11
1318	2
704	3
1529	7
602	14
498	1
854	1
1189	11
677	3
1503	8
1245	14
1589	3
866	4
1364	4
1060	3
1409	10
1524	6
1560	11
1074	3
1520	16
1096	1
192	1
599	7
1334	3
1011	3
1456	5
1105	5
1023	6
1442	16
1300	2
1077	4
1048	4
1566	22
1239	6
1070	2
1062	10
1177	5
1232	10
1083	4
730	5
1138	3
1330	3
870	2
640	3
626	1
1585	11
944	8
1230	4
955	2
835	4
1421	4
995	6
655	1
1564	26
538	1
1026	2
1201	7
1552	18
1256	5
1007	3
578	3
1142	7
1502	5
932	2
1016	2
1304	1
1531	10
1085	4
1064	2
961	2
1259	6
1505	14
1380	6
1326	6
1136	3
1391	6
1563	15
1017	5
1349	2
1407	9
1535	10
801	6
757	2
629	1
1047	4
533	1
876	3
860	7
1489	7
1419	8
1253	4
897	2
1097	10
903	4
1486	10
777	2
1289	4
1030	3
845	1
708	3
1525	12
1124	4
758	3
837	2
612	2
1369	4
1000	2
1296	2
825	2
1476	10
861	7
1247	8
769	7
701	4
1427	7
1583	7
1193	4
1587	12
797	2
1473	13
1087	3
548	2
1536	11
770	2
1471	8
720	1
1453	11
585	4
564	2
426	3
765	1
1543	16
964	5
1119	2
1507	2
1262	3
1548	9
1204	2
1534	9
962	5
1454	2
660	1
574	6
1093	6
1337	4
787	4
577	1
1155	18
1467	7
1413	7
1052	4
1290	7
1258	2
596	2
1031	4
680	2
1094	3
1449	7
1238	5
185	4
1584	10
798	3
573	1
976	3
521	2
265	1
1288	3
784	4
941	4
1281	4
919	13
647	1
1483	6
1498	13
563	1
882	1
718	1
384	2
1032	4
1539	10
1558	18
1401	5
877	4
906	1
1117	3
1001	1
1382	5
634	1
529	2
1254	4
893	3
1069	6
1372	10
795	4
785	3
1511	14
764	2
1075	2
1161	7
1400	4
732	1
1375	4
1073	6
1055	3
1237	2
912	3
1381	6
848	2
1513	4
1418	5
698	2
840	2
878	2
208	1
847	2
1405	7
697	4
679	4
1500	5
1089	4
1020	4
