size	Count
499	1
141	1
824	1
888	1
444	1
440	3
583	1
817	2
5112	1
1782	1
759	1
673	1
329	1
259	1
463	1
439	2
728	1
736	3
455	2
291	1
260	1
405	1
1818	1
273	1
194	1
429	1
301	1
400	2
2241	1
506	1
1546	3
978	4
1647	4
980	1
3789	1
1615	5
1526	2
1075	4
955	1
1057	2
1623	4
1534	1
489	4
457	1
1552	3
965	3
1135	1
1551	8
1549	6
1632	3
1957	1
973	2
571	1
1666	1
3940	1
1608	23
1621	6
1265	2
2012	1
481	5
1641	3
3939	1
1604	6
761	2
2662	1
1464	2
962	5
1614	26
1018	1
1532	8
1675	2
1492	1
582	1
1629	15
1607	9
477	3
1107	2
1887	2
668	4
1620	4
1704	3
1452	2
1613	23
1415	4
1124	1
1631	10
1610	11
1630	20
1636	14
3772	1
469	8
1478	3
1073	7
1611	5
1600	3
1473	1
1418	1
1851	2
461	3
1447	1
416	1
1760	1
1709	2
1517	3
1491	4
1009	3
2325	1
3919	1
1583	2
3938	6
4510	2
967	3
3954	2
1617	3
491	4
1812	7
1655	4
4523	1
908	2
1455	1
1886	2
531	2
1734	2
1618	10
1554	9
623	2
1405	1
1318	1
1489	2
1544	3
1624	6
1688	15
1820	1
1676	3
1687	10
1601	5
578	1
1661	2
2677	2
1725	2
1791	2
1680	4
1598	5
2029	3
4522	3
513	3
1633	4
386	1
3934	3
3937	7
1550	12
1694	2
464	9
1738	2
493	2
2179	1
4830	1
1504	1
1037	4
1068	11
1635	9
1528	2
1501	1
1586	3
1862	4
1531	3
1040	8
1737	4
487	11
565	1
1603	2
1566	3
555	1
468	2
4331	1
507	1
1059	2
2034	1
1522	3
1559	2
1724	2
460	2
346	1
4508	2
1077	2
471	2
459	2
1471	2
1344	1
2905	1
483	2
1281	1
1424	2
1509	3
1702	2
1606	5
474	4
1581	2
4524	4
525	1
1804	2
1664	4
1054	2
1404	2
1434	1
345	1
3901	2
1061	2
1499	1
557	1
4028	1
1646	1
985	1
553	2
690	2
547	1
4313	1
1055	7
1650	2
815	2
1497	1
4139	1
847	1
1853	2
3753	1
1578	3
1656	1
554	1
527	1
3917	1
1798	4
1649	3
916	2
1692	1
1580	3
779	1
997	1
3827	1
1470	1
1685	4
1701	3
1813	4
1482	6
1626	2
994	1
475	3
742	2
1612	6
1665	3
1756	2
1441	2
456	3
738	1
1937	1
1092	1
1803	1
610	2
979	2
490	1
4512	1
1438	1
681	1
1042	2
1735	2
625	1
