size	Count
752	11
670	12
1875	4
497	7
547	7
777	8
2382	2
548	7
1158	6
1092	7
241	7
1442	3
688	14
2237	3
2106	1
661	7
741	11
1270	3
246	13
544	8
782	16
785	15
636	12
977	4
726	5
436	14
557	8
863	12
667	4
452	16
391	11
541	11
868	6
561	9
624	11
421	6
485	8
493	9
490	16
495	10
469	6
689	4
592	13
482	14
708	6
477	8
367	13
1053	4
467	11
457	9
608	9
362	8
464	10
471	6
645	4
456	20
461	9
418	9
458	10
333	11
849	8
1201	3
447	18
1262	6
508	5
450	12
449	14
273	6
615	12
453	9
413	5
712	10
444	7
724	4
439	12
327	15
448	22
238	9
674	6
435	7
422	9
1486	1
1407	2
677	9
437	14
427	17
428	10
513	9
393	14
445	11
1285	5
825	10
433	14
434	12
406	13
3575	1
389	15
396	9
263	6
430	12
323	14
682	12
693	6
584	4
743	8
822	16
1245	6
2337	2
442	13
555	8
945	3
2289	2
1087	4
698	7
890	6
1332	9
1084	3
805	19
673	5
970	8
1308	1
935	6
1082	6
1532	3
572	4
876	8
431	13
588	16
316	6
854	11
438	12
937	4
911	5
1025	4
308	11
671	8
440	12
347	7
375	17
441	13
340	15
1113	6
552	13
395	12
358	11
696	13
631	14
824	18
831	16
829	10
455	9
932	4
761	10
823	15
315	6
535	8
646	9
370	13
837	11
691	4
311	10
463	9
858	12
734	14
611	10
350	7
301	8
491	8
429	8
725	4
784	9
729	7
747	6
888	7
778	18
415	14
443	11
454	11
581	10
123	1
284	10
379	18
425	12
288	10
1524	3
210	7
789	14
651	7
685	6
799	12
749	15
826	11
666	9
516	8
644	9
844	14
564	11
616	14
679	11
680	8
870	10
701	7
869	6
583	6
832	13
864	10
577	10
842	10
409	14
420	15
595	9
897	8
426	9
637	4
563	8
803	25
337	9
525	9
853	9
400	10
722	9
411	15
401	6
833	24
1128	4
384	15
665	11
653	6
382	13
740	11
1258	7
807	15
511	10
380	17
372	17
834	13
378	13
374	13
621	4
369	8
402	10
223	11
292	10
848	14
3469	1
1139	2
342	12
305	3
704	7
635	7
412	15
293	13
484	11
627	9
313	6
232	6
366	12
240	9
354	13
520	13
650	11
643	4
390	13
286	6
260	11
256	14
502	12
921	10
289	11
531	9
307	9
394	11
314	12
545	8
999	3
386	12
575	12
582	12
244	9
527	14
479	13
192	11
344	9
2109	2
235	5
226	7
257	10
2555	3
116	1
546	12
721	5
759	9
512	7
297	11
569	8
345	10
488	9
675	7
1559	2
320	9
686	6
510	5
138	1
282	6
560	6
312	11
228	7
388	12
302	9
446	13
414	7
683	4
979	6
543	13
460	17
147	4
178	7
468	9
719	8
303	11
371	8
451	17
1605	4
506	10
300	10
424	9
276	11
1029	6
571	8
514	10
533	9
558	10
214	13
465	8
339	10
376	12
3212	1
617	6
213	24
492	2
419	5
1050	7
416	16
167	4
145	2
3116	3
1821	3
946	5
1269	4
200	16
383	13
360	14
205	6
341	3
253	9
804	10
473	12
887	7
361	15
537	13
612	10
408	11
349	12
182	7
160	3
177	5
255	6
351	7
217	10
328	7
941	3
166	4
521	13
329	10
334	10
407	12
364	11
359	7
1613	4
387	15
478	5
247	6
227	3
343	17
159	3
363	12
518	9
186	2
550	4
197	9
187	9
489	14
399	7
290	16
475	8
2170	2
332	11
483	8
191	6
3245	1
295	8
1247	3
352	10
381	9
324	10
480	13
296	5
338	7
756	9
767	9
505	12
517	9
230	4
317	13
330	7
181	9
738	6
1326	5
124	1
331	16
503	14
786	10
250	10
586	9
500	11
779	10
326	14
459	10
397	7
530	7
120	3
1932	2
900	8
1639	1
174	7
377	18
466	7
534	12
336	11
1327	2
695	13
180	6
1567	6
319	10
423	4
2779	3
184	8
306	5
994	6
3008	3
732	7
559	5
634	10
278	4
499	4
194	11
556	11
1379	3
285	8
318	12
196	3
403	8
576	11
140	3
175	7
357	5
638	9
765	10
229	6
481	8
272	7
470	8
522	10
969	4
739	10
398	9
568	9
498	9
655	6
346	10
3407	1
176	3
179	6
275	8
820	12
254	8
705	11
405	12
168	1
432	7
171	6
642	6
410	10
718	5
1206	6
1805	3
519	5
553	6
948	4
267	8
283	7
264	7
353	7
590	8
373	7
609	8
783	11
681	7
566	7
2656	1
154	3
2215	1
356	9
2958	1
1061	2
1419	5
606	10
274	7
1475	2
2135	2
1656	2
579	9
259	11
950	2
1636	2
1294	6
649	5
1122	2
770	4
1626	1
1060	8
1614	3
976	6
3458	1
3713	1
1273	3
1380	2
662	14
1818	1
1544	5
1152	3
1123	7
2385	2
975	2
144	1
580	11
3156	3
1473	5
591	10
1958	2
955	3
3375	1
802	11
1553	4
991	8
597	14
472	11
598	4
562	9
1685	3
1383	2
1635	2
1838	3
3200	1
601	11
540	9
585	10
1409	4
487	9
934	4
494	16
618	11
1197	6
