size	Count
599	5
1038	8
388	7
629	4
857	4
177	6
1364	8
308	10
773	5
1646	7
341	7
625	3
1240	5
1184	23
396	8
176	3
1192	9
795	7
1181	11
431	6
682	12
727	5
665	5
443	7
407	6
495	7
406	7
744	3
1664	9
719	3
541	6
552	9
975	6
414	6
817	6
914	8
574	7
437	8
838	12
508	6
314	11
327	6
266	4
397	12
793	9
362	3
355	10
877	6
761	6
265	7
320	3
246	4
1803	48
1161	7
1175	8
706	6
1291	18
1098	7
786	13
677	7
449	9
358	11
1070	10
346	5
463	6
924	9
1032	8
702	8
2194	6
1138	5
683	7
768	6
283	7
235	4
438	9
697	10
373	4
1043	5
381	8
806	5
201	9
494	5
866	18
756	5
701	7
331	10
588	5
2256	4
640	8
1044	13
981	8
427	5
568	9
1386	3
1383	5
513	8
509	5
1089	6
707	5
499	11
453	5
432	6
548	5
291	11
724	6
2009	3
1348	5
669	7
435	7
448	10
1788	5
1559	6
2206	2
1793	18
1344	7
803	7
412	8
696	5
536	7
1296	10
670	11
316	10
1261	63
468	9
623	7
323	10
1135	3
656	7
1196	6
931	12
831	5
584	11
675	10
526	8
343	3
421	9
847	13
521	5
347	6
337	8
542	7
607	11
833	12
1197	2
482	11
478	7
1659	21
529	8
433	8
695	7
896	7
203	3
638	7
344	6
162	2
1139	2
1067	8
302	7
1251	10
722	9
755	5
200	5
737	2
1569	4
1534	9
1179	10
1504	6
1515	5
1674	17
2160	4
2270	4
960	6
1648	8
1686	15
954	5
709	9
289	5
1343	11
1171	11
2028	2
2488	3
867	5
1444	6
1379	5
2811	1
2021	2
1178	8
1180	15
610	7
1538	9
245	6
1767	13
179	3
860	8
739	9
1687	10
810	6
1118	7
585	5
856	5
661	13
628	8
2806	1
480	9
1289	7
338	6
698	6
1467	4
354	4
311	8
1256	12
328	5
1293	12
1292	12
1224	3
991	6
778	7
749	5
310	8
2956	1
1680	10
2184	3
777	5
827	10
808	8
1449	6
1347	10
207	2
425	5
708	7
671	4
1149	6
1993	6
411	6
684	7
579	12
1007	8
514	13
885	11
276	8
704	5
861	4
2403	4
691	8
686	8
1461	6
681	8
878	10
688	9
790	3
280	3
589	8
361	4
690	7
520	9
1699	70
700	9
557	3
718	6
1986	1
972	6
1069	5
723	4
345	4
711	5
839	8
635	10
363	7
673	11
667	3
962	10
893	7
1234	5
1895	7
1988	1
633	5
518	6
699	6
753	6
1714	5
227	1
654	6
692	8
1992	1
715	3
544	7
512	7
911	6
342	6
703	7
1959	5
224	8
855	9
489	8
658	6
511	3
515	6
932	11
439	6
762	7
517	8
882	12
713	8
1831	3
720	6
2567	1
416	8
504	9
657	8
1183	9
693	13
594	6
1560	3
286	3
2335	1
2489	3
255	7
641	5
366	5
1825	3
532	2
705	11
1005	9
1428	5
4742	1
689	6
1562	5
764	7
2032	3
631	3
298	7
609	8
467	9
399	7
712	8
275	4
2236	2
797	9
1527	3
558	7
2119	2
956	8
371	3
1721	8
1110	51
800	7
2063	2
822	4
1977	7
1131	7
651	9
567	8
745	6
666	7
608	8
1524	3
802	9
1209	2
264	7
458	14
1488	4
211	4
915	10
580	16
213	6
1363	9
476	7
1250	14
987	11
208	5
261	8
528	4
1238	5
1030	6
2324	2
876	9
2237	3
2283	2
632	6
3458	1
1020	8
642	6
1212	8
1352	8
380	10
826	6
618	9
3750	1
454	5
503	7
2081	2
1689	16
501	6
2198	7
1567	3
477	6
2677	1
1033	12
1342	5
728	9
1310	7
3341	1
250	8
1448	5
955	8
553	7
595	5
1507	3
2708	1
941	3
1454	3
644	5
1511	5
2020	3
1011	10
1000	5
966	4
1042	9
1041	9
1899	2
980	9
887	4
402	8
851	5
332	4
1078	7
645	4
863	6
1458	6
277	5
717	5
452	10
868	9
1901	5
305	8
300	11
591	7
1550	5
2131	1
1341	5
1712	9
1321	6
1104	13
313	8
315	6
1842	4
565	10
303	6
1608	5
1643	8
587	9
349	3
1400	2
1667	10
676	6
1565	3
2477	1
1366	10
1897	3
1834	3
1506	3
147	8
1666	79
1155	12
1657	18
1264	69
1879	3
1410	4
1439	3
1637	5
818	3
1675	5
1549	3
1416	6
1595	5
1579	5
815	8
1320	7
1633	5
1963	2
1566	4
263	4
1939	3
86	1
1578	5
1665	62
1088	6
1340	6
1937	2
368	6
555	8
1223	3
1440	5
1377	12
1022	14
2012	2
1336	7
1068	5
1693	32
1193	9
1673	7
1397	2
1275	5
1390	3
1111	7
936	4
639	3
668	11
1494	2
248	6
560	9
1109	14
1496	6
1025	5
1058	5
1590	8
943	6
788	8
1323	5
1187	40
840	13
1213	5
257	5
614	10
1492	7
259	6
1581	2
2848	1
2310	1
271	9
1571	2
1305	8
1609	5
2992	1
947	3
968	7
1523	4
530	9
1014	7
1381	5
3086	1
472	7
1485	6
1573	3
1472	6
1630	3
1528	6
1214	6
2108	3
1277	7
1302	6
1295	9
1108	5
258	6
1354	4
1150	5
1174	8
920	3
1144	5
1307	4
979	3
1299	4
1483	2
348	4
301	9
1037	9
1339	5
1434	4
1297	9
1470	7
1406	3
2544	2
592	8
1945	2
760	4
816	11
522	5
462	7
1087	5
1308	5
1429	5
2770	1
921	9
253	6
1258	21
1244	5
1112	6
1096	2
1123	9
1027	12
350	7
785	5
908	2
1126	3
1021	13
976	4
254	6
457	8
569	7
1826	2
456	2
390	5
267	2
647	4
562	6
445	7
146	6
685	11
664	7
455	7
1216	5
202	1
2769	1
774	6
850	8
951	6
290	4
581	4
128	2
1484	4
395	5
1545	7
1182	11
2058	2
251	7
2191	4
240	5
474	7
1773	30
750	6
742	9
212	3
180	5
746	7
546	6
440	8
743	9
307	12
484	6
524	7
496	7
679	6
507	7
1980	2
498	4
502	6
364	7
312	11
444	6
2188	6
910	5
505	8
1016	8
2142	2
282	6
422	4
351	3
470	4
534	3
278	3
230	5
1389	4
1324	7
1519	7
465	5
197	4
554	7
1460	9
2122	1
2480	1
150	3
155	5
1735	2
170	4
428	5
287	6
1023	7
191	2
1743	5
578	3
479	9
434	8
151	2
1099	4
1967	6
1266	25
1105	7
834	6
829	13
1814	7
1651	3
382	8
1002	5
1402	3
3331	1
891	11
1591	1
3525	1
317	6
297	3
423	8
1865	1
506	5
142	4
1741	8
1353	7
1732	7
648	2
1426	2
220	4
1322	8
1408	1
1054	9
1073	5
243	4
590	6
492	5
1605	3
1065	6
1158	4
1499	3
938	5
1024	6
1349	7
1226	8
1593	2
1039	6
2281	1
2133	5
1100	6
953	6
1206	7
242	4
1878	2
365	2
309	6
231	3
1468	8
1610	6
1090	8
942	4
241	5
2089	1
1912	1
359	2
1908	4
1433	3
1787	10
1771	34
957	9
2205	1
4255	1
232	5
210	1
1858	2
1780	6
538	4
2075	3
897	4
171	6
353	8
1669	8
218	3
757	5
1520	5
1235	10
1086	5
1325	4
374	3
1747	5
1537	2
217	2
852	5
3413	2
1368	15
2052	3
1522	4
1413	5
1130	2
228	2
1475	5
1725	5
2121	1
729	6
828	8
1260	18
1851	2
627	3
1278	8
952	8
1338	7
4119	1
1548	7
933	5
1921	5
1679	12
1968	5
2496	1
1312	3
2645	1
2377	1
1856	4
2069	4
2037	1
1934	2
1840	3
1843	3
1723	5
1583	6
1503	6
1360	9
1257	15
1136	5
2019	3
1635	3
606	4
1239	6
1081	5
1319	6
1165	8
1624	3
906	6
1298	7
996	6
1031	10
1116	4
781	6
1314	6
837	12
796	6
603	4
1232	8
1392	2
519	3
929	12
1818	11
2348	2
450	9
1185	12
393	8
2225	1
299	7
1252	8
3138	1
3107	1
2327	1
994	8
1726	4
1194	5
1159	5
909	3
963	5
3011	1
466	7
1525	5
1539	4
905	8
1361	7
2311	1
2531	2
1521	5
916	10
387	7
782	7
490	4
2036	1
1396	2
2200	4
586	9
841	11
2337	1
2598	1
2852	1
1330	6
741	5
1227	6
493	7
1438	4
620	3
1013	9
1477	5
1147	8
2365	5
566	4
378	3
5551	1
1304	8
1636	4
1401	5
1190	32
330	4
4015	1
990	6
2181	1
2432	2
2787	2
1411	3
825	10
1204	4
1035	7
716	5
1167	6
1249	10
2010	4
469	4
1465	5
1121	3
2015	4
2333	2
1309	12
163	3
322	6
830	7
4017	1
973	4
907	6
1125	8
410	4
1097	2
766	8
1137	2
1604	4
447	11
597	6
533	7
740	3
865	4
