size	Count
127	3
432	2
852	1
445	99
888	1
129	6
554	5
549	2
546	40
444	8
547	5
152	1
533	6
538	1
518	2
534	4
873	1
242	1
115	1
134	1
112	1
522	1
447	7
443	7
334	1
730	1
536	3
332	1
231	1
122	3
1095	2
545	7
2197	2
542	4
282	2
435	6
402	1
236	1
124	1
423	2
1511	1
748	1
928	2
552	2
544	5
550	1
148	1
186	1
190	1
315	1
438	7
553	1
425	3
307	1
436	7
118	3
441	4
541	1
539	8
540	1
439	7
440	5
2358	1
113	1
529	1
896	3
548	3
287	3
437	3
535	3
434	6
442	2
1099	2
543	3
558	1
532	3
428	3
508	1
1094	1
446	2
417	1
433	6
1507	1
1119	1
1582	1
430	6
418	2
427	1
176	2
429	1
537	1
511	1
424	1
933	3
431	5
531	1
723	1
525	1
1237	1
2154	1
1752	1
637	1
639	1
647	1
587	1
1325	1
3356	1
975	1
825	1
513	1
1919	1
278	1
2203	1
2176	1
2287	1
2189	1
2308	1
2192	1
2232	1
2309	2
862	2
1553	1
1362	2
1018	1
3251	1
945	1
1132	1
1528	1
778	1
279	1
1042	9
1025	4
1142	1
2240	1
2194	1
1222	1
1037	4
2148	1
964	1
2253	1
1178	1
670	1
2237	1
2185	1
2286	1
2305	2
2307	1
2291	2
2349	1
2345	1
2204	2
2415	1
2088	1
1004	2
205	1
1137	1
345	1
349	1
1133	1
1177	1
471	1
2312	1
2268	1
1863	1
3519	1
2333	1
494	1
1187	1
157	2
166	1
116	1
1075	1
151	1
1014	2
866	2
317	1
323	1
1049	19
2396	1
2370	1
2322	1
2355	1
2412	1
2361	1
509	1
1115	1
503	2
809	2
261	1
1080	1
868	1
1058	3
1021	2
526	1
984	1
915	1
2332	1
927	1
914	1
1971	1
620	1
2319	1
1034	6
804	1
2155	1
2270	1
1479	1
1101	1
645	1
2149	1
951	1
1393	1
1064	1
722	1
1244	1
1605	1
978	2
700	1
970	1
904	1
1001	1
593	1
1978	1
979	1
976	2
2243	1
2201	1
961	1
1010	2
990	1
1006	1
1224	1
1121	1
484	1
1326	1
1060	2
360	1
2288	1
674	1
586	1
1577	1
1935	1
290	1
1072	1
1116	1
125	1
1073	1
321	1
1097	1
1114	1
1110	1
1053	7
2096	1
1062	3
1063	1
1061	1
1059	2
1057	290
981	1
1043	12
1047	40
994	1
1054	10
1051	35
902	1
1046	37
1055	15
239	1
1036	6
1056	32
974	1
1048	24
1835	1
669	1
1030	1
795	1
250	1
1032	3
1067	1
1052	7
1017	2
940	1
1039	2
1050	13
671	1
1020	2
917	1
1044	7
1040	8
246	1
260	1
1033	3
987	2
1038	4
1045	11
1041	6
1035	2
1019	2
1029	3
1031	2
1024	1
1027	1
1026	1
1015	1
963	2
911	1
867	1
699	1
