size	Count
3472	76
2900	39
214	2
4556	105
1682	350
5793	2
1669	5081
4532	18
2630	10
665	5
1600	14
29553	1
3299	14
696	5
1668	5608
1679	1010
3475	26
1686	115
2551	463
4555	110
2894	353
2558	66
3030	14
2177	27
2268	12
3466	423
1675	4482
1677	2017
1674	4680
1681	510
1415	17
3464	968
3473	46
4551	595
1680	571
4072	6
2402	14
3469	166
2549	1011
2559	38
1684	192
4275	7
4455	18
3462	2081
4552	523
1676	2577
8380	191
1678	1169
5876	4
2548	1000
2555	137
3468	267
3673	66
4554	223
3465	539
1956	7
1326	19
2899	42
2550	556
2487	17
3095	12
2896	153
4223	6
8382	102
2547	2156
2897	82
2378	12
4540	348
4550	1155
164	4
3460	3408
4629	5
3467	286
1673	6622
1662	483
607	7
3463	1223
3459	3575
3942	11
4549	1198
4547	1698
535	4
3675	28
8377	530
2544	2937
3696	166
2545	2893
7559	6
1587	11
4553	258
3458	3526
4546	1637
3102	16
2546	1915
4543	1605
2891	485
1672	6750
3454	1873
1692	21
8379	386
1151	4
4497	10
2541	1928
1670	9485
8385	42
2543	2684
3429	25
3998	5
4130	11
1671	6950
8384	52
1689	62
1667	3499
2464	12
3456	3243
2176	31
5559	3
2542	4648
1596	13
3672	170
7436	4
3457	4280
8381	156
3461	2487
4425	6
8378	363
1691	18
2892	526
4548	1738
2755	10
783	7
8360	5
2882	74
2046	432
1655	93
962	9
4489	4
8373	326
1651	39
3281	11
2893	347
2043	580
3453	1298
2537	666
3677	20
1631	21
2040	554
5766	2
1776	12
1660	159
3081	15
8321	3
1459	15
3001	11
8375	501
2049	193
2514	20
3694	107
4319	4
2446	21
3701	29
2045	614
8017	5
6411	2
4545	2457
3662	37
1264	16
8314	3
2552	281
8217	3
1291	17
4544	1146
1656	82
4192	13
8029	6
8376	545
1284	13
4557	74
2595	12
2048	219
2538	894
1610	16
2684	4
3863	4
1892	15
2044	595
3067	15
1922	10
6686	2
2257	26
8081	3
2171	48
8370	142
1604	15
3045	12
2560	31
3667	326
3086	12
2371	14
2890	476
8338	4
1298	12
1609	20
7924	3
8074	4
283	4
2188	14
3375	17
2782	7
2377	10
2885	174
7373	1
3371	20
3039	14
3141	18
3078	12
2283	7
2644	4
3181	20
565	8
3351	15
2540	2537
2050	92
6745	3
2855	4
3455	2874
2539	1476
3411	20
1211	8
2047	392
5785	4
859	5
3394	7
2888	325
3471	91
1869	8
7393	3
1079	8
3441	31
1685	149
2032	18
3450	497
3053	10
8383	69
3470	133
3056	20
2508	20
2553	248
2556	106
2182	21
3241	15
8287	8
1665	1604
207	1
7490	5
5469	2
7657	4
1502	14
1791	10
4560	39
3306	15
3702	23
3161	11
887	10
8065	5
2383	15
3221	9
2034	63
8396	2
2234	13
2466	27
1317	17
4558	61
2812	7
819	9
1989	8
2504	13
2179	17
3698	122
1707	11
7304	1
3968	5
2798	8
1916	12
108	2
1722	16
5368	3
2388	22
3399	15
1743	8
1663	987
3427	27
3474	31
3730	7
2077	14
3400	12
2802	14
1049	5
8391	5
2055	40
151	2
7907	2
3670	228
4559	43
2496	19
3920	5
3676	30
8070	5
3336	8
1683	244
2528	33
1613	21
6076	3
4218	6
1306	8
4140	5
2123	12
6308	2
1799	14
2053	50
4387	6
2717	13
7435	6
2041	437
1625	17
3385	19
2819	8
3055	23
2554	194
1806	10
2258	20
3506	3
1475	13
3124	20
7364	1
3110	21
1948	9
3689	33
7819	2
2854	13
1603	14
2902	45
1953	8
3794	3
2042	899
8329	5
3547	10
7167	3
2565	13
2146	15
8372	385
8374	743
4247	11
1687	64
1537	21
3693	231
433	9
2445	24
754	6
2056	27
1585	11
2889	843
1666	2073
3402	16
3452	838
296	5
2292	18
5638	1
2886	276
2883	127
1690	28
2052	79
2662	5
682	22
1242	15
1814	11
404	5
2328	4
3482	11
976	7
1598	17
1950	9
7952	4
2605	8
14613	1
3671	140
3377	24
7720	2
4577	6
1657	68
1693	22
3814	8
3228	6
3215	13
3438	25
3423	33
2039	289
3697	113
2429	11
1658	83
2895	185
1633	27
3117	20
28551	1
7871	2
2594	4
3658	7
4152	13
3862	4
3478	4
2794	12
3695	123
2498	14
3665	123
2497	23
4226	8
9364	2
2428	14
8237	3
2535	401
4542	786
453	6
1761	4
1402	7
2162	21
594	9
3445	43
2030	14
7223	4
2534	211
6434	1
7025	2
7570	2
3380	21
2598	7
3273	8
2690	11
3608	6
2515	22
4517	10
7980	6
1718	8
6986	8
3339	12
5071	5
8333	9
946	4
1120	9
3707	6
4614	8
8387	23
8257	3
