size	Count
3472	74
2900	36
214	1
4556	105
1682	342
5793	1
1669	5044
4532	13
665	2
1600	12
29553	1
3299	6
1668	5565
1679	1004
3475	25
1686	109
2551	459
4555	108
2894	347
2558	65
3030	10
2177	21
2268	9
3466	422
1675	4472
1677	2010
1674	4669
1681	502
1415	13
3464	967
3473	44
4551	594
1680	565
4072	2
2402	8
3469	163
2549	1008
2559	34
1684	185
4275	5
4455	7
3462	2076
4552	521
1676	2563
8380	190
1678	1160
2548	995
2555	135
3468	267
3673	66
4554	220
3465	534
1956	3
1326	11
2899	36
2550	543
2487	14
3095	6
2896	148
4223	3
8382	100
2547	2152
2897	80
2378	7
4540	344
4550	1155
164	4
3460	3404
4629	2
3467	286
1673	6608
1662	457
607	3
3463	1213
3459	3571
3942	3
4549	1197
4547	1696
3675	25
8377	530
2544	2932
3696	165
2545	2887
7559	2
1587	8
4553	255
3458	3521
4546	1635
3102	8
2546	1909
4543	1603
2891	480
1672	6729
3454	1867
1692	15
8379	386
1151	1
4497	8
1670	9444
8385	42
2543	2681
3429	21
3998	3
4130	6
1671	6926
8384	51
1689	57
1667	3450
2464	11
3456	3238
2176	27
5559	1
2542	4635
1596	8
3672	166
7436	1
3457	4271
8381	156
3461	2485
4425	4
8378	361
1691	15
2892	518
4548	1737
8360	5
2882	69
2046	427
1655	85
962	1
2541	1915
4489	3
8373	326
1651	34
3281	6
2893	346
2043	572
3453	1293
2537	656
3677	19
1631	16
2040	548
5766	1
1776	7
3081	10
8321	2
1459	7
3001	4
8375	499
2049	187
2514	14
3694	104
4319	2
2446	10
3701	29
2045	610
8017	4
6411	1
4545	2452
3662	34
8314	3
2552	277
8217	2
1660	129
1291	8
4544	1145
1656	62
4192	8
8029	3
8376	545
1284	8
4557	68
2048	215
1610	8
2684	2
3863	3
1892	9
2044	585
3067	11
1922	5
6686	1
2257	21
8081	3
2171	43
8370	141
1604	9
3045	8
2560	25
3667	323
3086	8
2371	9
2890	472
8338	4
1298	6
1609	14
7924	1
8074	4
2188	8
3375	13
2782	2
2377	5
2885	173
7373	1
