5prime_site	Count
26481	5536
27041	3819
28254	2549
25382	12696
28255	50063
26733	5
28259	1051
28263	565
16792	1
26468	21914
28250	922
27384	3651
27058	163
27385	22003
28000	2
27761	90
27674	59
25384	1093
28258	4007
28745	19
28256	142
21552	4285
29312	80
28432	25
28734	8
28266	327
29063	3
27293	14
27387	566
27386	1266
28265	4554
26477	1160
26271	1664
28855	9
27048	775
28267	2083
29744	2
29308	64
26983	2
28251	348
29368	10
27057	33
29163	25
28898	8
28890	7
25383	602
28269	8
26467	1083
29014	34
28257	2346
25381	1383
26237	1186
29261	9
29391	11
29443	39
27393	370
26482	1625
25385	66
26485	226
25393	243
21553	281
29441	12
28175	4
25389	248
28264	903
27379	16
26464	49
26821	151
26815	4
28783	1
28535	6
27407	224
29786	8
29791	65
22502	13
26479	338
21554	534
25491	4
29390	22
28271	126
27395	1133
26483	622
26471	1563
27380	114
28268	423
25379	89
27884	4694
25402	6
28427	16
21559	24
25394	464
29435	2
26470	1026
27388	82
26488	820
28460	2
27909	13
27181	2
29379	41
28248	157
27742	10
21551	174
28644	5
26244	25
27485	36
27999	3
21556	19
27013	2
27783	9
29310	87
28856	5
28809	8
26278	7
26553	1
23305	1
27389	385
27886	329
27895	394
27392	917
27394	228
26463	166
29733	4
26487	350
29343	88
28227	16
25391	681
26376	2
29403	19
29216	10
2921	1
29300	9
27382	22
28143	1
29354	58
29000	7
27739	4
28094	2
29251	14
26299	2
29233	20
28725	7
27719	4
28688	22
26469	120
29619	5
27638	24
28953	13
28673	42
27056	27
22559	5
28732	13
28637	4
27767	55
27656	2
29525	9
29213	11
26511	6
29659	1
27050	116
26472	567
28964	21
21545	9
25313	1
25378	99
26269	144
27399	9
28466	15
25930	1
26474	189
27754	33
29478	35
29081	10
428	1
29232	43
28262	142
29351	34
28851	15
25392	158
29461	7
28516	9
28047	8
24773	1
29330	15
29494	92
7232	1
29479	60
29168	5
29096	8
27059	5
26243	85
28815	7
24101	1
28650	17
28252	351
29367	9
28776	4
28629	10
27397	185
26466	192
29596	2
27760	13
26462	31
27892	130
21560	99
29492	86
2440	1
29309	44
29196	68
5786	1
29404	36
28290	22
29210	19
27891	39
28449	9
29197	47
26817	48
27710	4
29392	11
27686	34
29481	148
29269	18
28728	9
25390	110
25380	161
27383	167
27885	187
28260	113
27051	48
28747	4
27328	2
28599	9
28382	3
26453	5
21562	35
29079	13
28848	4
29383	9
28804	7
29841	3
29377	23
28577	132
3180	1
26513	10
27222	21
27049	90
28272	79
29337	35
27381	39
28261	245
26421	1
28158	8
22497	2
27896	70
28876	5
29082	84
29109	6
27793	27
29752	6
27689	3
27445	6
27636	2
21555	146
22455	1
26089	1
29457	25
29471	36
24276	1
28944	14
29325	37
29420	8
27053	87
29520	6
29335	42
26284	29
29266	28
4882	1
7958	1
26666	2
27810	9
28253	314
5530	1
29346	17
29360	15
29165	21
27482	12
27893	87
26818	15
26486	326
26830	10
29235	36
29490	36
28468	10
27038	11
27055	78
27326	6
27039	69
27400	76
29491	36
28970	9
29329	9
4485	1
28406	12
28716	4
23965	1
28408	13
27390	51
29084	56
27904	13
28216	9
28299	4
27889	34
27042	44
29175	27
29475	49
28954	13
21743	1
26831	27
29173	37
26289	17
26077	4
28832	5
27037	6
26491	12
29145	21
29338	6
26783	3
28202	10
23838	1
27421	2
25387	24
27791	6
29350	23
26504	4
29493	25
29095	11
27758	2
28381	4
27045	81
27464	8
29316	7
25424	4
28693	25
21558	11
29417	14
22945	10
29410	8
28602	19
27880	12
27043	20
29268	8
29315	12
27646	6
28575	47
28749	20
3819	1
28574	26
29518	4
28279	18
28729	64
29326	77
29273	11
28753	8
28646	4
29840	2
29470	30
29016	44
28733	8
27755	95
26270	148
29447	8
28247	52
27756	8
27398	43
28215	11
29290	17
27861	1
27647	46
28601	18
26473	91
29465	6
27396	293
28063	8
27883	145
27172	2
28976	10
26409	3
21563	149
28914	2
29222	7
29070	46
29406	35
29306	9
29400	13
27946	6
29442	17
28208	9
27017	5
29515	12
29283	6
29143	10
27766	40
28891	10
28231	27
29193	27
29305	13
25388	86
26503	4
28909	3
28933	24
28491	3
28293	2
29152	6
25396	143
28219	14
27830	3
29317	6
27391	135
29480	48
27671	3
27552	2
28273	41
29083	24
28718	2
27301	17
26502	5
26241	25
27623	10
29513	7
29380	32
28056	7
28497	10
29460	5
27044	24
29353	65
29112	19
29369	12
26290	12
27854	2
28691	25
21561	29
29813	18
28042	6
28929	27
29476	100
28210	11
29237	9
25791	2
28278	7
28270	61
29236	7
27282	4
29662	5
28552	5
29147	19
29250	3
27409	29
25406	1
28731	69
29342	30
29852	6
24949	2
27697	12
29020	6
26274	83
29086	26
29214	8
29469	27
25395	23
27882	36
27912	12
28416	32
26478	44
25386	97
26819	32
28122	3
28755	4
27763	9
27792	39
25751	3
27511	2
26383	2
29122	9
24316	1
4571	1
27373	4
28889	10
28351	5
28151	11
27297	5
929	1
26832	9
26986	1
28325	1
29327	38
26699	1
26476	197
28234	30
29341	39
28679	6
28849	8
29258	10
28700	5
26822	11
29275	6
27299	11
25802	2
28974	12
25712	1
26465	116
21548	7
29847	3
29474	30
29683	7
28811	2
27753	6
28494	6
26484	74
28586	8
29191	30
28281	4
23106	1
23839	1
29164	37
28584	3
29430	16
29313	20
29444	7
29487	19
28530	1
28246	67
29092	26
25853	4
22766	2
29820	6
28324	9
28730	17
29663	9
28249	75
28853	16
26657	2
27531	12
29279	3
22503	5
3816	6
28860	5
28992	4
29834	1
27190	4
29532	13
25403	5
29496	11
28927	11
29230	8
28525	7
28834	4
29389	13
29130	20
27698	18
27836	5
29642	4
28687	10
29221	5
26480	53
28225	39
27406	25
28441	2
24953	1
28020	2
27852	3
28558	8
29734	4
29387	10
27679	6
29854	2
27835	6
27616	3
28443	4
29463	5
27054	22
29265	27
21569	3
29322	14
29128	15
28893	7
27287	3
29745	6
27376	8
29776	6
27431	1
29238	14
28671	14
29311	57
25728	2
29482	24
29455	14
29344	31
27348	3
27415	5
29376	15
28176	1
21566	39
26824	2
27650	3
27523	2
28160	4
28358	5
27677	9
28696	6
27223	7
29180	8
27655	3
25551	4
26377	3
28746	8
28685	7
27365	1
28854	30
29789	16
28495	3
2271	1
29178	5
26458	14
29546	5
1389	1
29192	38
29382	9
26334	2
27355	3
28467	13
28045	5
28243	44
28438	4
28831	7
29349	16
27539	2
29010	25
28277	11
3251	1
23031	4
29202	6
25373	5
27887	92
28741	9
28214	18
27100	4
26281	6
26590	1
29804	4
29186	12
27632	6
28937	8
26291	3
28760	9
26498	28
21564	71
27768	33
29393	10
28326	2
26268	3
27580	3
5281	1
29272	15
29787	6
28975	5
29132	4
7887	1
8211	1
26571	4
27073	1
29292	12
24700	1
2541	1
3681	1
5147	1
5451	1
29550	8
29355	18
29288	19
27914	5
29536	10
26678	6
22535	2
26406	2
2628	1
29033	1
1273	1
29323	14
29543	3
23066	1
28097	1
25617	1
28538	4
28623	6
2599	1
29179	9
28892	9
1565	1
27723	1
21547	11
29730	4
29439	7
29136	4
23037	1
27840	2
28943	3
26894	1
28935	43
29549	5
26930	2
28751	5
28999	3
28735	12
29345	17
25966	1
26505	7
28502	3
27622	19
27487	12
27569	3
27874	3
29433	1
26956	2
24759	1
28675	7
29217	5
26285	8
29068	26
29182	12
29189	14
29007	6
28239	8
28414	18
27821	6
27984	10
29184	23
27940	4
21557	27
29090	9
29085	13
29483	80
21053	37
29767	12
27850	4
29464	9
28936	30
29155	2
25375	22
28606	7
28058	2
28655	4
25377	28
28952	21
29194	26
955	1
2082	1
28022	2
28930	17
27582	2
28217	10
27978	2
28026	4
24978	2
26110	1
28896	10
27135	4
28049	7
4580	2
5844	1
7068	1
27231	3
28496	7
25989	1
26345	5
28174	2
29035	4
27735	3
28510	3
28565	2
28345	2
28791	4
28787	5
27747	8
26215	2
27079	6
28054	2
28328	3
29150	6
27751	3
28761	12
568	1
1483	1
27024	1
28493	6
28715	2
28475	2
29617	4
29319	15
27694	12
26527	1
27269	3
28536	6
29738	1
26386	1
27133	2
28678	7
29054	9
28050	6
29058	4
29423	11
27782	3
27412	13
27944	8
28072	3
29049	3
27197	3
28402	3
28440	4
29615	3
26445	4
27426	1
27527	2
29637	6
29361	11
29138	6
28918	8
27467	5
28204	3
26707	5
26650	1
27502	5
24558	1
25651	2
28708	8
29321	5
5448	1
29504	7
25763	5
4716	1
5834	1
26834	4
23426	1
24581	2
28224	14
28522	5
28159	6
29289	9
23850	7
27144	2
28372	1
28676	7
29012	13
29125	11
2998	1
27627	2
27138	4
27986	8
28573	12
26259	3
29254	13
25397	19
25448	1
28744	8
29782	4
27458	4
26272	9
28885	4
11408	1
12354	1
28407	22
1476	3
29849	3
24304	1
25374	7
28428	27
27933	1
5514	1
6061	1
7803	1
29517	12
26331	2
28566	6
29166	33
28661	2
1771	2
2181	1
5570	1
28038	1
28306	5
5926	1
28958	4
29018	31
29466	10
29206	13
26826	2
27229	9
29473	20
3129	1
29271	14
29174	14
26812	5
28677	8
29218	6
28029	16
28823	10
28244	31
24891	10
29763	3
26307	1
26245	17
25745	1
28073	5
29600	4
28813	9
28363	4
27961	5
27035	10
28864	6
28477	3
28789	2
29830	1
29716	4
26765	2
26797	1
27634	4
26575	9
27489	2
26305	1
28418	4
28168	2
28221	3
27420	2
26475	42
27605	2
27864	1
26803	1
27442	1
29241	5
29102	4
28118	7
29446	6
27122	1
28375	2
29328	20
25846	1
29672	5
29371	8
29129	13
29781	3
28571	10
21636	1
29419	21
27425	1
28763	2
29727	7
27682	11
29106	5
26287	6
29632	2
28905	4
29177	4
28616	4
29366	10
29426	9
27101	6
29352	20
27403	34
26786	1
26913	3
28411	3
28572	14
29795	19
26489	15
27863	5
29408	4
24777	14
29264	45
28762	8
28630	4
26874	2
28690	7
27233	2
22393	1
27759	30
28740	8
29240	24
29533	39
27685	5
29172	23
365	2
28189	3
28138	1
28036	5
28399	3
24923	1
22143	1
27780	4
29301	12
28904	20
29570	4
28938	8
28965	11
29378	18
28838	3
29567	4
27291	9
29503	7
29025	6
27903	3
29575	5
29754	3
28988	2
29059	8
26611	2
27335	2
26206	1
29627	4
26059	1
