5prime_site	Count
9174	1
453	1
9076	2
9001	1
9229	1
9189	1
9139	1
9170	1
4522	1
8262	1
9172	1
6948	1
9432	1
9181	5
9247	1
9275	1
9064	1
8869	1
9366	3
9200	1
9226	1
4913	251
5390	425
5960	162
8369	828
9223	1
7534	2
5976	685
5954	132
5777	128
8863	1
5980	16
5388	1
9093	2
8341	2
9069	3
8762	1
5803	3
9376	2
9318	1
4919	13
6709	1
6447	1
5936	14
8475	1
5992	5
8884	3
8401	1
6372	1
4994	1
8389	2
9598	1
8053	1
9451	1
5403	1
5795	1
6015	1
9175	1
8355	1
6889	1
7408	1
8358	1
4945	1
9050	2
9480	1
5426	1
7456	1
9455	1
8345	4
9082	1
8679	1
8205	1
9511	2
5950	1
9059	1
6192	1
4911	2
8415	2
5917	2
5873	1
7923	1
5983	2
8375	1
580	1
5949	1
8881	1
9238	1
9073	1
8682	1
4922	1
8254	1
5988	1
4808	1
7791	1
5409	1
5925	1
4891	1
6098	1
6425	1
6474	1
8554	1
7988	1
6029	1
6194	1
8379	1
9347	1
7506	1
5951	1
5348	1
6209	1
