barcode	Count
1_226_285_1630	1
1_557_609_622	1134
1_143_640_1630	1
1_1282_1426_1630	3
1_1282_1386_1628	2
1_366_1140_1630	1
1_353_495_1614	1
1_377_440_1630	1
1_562_730_1630	1
1_638_840_1614	3
1_1260_1312_1630	1
1_1160_1199_1616	1
1_1032_1126_1630	5
1_236_354_817	3
1_638_688_1625	2
1_40_354_1630	1
1_423_474_1549	1
1_453_1087_1630	1
1_675_724_1630	3
1_657_1337_1625	1
1_1243_1433_1630	1
1_203_267_1416	2
1_777_1316_1630	1
1_940_1525_1614	1
1_262_396_1614	1
1_564_616_1630	6
1_332_375_1630	1
1_737_1037_1556	1
1_1044_1126_1630	1
1_840_1126_1630	2
1_840_1087_1614	1
1_395_456_1630	3
1_1217_1433_1630	1
1_1081_1426_1624	1
1_1051_1211_1614	1
1_857_940_1630	1
1_1032_1159_1630	9
1_1042_1165_1630	4
1_598_872_1630	1
1_585_690_1630	1
1_1310_1368_1630	1
1_451_676_1630	1
1_979_1027_1630	1
1_1069_1135_1630	1
1_1302_1426_1630	1
1_179_267_1630	8
1_256_354_1373	1
1_1345_1399_1630	2
1_10_354_1630	3
1_150_521_1630	1
1_1051_1126_1630	1
1_404_497_1630	1
1_1514_1572_1630	1
1_747_1195_1630	1
1_464_531_1630	1
1_1363_1457_1630	2
1_932_1015_1628	3
1_977_1182_1630	1
1_1084_1159_1628	1
1_617_751_1630	1
1_307_354_1630	2
1_1219_1296_1628	1
1_262_342_1630	2
1_562_610_615_918_1630	1
1_958_1087_1630	1
1_1447_1506_1614	1
1_29_82_737_1211_1630	1
1_207_267_1180	1
1_262_383_1630	2
1_777_872_1630	5
1_353_636_1614	1
1_495_799_880	1
1_562_636_1630	10
1_10_823_1624	1
1_251_309_1630	1
1_139_1165_1630	2
1_1249_1337_1630	3
1_1160_1235_1630	3
1_1363_1537_1630	1
1_995_1040_1624	2
1_15_354_1630	1
1_562_614_1630	3
1_10_640_1630	1
1_1326_1426_1630	4
1_303_365_1614	1
1_1085_1337_1614	1
1_1093_1232_1614	1
1_657_1249_1630	1
1_932_986_1630	1
1_1089_1159_1630	1
1_165_354_1125	1
1_1361_1479_1628	1
1_502_1146_1630	1
1_255_309_1612	1
1_682_1409_1630	1
1_1486_1532_1630	1
1_1206_1253_1614	1
1_306_1165_1630	1
1_242_301_1450	1
1_179_311_1038	1
1_257_640_1630	1
1_1310_1433_1630	5
1_668_1002_1630	1
1_596_705_1154	2
1_201_443_1630	1
1_1264_1409_1630	1
1_302_1126_1614	2
1_216_314_1630	1
1_529_980_1427	1
1_803_858_1630	1
1_194_243_1630	1
1_578_668_1630	1
1_675_732_1630	1
1_1399_1479_1630	4
1_581_636_1630	2
1_715_1146_1630	1
1_27_840_1630	1
1_600_651_1630	1
1_1542_1602_1630	1
1_495_918_1624	1
1_268_777_1630	1
1_284_354_1630	2
1_143_227_1627	3
1_574_714_1630	1
1_650_823_1630	1
1_815_898_1630	1
1_257_918_1628	1
1_1121_1211_1630	1
1_453_1165_1630	1
1_1412_1479_1630	1
1_360_682_1630	1
1_638_823_1630	1
1_1071_1126_1630	2
1_411_525_1184	1
1_952_1237_1630	1
1_1013_1058_1373	2
1_529_583_1630	1
1_340_640_1630	1
1_692_910_1630	1
1_167_243_353_398_1630	1
1_221_947_1627	1
1_1032_1237_1323	1
1_242_375_1630	1
