junction	Count
308_3795	1
3798_4258	1
44_8983	1
552_4819	1
210_9172	1
119_9196	1
133_8980	1
534_3182	1
98_9174	16
355_1067	1
543_9074	1
51_8962	1
299_4339	1
46_8982	1
552_4975	1
583_3118	1
41_8982	1
299_9181	3
714_1499	1
41_9017	1
41_9117	1
299_9135	1
41_8863	1
41_8999	1
557_9181	1
87_8968	1
275_348	1
56_9093	1
343_9076	1
51_8982	1
41_9188	1
46_9122	1
88_9010	1
313_8962	1
46_9037	1
46_9006	1
146_9229	1
56_9132	2
64_9140	1
146_9238	1
167_9050	1
75_9054	1
256_9101	1
106_9285	1
210_8999	1
567_8918	1
96_1053	1
96_8982	1
167_9262	1
339_6768	1
6889_9147	1
552_1265	1
153_9229	13
534_1040	1
119_9137	1
176_9252	3
113_9189	16
148_9224	8
364_9196	1
131_9207	20
334_9147	1
334_9093	1
146_9223	3
118_9194	11
210_318	1
389_9132	1
109_9185	1
432_3553	1
559_8295	1
334_9181	8
129_9205	2
129_9132	1
559_5348	1
461_9147	4
118_8982	1
539_1509	1
133_9043	1
118_9069	2
167_9247	1
124_9137	1
159_291	1
316_9093	1
334_9275	1
408_1463	1
334_9037	1
334_1379	1
334_7512	1
210_9285	7
118_9093	1
118_8698	1
534_4301	1
432_8728	1
334_9132	1
497_9132	1
118_7940	1
8624_8995	1
557_8995	1
362_9082	1
334_1515	1
476_9030	1
583_6053	1
552_3658	1
389_1499	1
1819_3932	1
119_9030	1
634_3691	1
129_9082	1
349_8995	1
118_9050	1
124_9200	3
334_8911	1
634_3748	1
482_9081	1
617_9104	1
174_9196	1
493_850	1
124_9196	1
403_8578	2
360_9196	1
167_4362	1
146_9219	1
119_9272	1
118_8694	1
349_9168	1
349_9181	1
476_9168	2
451_9135	1
343_9030	1
396_9135	1
118_9175	1
555_9050	1
204_9188	1
461_9139	1
343_9168	1
334_9188	1
129_9181	2
476_9137	3
167_9238	2
325_8826	1
360_9139	1
231_9106	1
461_9137	1
381_9162	1
360_9010	1
299_9188	2
360_9147	1
482_9168	1
386_9170	1
343_8782	1
334_9196	2
381_9006	1
183_426	1
174_9247	1
334_8935	1
9038_9162	2
308_9196	1
119_9195	2
152_405	1
302_9423	1
207_9283	1
421_9104	1
174_893	1
572_8995	1
555_780	1
124_9181	1
451_9168	1
446_9137	1
493_9165	1
493_9147	1
580_9170	1
580_9147	1
349_9188	1
362_9216	1
461_9172	1
476_9172	1
