Genome position	Count
91	1
92	1
93	1
94	1
95	1
96	1
97	1
98	1
99	1
100	1
101	1
102	1
103	1
104	1
105	1
106	1
107	1
108	1
109	1
110	1
111	1
112	1
113	1
114	1
115	1
116	1
117	1
118	1
119	1
120	1
121	2
122	2
123	2
124	2
125	2
126	2
127	2
128	2
129	2
130	2
131	2
132	2
133	2
134	2
135	2
136	2
137	2
138	2
139	2
140	2
141	2
142	2
143	2
144	2
145	2
146	2
147	2
148	2
149	2
150	2
151	2
152	2
153	2
154	2
155	2
156	2
157	2
158	2
159	2
160	2
161	2
162	2
163	2
164	2
165	2
166	2
167	3
168	3
169	3
170	3
171	3
172	3
173	3
174	3
175	3
176	3
177	3
178	3
179	3
180	3
181	3
182	3
183	3
184	3
185	3
186	3
187	3
188	4
189	4
190	4
191	4
192	4
193	4
194	4
195	4
196	4
197	4
198	4
199	4
200	4
201	4
202	4
203	4
204	4
205	4
206	4
207	4
208	4
209	4
210	4
211	4
212	4
213	4
214	4
215	4
216	4
217	4
218	4
219	4
220	4
221	4
222	4
223	4
224	4
225	4
226	4
227	4
228	4
229	4
230	4
231	4
232	4
233	4
234	4
235	4
236	4
237	4
238	4
239	4
240	4
241	4
242	4
243	4
244	4
245	4
246	4
247	4
248	4
249	4
250	4
251	4
252	4
253	4
254	4
255	4
256	4
257	4
258	4
259	4
260	4
261	4
262	4
263	4
264	4
265	4
266	4
267	4
268	4
269	4
270	4
271	5
272	5
273	5
274	5
275	5
276	5
277	5
278	5
279	5
280	5
281	5
282	5
283	5
284	5
285	5
286	5
287	5
288	5
289	5
290	5
291	5
292	6
293	6
294	6
295	6
296	6
297	6
298	6
299	6
300	6
301	6
302	6
303	6
304	6
305	6
306	6
307	6
308	6
309	6
310	6
311	6
312	6
313	6
314	6
315	6
316	6
317	6
318	6
319	6
320	6
321	6
322	6
323	6
324	6
325	6
326	6
327	6
328	6
329	6
330	6
331	6
332	6
333	6
334	6
335	6
336	6
337	6
338	6
339	6
340	6
341	6
342	6
343	6
344	6
345	6
346	6
347	6
348	7
349	8
350	8
351	8
352	8
353	8
354	8
355	8
356	8
357	8
358	8
359	8
360	8
361	8
362	9
363	9
364	9
365	9
366	9
367	9
368	9
369	9
370	9
371	9
372	9
373	9
374	9
375	9
376	9
377	10
378	10
379	10
380	11
381	11
382	11
383	47
384	48
385	48
386	49
387	49
388	54
389	69
390	72
391	84
392	88
393	93
394	93
395	94
396	95
397	95
398	97
399	101
400	101
401	106
402	106
403	107
404	107
405	107
406	108
407	108
408	109
409	109
410	109
411	109
412	109
413	111
414	111
415	111
416	111
417	111
418	111
419	111
420	111
421	111
422	111
423	111
424	111
425	111
426	111
427	112
428	112
429	112
430	112
431	112
432	112
433	112
434	112
435	112
436	112
437	112
438	112
439	112
440	112
441	112
442	114
443	114
444	114
445	114
446	114
447	114
448	115
449	116
450	117
451	139
452	142
453	539
454	572
455	595
456	615
457	631
458	866
459	888
460	898
461	902
462	907
463	908
464	911
465	913
466	917
467	927
468	932
469	934
470	941
471	957
472	959
473	969
474	971
475	973
476	975
477	976
478	977
479	977
480	979
481	981
482	986
483	987
484	990
485	995
486	1001
487	1001
488	1002
489	1005
490	1005
491	1008
492	1008
493	1009
494	1009
495	1009
496	1009
497	1010
498	1014
499	1015
500	1015
501	1015
502	1015
503	1018
504	1029
505	1032
506	1035
507	1035
508	1035
509	1035
510	1036
511	1038
512	1038
513	1039
514	1039
515	1039
516	1040
517	1040
518	1040
519	1040
520	1040
521	1040
522	1041
523	1041
524	1041
525	1041
526	1041
527	1041
528	1041
529	1041
530	1041
531	1041
532	1041
533	1040
534	1040
535	1040
536	1040
537	1039
538	1038
539	1038
540	1039
541	1039
542	1039
543	1039
544	1039
545	1040
546	1040
547	1040
548	1040
549	1037
550	1036
551	1033
552	952
553	946
554	945
555	945
556	946
557	946
558	946
559	946
560	946
561	946
562	946
563	947
564	948
565	948
566	949
567	949
568	949
569	949
570	949
571	949
572	949
573	949
574	949
575	950
576	950
577	950
578	950
579	950
580	950
581	950
582	951
583	951
584	951
585	951
586	951
587	953
588	953
589	954
590	955
591	955
592	955
593	955
594	955
595	955
596	956
597	956
598	956
599	956
600	956
601	956
602	956
603	956
604	956
605	956
606	957
607	957
608	957
609	957
610	957
611	957
612	957
613	957
614	957
615	957
616	957
617	957
618	957
619	957
620	957
621	957
622	957
623	957
624	957
625	957
626	957
627	957
628	956
629	956
630	956
631	956
632	956
633	956
634	956
635	957
636	957
637	956
638	959
639	961
640	961
641	961
642	961
643	962
644	962
645	962
646	963
647	964
648	967
649	968
650	968
651	968
