5prime_site	Count
8982	1
454	1
5976	1037
8369	1313
9175	3
9069	9
9174	1
8187	1
9194	1
9393	1
9247	4
9285	2
6363	1
9196	3
9181	1
1910	2
9283	1
5059	1
5960	200
4913	483
5954	164
5777	211
5390	625
9219	1
8345	8
4919	19
5992	14
8415	6
5980	22
8401	3
8379	1
9162	4
8205	1
1325	1
1871	1
971	3
9073	2
8578	2
9331	3
8113	1
5629	2
5417	2
9494	2
1927	1
4945	1
9437	1
5936	26
3932	5
5686	2
6000	1
5403	2
8598	1
8363	2
13707	1
4346	1
5948	1
1442	1
5943	1
2299	4
5983	1
617	1
5234	1
2947	1
8971	1
8884	2
695	1
8935	1
9033	1
9415	1
8773	1
5468	3
5942	1
8698	1
636	1
7076	1
770	2
9275	3
914	1
5951	1
9082	1
9050	1
8341	3
6376	1
8618	2
8778	1
4922	2
4911	3
8849	1
8328	3
8319	1
4994	1
910	1
1040	1
1001	2
6585	1
9426	1
1334	1
3172	1
9318	1
860	2
11128	1
9023	1
654	1
6089	1
1032	1
6134	2
6286	1
4930	1
9480	1
9074	1
9006	4
9451	2
8515	3
3271	1
1193	1
9376	2
5382	1
8446	2
9104	1
983	1
8962	1
6848	1
8976	2
8911	1
5817	1
7092	1
5592	1
633	1
8554	1
5977	1
8029	4
8375	3
9076	2
719	1
9223	1
6333	1
9188	1
9322	1
9467	1
9355	2
6216	3
1721	1
9064	1
4955	1
5426	1
8172	1
5377	1
5744	1
1080	1
6119	1
5949	2
8032	2
2345	2
1401	1
780	1
8440	1
830	1
6019	1
1805	1
5453	1
5371	1
926	1
5515	2
877	1
963	2
5755	1
1103	2
1007	1
9557	1
1117	2
1522	1
1155	1
1471	1
1581	1
1126	1
3463	1
3454	1
3760	1
1843	1
1872	5
1856	2
3563	2
2632	1
1874	2
1868	6
1820	1
1771	1
9470	2
2080	1
1862	1
4400	3
2540	1
4318	1
4027	1
1808	2
4393	1
1817	1
1736	1
3705	1
4048	1
9867	1
3546	1
9474	1
2007	1
3118	1
2070	1
3838	1
2978	1
3448	1
2575	1
2470	1
3844	1
4003	1
2872	1
4489	2
3776	1
4246	1
4456	1
3308	1
5251	1
7059	1
3988	1
3499	2
3735	2
8532	1
6307	3
4570	1
4264	1
8171	1
4102	1
4641	3
4416	1
13121	1
4768	1
6591	1
4684	1
5479	1
6924	1
4659	2
7105	1
5081	1
5482	1
4670	1
5036	1
4831	1
6525	1
5840	1
5666	1
5436	1
5114	1
8295	2
5850	1
9605	1
6277	1
7840	1
9390	1
8616	1
7337	2
6768	1
5855	1
6143	2
8608	1
6474	1
6576	1
5873	1
6010	1
7752	1
6592	1
6176	1
6098	1
6465	1
8090	3
9272	1
6824	1
9511	1
6908	1
9550	1
8053	1
7490	1
6885	1
8054	1
6978	1
6896	1
7145	1
8721	1
7026	1
7033	1
6883	1
7736	1
8827	1
8694	1
8995	2
8918	2
9030	1
9010	1
7621	1
7048	1
7988	1
7904	1
7698	1
7871	1
7707	1
7564	2
9244	1
7293	1
7791	1
8071	1
8046	1
8012	1
8194	1
9590	1
8042	1
8019	1
8706	2
9093	1
9320	1
9381	1
8932	1
9423	1
8144	1
8095	1
8851	1
8899	1
8968	1
9484	1
13648	1
12186	1
