end_site	Count
9621	927
9622	1282
9610	73
9709	3
9416	5
9612	87
9502	18
6875	146
9460	12
551	155
548	3
525	1
550	7
547	2
530	1
2126	2
552	8
549	2
9450	13
9569	20
553	1
555	1
543	1
569	1
554	1
540	1
715	2
546	1
544	1
531	1
1114	139
2036	12
6634	2
9580	7
3207	1
6651	42
3509	1
1130	171
6653	13
9447	10
9430	11
9567	26
1108	31
758	12
1087	2
6496	1
6171	200
6661	7
1129	328
9558	8
843	41
1119	120
9557	9
9555	11
4642	8
2055	51
833	15
1004	9
9470	13
2644	37
9629	16
9628	3
9626	136
8507	1
9624	17
9603	27
993	1
6321	1
4688	54
9618	213
9593	40
9534	4
6641	7
9560	15
6645	2
6153	103
9449	5
2687	5
6681	2
9616	74
4998	1
1127	19
9615	59
9590	21
4725	118
9579	10
9619	51
1143	10
9609	28
9598	31
9585	56
4673	6
9608	74
9591	19
9500	16
9494	35
9524	8
7313	1
751	1
1103	18
2041	11
1072	3
9607	48
6145	19
1106	23
888	2
4637	2
6029	1
6158	3
9436	8
8579	1
1118	25
3548	4
9347	2
9499	11
6142	7
1125	58
9613	40
704	1
2622	2
584	1
9451	17
2063	6
9433	6
9588	18
857	2
1120	35
6650	10
1019	8
6682	1
1104	4
6169	11
9606	78
9471	8
1113	42
642	1
6155	13
2676	44
2062	7
6147	22
9542	5
6159	15
1123	4
4401	56
805	3
6154	4
9515	9
1849	2
3516	1
4120	5
2636	4
9611	52
9405	2
9407	1
9594	8
6143	20
1024	7
9463	9
740	1
9623	55
9473	10
1126	53
9517	19
9455	10
7773	1
1027	14
1297	1
5514	2
9586	25
6167	22
2639	7
820	1
9472	13
9489	1
808	5
9605	17
6168	10
9411	4
5827	1
1081	10
6135	9
5658	1
9570	5
9474	10
980	1
9501	11
684	2
6659	4
4387	3
2669	19
5634	1
1007	5
9457	6
1809	1
9513	10
2035	9
9443	10
9516	17
9617	39
6137	9
732	1
9421	2
1063	3
834	2
842	4
6175	44
835	5
1569	1
6874	14
6095	1
6161	6
6165	23
9600	17
8438	1
1110	7
9466	5
9531	3
2033	5
633	3
9438	1
6138	22
3137	1
8719	1
9410	1
9601	27
1105	10
2668	2
9568	23
9461	11
9554	16
9523	11
9375	1
9587	25
2050	11
6658	11
2378	1
9464	14
5092	3
711	1
9507	1
9508	3
8747	1
6131	3
9413	7
9424	1
6652	20
6129	2
3943	3
9576	18
1608	2
1399	1
2359	1
9383	6
741	2
9627	72
9459	4
9373	1
4709	119
3944	1
6016	1
9518	7
1099	5
746	2
737	1
9462	2
9581	11
5913	1
9620	67
794	1
1136	6
6512	2
830	2
1009	5
6326	1
9350	1
9370	6
2638	4
8752	2
9476	8
4676	13
1824	4
6120	2
8487	1
8402	1
4417	1
981	1
9437	6
6148	7
9547	2
9552	6
7692	1
1094	2
9595	10
9394	5
9511	7
4679	18
4138	44
9602	15
2633	1
2339	1
9442	13
769	1
13735	1
4131	8
6647	2
9412	4
7488	1
6636	3
9497	4
1107	2
6083	2
935	1
9504	5
9446	9
742	1
4129	5
4670	1
6026	4
4653	4
6102	5
743	4
1011	2
5190	5
753	1
8727	1
4699	56
2345	1
2046	1
1605	8
9456	22
1067	5
1034	3
1016	2
4687	20
4698	21
4686	110
9566	12
4681	17
6157	1
9465	6
4696	41
9551	19
1061	1
2556	1
6160	1
9427	5
9574	9
4149	26
4113	1
9490	5
6141	3
1101	3
6649	15
8902	1
1085	10
9400	1
6643	2
9529	9
9360	2
998	1
7110	15
1260	1
9055	1
9435	1
1018	3
6588	2
1111	3
6045	2
9584	7
2034	2
1079	3
9364	1
1112	6
6655	6
6088	1
6099	1
6136	1
9409	3
4629	3
4683	19
6144	4
2390	1
6080	1
6019	1
9425	5
9546	3
4678	5
2249	1
854	1
4153	1
832	1
1109	3
9564	10
1001	1
9528	5
7180	2
9480	12
8164	3
720	1
4496	2
9428	9
1133	2
9478	14
9556	4
9506	8
884	6
9479	3
9582	12
9496	13
9597	19
4684	31
4139	15
828	3
9431	4
1064	2
9559	14
4793	5
9429	5
9401	3
9562	7
1032	8
3530	1
2645	6
9492	4
1815	1
1970	1
3689	1
7257	3
4362	1
8905	1
9519	5
9485	10
4677	2
3416	2
1842	6
2629	1
722	1
826	1
9495	3
4675	10
8616	1
9575	10
3124	3
9532	3
2652	1
1864	149
4486	5
9482	5
6648	4
6902	1
6769	1
1036	1
9488	11
8865	1
9434	4
2308	1
3545	5
9493	5
8945	1
3888	3
9536	2
2860	5
8823	3
4025	1
9503	11
9538	3
1850	32
9561	9
9475	4
4635	19
2012	1
9297	1
4382	1
1726	1
1439	1
8184	4
1066	1
9487	5
6628	1
2387	12
8840	1
1102	11
4588	1
9203	1
1015	2
9573	13
1142	2
6012	1
9441	7
9614	17
9498	12
1152	2
9454	9
628	1
8784	1
7800	1
4130	4
702	1
4395	1
2618	1
825	2
869	1
7126	2
2032	2
9512	9
1888	1
4708	5
9253	1
1140	3
2084	1
698	2
878	1
9156	1
6077	1
5189	1
9414	2
2877	1
827	1
9514	6
6108	1
694	1
4400	9
9372	3
9458	7
9526	5
3896	2
4682	14
938	2
652	1
2049	12
3441	1
6128	1
8017	1
6631	2
9362	3
9599	15
6509	1
9420	1
844	1
9440	4
6139	2
7123	4
7650	1
4104	1
6152	6
996	1
6109	1
1611	2
9535	13
9548	3
1073	5
6203	1
9422	2
9452	7
674	1
6656	2
9349	3
1796	2
1951	10
654	2
1044	2
6178	1
6170	5
4416	4
3533	4
5978	1
6163	2
682	2
750	3
9469	3
9572	11
4145	13
9589	7
9328	1
2314	1
6184	1
8794	1
9630	2
4415	10
4638	12
6140	8
1131	4
9510	9
836	2
1029	4
9384	3
5258	1
7224	2
8698	1
8168	3
8811	1
744	1
6151	1
5816	1
840	1
4691	5
5002	3
976	1
9701	1
8700	1
979	1
4850	3
4959	1
11137	1
690	1
790	1
8770	2
