start_site	Count
1	3
2	16
3	4
4	5
5	33
6	39
7	7
8	29
9	54
10	119
11	1190
12	119098
13	3321
14	23324
15	24758
16	4203
17	2291
18	9089
19	6960
20	966
21	75
22	141
23	119
24	75
25	14
26	65
27	61
28	26
29	65
30	8
31	5
32	1
33	32
34	43
35	14
36	1
37	24
38	10
39	3
40	3
41	52
42	44
43	13
44	12
45	3
46	3
47	2
48	2
49	10
50	9
51	20
52	11
53	2
54	23
55	19
56	2
57	2
58	1
62	1
63	1
64	2
65	7
66	3
67	10
68	10
69	1
70	4
73	1
74	2
75	1
76	3
77	5
78	9
79	8
80	11
81	4
84	2
85	7
86	3
87	3
88	1
90	5
91	6
93	2
94	3
96	1
99	11
100	3
101	2
102	1
104	1
107	1
109	2
111	1
113	2
114	2
116	1
120	2
121	3
122	3
125	5
126	1
127	1
128	1
129	3
130	5
132	3
134	1
138	1
140	1
141	3
142	6
145	1
146	3
148	16
149	3
150	1
151	5
152	3
153	5
154	26
155	4
156	7
157	3
158	3
159	3
160	4
161	2
162	1
163	1
164	1
165	1
166	2
168	2
169	3
172	1
173	1
177	1
180	1
182	3
183	1
184	13
185	4
187	1
191	1
194	1
195	5
196	3
197	3
198	3
201	2
205	3
206	3
207	2
208	2
209	1
212	1
213	3
215	3
218	3
219	2
222	3
223	6
224	2
225	4
226	1
228	1
232	1
234	3
235	1
236	1
237	1
239	2
240	1
241	1
242	1
244	2
245	1
246	2
247	3
248	1
250	4
252	2
256	2
257	3
258	5
260	2
261	1
263	4
264	5
265	3
268	1
269	1
270	3
271	2
272	1
273	1
275	1
277	1
278	1
279	1
280	3
281	2
283	2
285	1
286	1
287	2
288	1
289	1
290	2
292	2
293	2
296	1
297	2
298	3
299	5
301	4
302	5
303	2
304	1
307	1
309	2
310	1
312	14
313	8
314	8
315	2
316	2
317	2
318	1
319	2
320	5
321	1
322	1
323	1
325	5
327	5
328	6
329	1
330	5
331	1
332	2
333	2
334	1
336	3
337	5
338	5
339	4
341	1
342	1
343	2
344	1
345	2
346	4
347	2
348	3
349	7
350	2
351	1
352	5
353	2
354	2
356	3
357	3
358	3
359	4
360	5
361	4
365	1
366	3
367	1
368	1
369	2
370	4
371	2
372	1
373	6
374	1
375	2
377	1
379	1
381	4
382	3
383	5
384	2
385	3
387	4
389	3
390	1
391	3
392	2
393	1
394	1
395	4
396	6
397	3
398	1
401	1
402	2
403	5
404	2
407	1
408	1
409	4
410	10
411	7
412	3
413	3
414	2
415	8
416	13
417	6
418	10
419	4
420	2
421	2
422	2
423	3
424	3
425	2
427	3
428	1
430	1
433	2
435	2
436	4
437	3
438	5
439	4
440	2
442	1
444	1
445	1
446	2
447	2
448	4
449	7
450	5
451	4
452	2
453	1
457	6
458	4
459	1
460	13
461	1
463	1
464	2
468	2
469	1
470	2
472	2
474	4
475	1
476	2
477	1
478	1
479	3
480	1
481	1
482	1
485	5
486	3
487	7
488	7
489	1
490	1
491	5
493	5
494	4
496	2
499	2
501	3
503	3
505	1
506	2
508	3
510	3
511	2
512	4
513	1
514	1
515	1
517	1
518	6
519	1
520	2
521	2
523	5
524	1
525	5
526	3
528	5
529	1
530	3
532	2
533	5
534	3
535	10
537	2
538	1
540	2
542	5
543	5
544	4
545	1
546	1
547	1
550	2
552	1
554	1
555	5
557	1
558	6
561	6
563	6
564	3
566	3
567	3
568	1
569	3
570	3
571	4
572	3
573	2
574	5
576	5
577	12
579	2
581	1
585	1
586	4
587	1
588	2
589	7
590	3
592	1
593	2
594	1
595	1
596	1
597	1
599	2
604	2
605	3
607	4
608	4
609	3
610	3
611	2
612	3
613	1
617	2
618	2
619	2
620	3
621	1
622	1
623	2
624	1
627	1
630	1
631	1
633	3
634	2
635	1
636	6
637	2
638	2
639	3
640	3
644	2
645	1
646	2
647	7
649	1
650	5
651	2
652	5
653	1
654	2
657	2
658	11
659	3
660	7
662	7
663	7
666	2
667	1
668	9
669	2
671	5
672	3
673	3
675	4
676	1
677	2
679	3
680	4
682	2
684	7
685	1
686	1
687	1
692	1
693	1
694	5
696	2
698	3
699	7
700	1
701	5
702	2
704	3
705	3
708	3
710	2
711	5
712	3
714	2
717	1
718	2
720	3
724	1
725	2
726	1
729	1
730	1
734	7
735	1
736	3
738	2
739	1
740	2
741	4
742	17
743	2
744	1
746	6
747	1
748	6
749	4
750	5
752	6
754	7
755	6
756	3
757	2
760	7
761	15
762	6
764	9
765	5
766	4
767	8
768	6
769	1
771	1
772	2
773	2
774	3
775	1
777	3
778	2
779	1
782	1
783	2
784	4
785	3
787	4
790	5
791	2
792	1
793	1
794	1
795	2
796	2
797	2
798	2
800	3
801	4
804	1
805	4
806	2
807	1
808	3
809	2
810	4
811	2
813	3
814	5
815	2
816	4
817	2
818	3
819	3
820	1
821	2
824	1
825	2
826	3
827	3
829	2
830	1
833	1
834	2
835	3
836	7
837	3
838	2
839	9
840	7
841	6
842	6
843	2
844	2
845	2
846	2
847	2
848	8
849	4
850	2
851	3
852	5
853	2
856	2
857	2
858	3
859	11
861	4
862	5
864	1
867	1
868	3
869	4
870	6
871	5
872	4
874	2
875	2
877	2
879	1
880	6
881	6
882	2
883	5
884	1
885	1
886	1
887	1
888	1
889	3
890	3
891	5
892	2
893	1
894	2
898	1
899	2
900	4
901	7
903	3
904	6
905	3
906	1
907	6
908	3
909	7
910	2
912	6
914	5
915	3
916	2
918	4
919	3
921	9
922	3
923	4
924	1
925	1
926	2
927	1
928	1
929	2
931	4
932	2
933	2
935	8
937	6
938	2
939	1
940	1
942	2
943	7
944	19
945	8
947	8
948	1
949	9
950	6
951	3
953	9
954	2
956	2
958	1
959	2
960	9
961	7
962	6
964	5
968	3
969	1
970	4
972	2
974	2
975	1
976	2
978	1
979	1
980	1
981	1
982	3
983	2
984	2
985	2
986	1
987	2
988	4
989	2
991	2
992	3
994	3
995	1
1000	5
1001	1
1002	1
1003	3
1004	2
1005	2
1008	1
1010	1
1011	2
1012	2
1013	4
1014	1
1015	3
1016	1
1017	2
1018	6
1019	1
1020	3
1022	1
1023	3
1024	2
1025	3
1028	13
1029	2
1030	6
1031	1
1032	2
1036	1
1037	4
1038	1
1039	2
1040	1
1041	6
1042	4
1043	5
1044	3
1045	6
1046	2
1047	3
1048	2
1049	10
1050	3
1052	3
1053	3
1054	1
1056	2
1058	8
1059	2
1060	1
1062	6
1063	6
1064	4
1065	2
1066	4
1067	4
1068	4
1069	7
1070	3
1071	1
1072	1
1074	2
1075	2
1076	10
1077	6
1078	4
1079	1
1080	1
1081	1
1082	7
1083	4
1084	3
1085	2
1086	3
1087	1
1088	1
1089	5
1090	12
1091	5
1092	4
1093	2
1094	1
1095	5
1096	7
1097	5
1098	1
1099	1
1100	4
1101	2
1102	3
1103	1
1104	1
1105	12
1106	1
1107	1
1108	3
1109	11
1110	10
1111	3
1114	3
1115	4
1116	1
1117	14
1118	3
1119	1
1120	4
1121	2
1122	6
1125	1
1126	9
1127	6
1128	1
1129	8
1130	1
1131	3
1132	5
1134	3
1136	4
1138	4
1139	4
1140	1
1141	1
1142	2
1143	3
1144	6
1145	2
1147	2
1148	3
1149	5
1150	2
1151	1
1152	5
1153	4
1154	4
1156	5
1157	2
1158	5
1159	2
1160	7
1162	1
1164	5
1165	3
1166	8
1167	5
1168	2
1170	2
1171	6
1172	4
1173	4
1174	1
1175	4
1176	1
1177	2
1178	5
1179	1
1180	4
1181	5
1182	6
1183	1
1184	3
1185	3
1186	4
1187	1
1188	1
1189	5
1190	3
1191	1
1192	6
1193	4
1194	4
1195	2
1196	4
1197	3
1200	3
1202	1
1203	8
1204	1
1205	3
1206	5
1207	2
1208	1
1209	1
1210	5
1211	1
1212	1
1213	1
1214	1
1215	3
1216	4
1217	2
1218	2
1219	1
1220	2
1221	2
1222	1
1223	6
1224	2
1225	7
1226	7
1227	1
1228	9
1229	4
1230	11
1231	5
1233	3
1234	3
1235	3
1236	2
1238	3
1239	5
1240	3
1241	3
1242	3
1243	1
1244	5
1245	4
1247	6
1248	3
1249	1
1251	3
1252	1
1253	8
1254	3
1255	3
1256	5
1257	7
1258	5
1259	2
1260	8
1262	2
1263	2
1264	1
1265	4
1266	2
1267	1
1268	2
1271	2
1272	1
1273	5
1274	2
1275	2
1276	5
1277	8
1278	2
1279	1
1280	1
1281	1
1282	8
1284	1
1285	2
1286	8
1287	9
1288	10
1289	7
1290	3
1292	3
1293	7
1294	2
1295	4
1296	4
1298	3
1299	3
1301	1
1303	3
1305	6
1306	4
1309	2
1310	1
1311	6
1312	3
1314	3
1315	1
1316	1
1317	3
1318	10
1319	2
1320	5
1321	10
1322	3
1325	5
1327	2
1330	5
1331	13
1332	3
1333	2
1334	3
1335	1
1341	2
