junction	Count
65_21550	15
65_25381	182
74_27043	4
320_609	1
83_27394	8
85_27401	1
65_27384	74
65_27383	7
83_9293	1
74_27390	4
392_29277	1
65_25379	15
60_22933	1
65_26469	1
87_27414	1
595_657	1
74_27394	1
1099_25700	1
59_27381	5
74_13431	1
74_10766	2
74_28888	2
25764_27791	1
65_27380	1
65_27386	2
74_19537	1
83_27403	1
65_5080	1
65_27385	3
87_27399	1
65_23361	3
65_21553	4
83_27407	1
1209_3084	1
83_25407	1
58_27381	1
83_27400	1
400_478	1
83_27405	1
83_27390	2
350_417	1
39_19587	1
83_27404	1
27827_28678	1
85_27402	1
83_27766	1
67_25383	1
65_19573	1
1209_27786	1
28000_28167	652
2205_8582	1
8590_20561	1
2308_18579	1
1418_1789	1
2097_2168	1
1939_2052	1
1769_22996	1
2351_26710	1
3263_14408	1
4316_13446	1
2717_2850	1
2880_2934	1
2741_2831	1
3230_24562	1
2999_3048	1
4346_21514	1
4262_27785	1
4262_25690	1
4262_20554	1
4277_9265	1
4247_15611	1
4262_16623	1
4279_11355	1
3917_4062	1
4277_18494	1
4277_15543	1
5672_5771	1
6415_24619	1
5846_25922	1
5963_13518	1
6407_16548	1
6186_14981	1
6532_18675	1
6455_6533	1
6455_6546	1
7413_8976	1
7400_16625	1
7382_22519	1
6878_18579	1
7330_10055	3
8174_8225	1
8383_27780	1
28005_28171	5
7910_8028	1
8385_25690	1
7391_25691	1
8437_25572	1
9406_20561	1
9401_27786	3
28020_28182	1
9401_24638	1
9401_24635	1
9401_25691	1
9401_26753	1
9406_14541	2
9401_13455	1
8321_8372	1
9416_14465	1
9401_28839	1
9293_13298	1
8393_16548	1
8481_13512	1
8487_13269	2
8481_12426	1
8481_12453	1
9002_9047	1
10457_25691	1
10457_28678	1
10361_10659	1
10457_18461	1
19663_25691	1
10452_14541	1
9770_10325	1
10284_16625	1
11469_29826	1
10353_15589	3
10393_15618	1
10357_15592	1
11201_11253	1
11470_18602	1
11041_11141	1
10407_28935	1
11644_28951	1
11650_28958	1
12401_29871	1
12577_18491	1
11386_19847	1
12623_19573	1
12599_28686	1
12623_17589	1
12646_16604	1
12568_23517	1
12797_13464	1
13139_13198	1
12887_23568	2
12460_29369	6
12460_28993	2
12608_13521	1
12923_13169	1
12472_29387	1
12653_12744	1
13192_25661	1
13412_13480	1
13502_20144	1
13707_13819	1
14017_21452	1
14472_20678	1
14080_14275	1
14677_28614	1
14020_14207	1
14084_14207	1
14635_17587	1
14087_14201	1
14563_25318	1
14955_15618	1
15795_17589	1
15951_16025	1
15663_15974	1
16720_21534	1
16807_27755	1
15801_16352	1
15920_15956	1
16776_26701	1
17653_29602	1
16750_17453	1
17212_23576	1
17796_27755	1
17277_19328	1
16876_24634	1
16704_16755	1
17277_23533	1
17810_27799	1
18832_25375	1
18746_28607	1
18387_18494	1
18078_18123	1
19234_19347	1
19708_28607	1
19069_19248	1
18663_18745	1
18762_19239	1
19708_27029	1
18880_18975	1
18815_18922	1
19678_28614	1
19663_25700	1
18686_18800	1
19327_19381	1
19477_19560	1
19544_19611	1
19708_25627	1
18731_22519	1
19177_19239	1
19650_28678	1
20278_20343	1
20577_25445	1
22376_22420	1
23632_25691	1
23279_23326	1
23375_23416	1
24347_27097	1
24323_26738	1
24316_27613	1
24689_24777	1
25567_25610	1
24689_29706	1
25317_25374	1
25304_25353	1
26021_26092	1
26771_26825	1
26783_26825	1
27731_27830	1
27691_27740	1
26774_26814	1
28000_28184	3
27876_27956	1
28916_28961	1
28027_28184	1
28005_28182	1
28027_28192	2
27986_28167	1
28005_28178	1
27987_28154	1
28805_28876	1
29572_29655	1
29462_29551	1
28962_29014	1
29344_29432	1
29006_29078	1
28785_28839	1
29057_29141	1
28758_29152	1
