Genome position	Count
0	8000
1	8001
2	8002
3	8003
4	8004
5	8005
6	8006
7	8007
8	8008
9	8009
10	8010
11	8011
12	8012
13	8013
14	8014
15	8015
16	8016
17	8017
18	8018
19	8019
20	8020
21	8021
22	8022
23	8023
24	8024
25	8025
26	8026
27	8027
28	8028
29	8029
30	8030
31	8031
32	8032
33	8033
34	8034
35	8035
36	8036
37	8037
38	8038
39	8039
40	8040
41	8041
42	8042
43	8043
44	8044
45	8045
46	8046
47	8047
48	8048
49	8049
50	8050
51	8051
52	8052
53	8053
54	8054
55	8055
56	8056
57	8057
58	8058
59	8059
60	8060
61	8061
62	8062
63	8063
64	8064
65	8065
66	8066
67	8067
68	8068
69	8069
70	8070
71	8071
72	8072
73	8073
74	8074
75	8075
76	8076
77	8077
78	8078
79	8079
80	8080
81	8081
82	8082
83	8083
84	8084
85	8085
86	8086
87	8087
88	8088
89	8089
90	8090
91	8091
92	8092
93	8093
94	8094
95	8095
96	8096
97	8097
98	8098
99	8099
100	8100
101	8101
102	8102
103	8103
104	8104
105	8105
106	8106
107	8107
108	8108
109	8109
110	8110
111	8111
112	8112
113	8113
114	8114
115	8115
116	8116
117	8117
118	8118
119	8119
120	8120
121	8121
122	8122
123	8123
124	8124
125	8125
126	8126
127	8127
128	8128
129	8129
130	8130
131	8131
132	8132
133	8133
134	8134
135	8135
136	8136
137	8137
138	8138
139	8139
140	8140
141	8141
142	8142
143	8143
144	8144
145	8145
146	8146
147	8147
148	8148
149	8149
150	8150
151	8151
152	8152
153	8153
154	8154
155	8155
156	8156
157	8157
158	8158
159	8159
160	8160
161	8161
162	8162
163	8163
164	8164
165	8165
166	8166
167	8167
168	8168
169	8169
170	8170
171	8171
172	8172
173	8173
174	8174
175	8174
176	8175
177	8175
178	8176
179	8177
180	8178
181	8179
182	8180
183	8181
184	8182
185	8183
186	8184
187	8184
188	8184
189	8185
190	8184
191	8185
192	8186
193	8187
194	8187
195	8188
196	8189
197	8190
198	8191
199	8186
200	8187
201	8188
202	8189
203	8190
204	8191
205	8192
206	8193
207	8194
208	8195
209	8196
210	8197
211	8198
212	8199
213	8200
214	8201
215	8202
216	8203
217	8203
218	8204
219	8205
220	8206
221	8207
222	8207
223	8208
224	8208
225	8209
226	8210
227	8211
228	8212
229	8213
230	8214
231	8215
232	8216
233	8217
234	8217
235	8218
236	8219
237	8219
238	8216
239	8217
240	8218
241	8214
242	8215
243	8216
244	8217
245	8216
246	8217
247	8207
248	8207
249	8208
250	8206
251	8206
252	8149
253	8149
254	8150
255	8151
256	8152
257	8153
258	8154
259	8153
260	8153
261	8154
262	8155
263	8156
264	8157
265	8158
266	8159
267	8160
268	8161
269	8162
270	8163
271	8164
272	8165
273	8166
274	8166
275	8167
276	8168
277	8169
278	8170
279	8171
280	8172
281	8173
282	8174
283	8175
284	8176
285	8177
286	8178
287	8160
288	8161
289	8160
290	8161
291	8162
292	8162
293	8163
294	8164
295	8165
296	8166
297	8158
298	8159
299	8160
300	8161
301	8162
302	8163
303	8164
304	8165
305	8166
306	8167
307	8168
308	8169
309	8170
310	8171
311	8172
312	8173
313	8174
314	8175
315	8176
316	8177
317	8178
318	8179
319	8180
320	8181
321	8182
322	8183
323	8184
324	8185
325	8186
326	8187
327	8188
328	8189
329	8190
330	8191
331	8192
332	8193
333	8194
334	8195
335	8196
336	8197
337	8198
338	8199
339	8200
340	8201
341	8202
342	8203
343	8204
344	8205
345	8206
346	8207
347	8208
348	8209
349	8210
350	8211
351	8212
352	8213
353	8214
354	8215
355	8216
356	8216
357	8217
358	8218
359	8219
360	8220
361	8221
362	8222
363	8223
364	8224
365	8225
366	8226
367	8227
368	8228
369	8229
370	8230
371	8231
372	8232
373	8233
374	8234
375	8235
376	8235
377	8236
378	8237
379	8238
380	8239
381	8240
382	8241
383	8242
384	8243
385	8244
386	8245
387	8246
388	8246
389	8247
390	8247
391	8247
392	8248
393	8248
394	8248
395	8249
396	8250
397	8251
398	8252
399	8253
400	8254
401	8255
402	8255
403	8254
404	8254
405	8255
406	8256
407	8257
408	8255
409	8256
410	8256
411	8256
412	8257
413	8257
414	8257
415	8257
416	8253
417	8253
418	8253
419	8253
420	8253
421	8250
422	8250
423	8251
424	8252
425	8253
426	8253
427	8254
428	8254
429	8255
430	8256
431	8257
432	8258
433	8257
434	8252
435	8253
436	8254
437	8254
438	8253
439	8252
440	8250
441	8251
442	8252
443	8171
444	8172
445	8173
