Genome position	Count
0	22
1	24
2	27
3	27
4	28
5	28
6	29
7	29
8	29
9	29
10	29
11	29
12	29
13	29
14	29
15	29
16	29
17	31
18	32
19	32
20	33
21	34
22	34
23	35
24	37
25	38
26	39
27	39
28	39
29	41
30	41
31	41
32	41
33	41
34	41
35	42
36	42
37	43
38	43
39	44
40	45
41	46
42	46
43	46
44	48
45	48
46	49
47	49
48	50
49	51
50	51
51	52
52	54
53	54
54	54
55	54
56	54
57	54
58	54
59	54
60	54
61	54
62	54
63	54
64	54
65	56
66	56
67	56
68	56
69	56
70	57
71	57
72	57
73	57
74	57
75	58
76	58
77	58
78	59
79	60
80	61
81	67
82	67
83	68
84	68
85	68
86	68
87	68
88	68
89	68
90	68
91	73
92	75
93	76
94	76
95	76
96	76
97	77
98	85
99	184
100	185
101	185
102	186
103	187
104	205
105	206
106	207
107	215
108	240
109	243
110	243
111	269
112	276
113	281
114	286
115	286
116	287
117	294
118	295
119	312
120	313
121	319
122	319
123	320
124	322
125	324
126	326
127	328
128	328
129	329
130	329
131	329
132	329
133	329
134	330
135	330
136	332
137	332
138	332
139	335
140	336
141	336
142	336
143	336
144	336
145	340
146	340
147	342
148	343
149	343
150	343
151	343
152	343
153	343
154	343
155	343
156	343
157	343
158	343
159	343
160	343
161	343
162	343
163	343
164	343
165	343
166	343
167	351
168	351
169	360
170	362
171	362
172	362
173	362
174	362
175	363
176	363
177	363
178	364
179	365
180	365
181	365
182	365
183	367
184	367
185	367
186	368
187	368
188	370
189	370
190	370
191	370
192	370
193	370
194	370
195	371
196	375
197	375
198	375
199	375
200	375
201	375
202	375
203	376
204	376
205	376
206	376
207	376
208	376
209	376
210	376
211	376
212	376
213	379
214	379
215	379
216	379
217	379
218	379
219	379
220	379
221	379
222	379
223	380
224	380
225	380
226	380
227	380
228	380
229	380
230	380
231	380
232	380
233	380
234	380
235	380
236	380
237	380
238	380
239	382
240	382
241	382
242	382
243	384
244	384
245	384
246	384
247	384
248	384
249	384
250	384
251	384
252	384
253	384
254	384
255	384
256	384
257	384
258	384
259	384
260	384
261	384
262	385
263	386
264	386
265	389
266	389
267	389
268	390
269	390
270	391
271	391
272	391
273	391
274	392
275	393
276	393
277	393
278	394
279	394
280	394
281	394
282	395
283	395
284	395
285	395
286	395
287	396
288	396
289	397
290	398
291	399
292	402
293	402
294	403
295	424
296	424
297	428
298	428
299	438
300	438
301	445
302	446
303	447
304	450
305	450
306	452
307	452
308	453
309	453
310	455
311	456
312	457
313	458
314	458
315	458
316	458
317	459
318	459
319	460
320	461
321	462
322	463
323	464
324	469
325	469
326	476
327	477
328	478
329	479
330	484
331	484
332	485
333	485
334	485
335	485
336	485
337	485
338	487
339	488
340	488
341	488
342	488
343	491
344	493
345	494
346	494
347	497
348	497
349	528
350	535
351	538
352	539
353	539
354	542
355	549
356	549
357	550
358	560
359	568
360	568
361	568
362	743
363	826
364	857
365	866
366	869
367	874
368	874
369	884
370	887
371	894
372	895
373	900
374	1038
375	1058
376	1067
377	1077
378	1083
379	1099
380	1152
381	1244
382	1567
383	5325
384	5443
385	5477
386	5667
387	5796
388	6554
389	8000
390	8001
391	8002
392	8003
393	8004
394	8005
395	8006
396	8007
397	8008
398	8009
399	8010
400	8011
401	8012
402	8013
403	8014
404	8015
405	8016
406	8017
407	8018
408	8019
409	8020
410	8021
411	8022
412	8023
413	8024
414	8025
415	8026
416	8027
417	8028
418	8029
419	8030
420	8030
421	8030
422	8031
423	8032
424	8033
425	8034
426	8035
427	8036
428	8037
429	8038
430	8039
431	8040
432	8041
433	8042
434	8043
435	8044
436	8045
437	8046
438	8046
439	8047
440	8048
441	8049
442	8050
443	8051
444	8052
445	8053
446	8054
447	8055
448	8056
449	8057
450	8058
451	8059
452	8060
453	8061
454	8062
455	8063
456	8064
457	8065
458	8066
459	8067
460	8068
461	8069
462	8070
463	8071
464	8072
465	8073
466	8074
467	8075
468	8076
469	8077
470	8078
471	8079
472	8080
473	8081
474	8082
475	8083
476	8084
477	8084
478	8085
479	8086
480	8087
481	8088
482	8089
483	8090
484	8091
485	8092
486	8093
487	8094
488	8094
489	8095
490	8095
491	8096
492	8096
493	8097
494	8098
495	8097
496	8098
497	8099
498	8100
499	8100
500	8100
501	8100
502	8100
503	8099
504	8099
505	8100
506	8101
507	8102
508	8103
509	8104
510	8105
511	8106
512	8107
513	8106
514	8106
515	8106
516	8106
517	8105
518	8104
519	8105
520	8105
521	8105
522	8106
523	8106
524	8104
525	8103
526	8101
527	8093
528	8092
529	8092
530	8092
531	8093
532	8086
533	8081
534	8079
535	8078
536	8075
537	8072
538	8063
539	8062
540	8059
541	8058
542	8054
543	8050
544	8040
545	8032
546	8023
547	8004
548	8000
549	7926
550	7923
551	7845
552	1514
553	1164
554	1159
555	1067
556	1060
557	1086
558	1090
559	1110
560	1141
561	1158
562	1180
563	1209
564	1229
565	1264
566	1278
567	1298
568	1305
569	1315
570	1315
571	1318
572	1319
573	1333
574	1355
575	1377
576	1385
577	1393
578	1410
579	1417
580	1457
581	1461
582	1473
583	1482
584	1518
585	1534
586	1556
587	1812
588	1825
589	1958
590	2047
591	2079
592	2092
593	2104
594	2121
595	2140
596	2170
597	2177
598	2185
599	2198
600	2207
601	2219
602	2228
603	2234
604	2238
605	2243
606	2252
607	2260
608	2264
609	2270
610	2289
611	2293
612	2298
613	2300
614	2304
615	2321
616	2326
617	2361
618	2365
619	2462
620	2473
621	2486
622	2494
623	2498
624	2520
625	2525
626	2559
627	2563
628	2566
629	2575
630	2614
631	2624
632	2656
633	2664
634	2668
635	2685
636	2709
637	2725
638	2796
639	2830
640	2873
641	2896
642	2932
643	2975
644	2988
645	2988
646	3006
647	3018
648	3234
649	3264
650	3274
651	3274
652	3283
653	3289
654	3300
655	3335
656	3339
657	3349
658	3356
659	3368
660	3374
661	3384
662	3391
663	3394
664	3396
665	3393
666	3401
667	3420
668	3432
669	3438
670	3447
671	3452
672	3463
673	3467
674	3475
675	3479
676	3509
677	3517
678	3519
679	3530
680	3635
681	3645
682	3654
683	3706
684	3723
685	3727
686	3740
687	3746
688	3750
689	3756
690	3759
691	3762
692	3764
693	3793
694	3808
695	3812
696	3834
697	3835
698	3839
699	3844
700	3849
701	3892
702	3909
703	3919
704	3922
705	3922
706	3925
707	3934
708	3937
709	3937
710	3948
711	3959
712	3988
713	3997
714	4007
715	4009
716	4012
717	4018
718	4024
719	4029
720	4031
721	4027
722	4029
723	4031
724	4037
725	4049
726	4053
727	4056
728	4058
729	4060
730	4072
731	4098
732	4111
733	4114
734	4226
735	4379
736	4385
737	4403
738	4422
739	4422
740	4426
741	4425
742	4431
743	4434
744	4438
745	4444
746	4441
747	4441
748	4444
749	4444
750	4461
751	4463
752	4464
753	4468
754	4477
755	4499
756	4502
757	4504
758	4500
759	4446
760	4453
761	4464
762	4482
763	4496
764	4496
765	4512
766	4521
767	4537
768	4540
769	4547
770	4564
771	4569
772	4575
773	4585
774	4591
775	4594
776	4598
777	4603
778	4609
779	4609
780	4611
781	4630
782	4637
783	4641
784	4666
785	4667
786	4688
787	4694
788	4692
789	4694
790	4694
791	4703
792	4705
793	4707
794	4708
795	4716
796	4721
797	4767
798	4767
799	4777
800	4779
801	4788
802	4795
803	4800
804	4801
805	4805
806	4811
807	4814
808	4821
809	4828
810	4828
811	4831
812	4832
813	4834
814	4845
815	4959
816	5000
817	5279
818	5319
819	5352
820	5370
821	5375
822	5400
823	5403
824	5408
825	5407
826	5443
827	5450
828	5447
829	5456
830	5461
831	5472
832	5475
833	5471
834	5418
835	5749
836	5764
837	5779
838	5844
839	5911
840	5954
841	5965
842	5960
843	5973
844	5833
845	5840
846	5890
847	5970
848	6281
849	8000
850	8001
851	8001
852	8002
853	8003
854	8004
855	8003
856	8002
857	8000
858	7991
859	7998
860	7998
861	7997
862	8000
863	8001
864	8002
865	8003
866	8000
867	7999
868	8000
869	7994
870	7990
871	8000
872	8000
873	7988
874	8000
875	7999
876	7999
877	7998
878	8000
879	7996
880	7998
881	7999
882	8000
883	8000
884	7999
885	7951
886	7999
887	8000
888	8001
889	7999
890	8000
891	8001
892	8001
893	8002
894	8002
895	8003
896	8003
897	8003
898	8004
899	8004
900	8003
901	7998
902	8000
903	8001
904	8001
905	8002
906	7996
907	7997
908	7998
909	8000
910	8000
911	8001
912	8001
913	8000
914	8001
915	8001
916	8000
917	8000
918	7999
919	8000
920	8001
921	8002
922	8003
923	8004
924	8005
925	8006
926	8006
927	8007
928	8006
929	8006
930	8007
931	8006
932	8001
933	8000
934	8000
935	7999
936	7994
937	7971
938	8000
939	8000
940	8001
941	8001
942	8002
943	8003
944	8004
945	8005
946	8006
947	8007
948	8008
949	8009
950	8009
951	8010
952	8010
953	8010
954	8011
955	8011
956	8010
957	8011
958	8012
959	8012
960	8013
961	8013
962	8013
963	8014
964	8015
965	8015
966	8016
967	8017
968	8017
969	8018
970	8019
971	8020
972	8021
973	8022
974	8023
975	8024
976	8025
977	8026
978	8027
979	8028
980	8028
981	8029
982	8030
983	8031
984	8032
985	8033
986	8034
987	8033
988	8033
989	8032
990	8031
991	8030
992	8031
993	8032
994	8031
995	8030
996	8030
997	8031
998	8029
999	8028
1000	8024
1001	8022
1002	8010
1003	8011
1004	8009
1005	7968
1006	7999
1007	7997
1008	7986
1009	7995
1010	7987
1011	7995
1012	7980
1013	7989
1014	7997
1015	7997
1016	7997
1017	7997
1018	7999
1019	7993
1020	7967
1021	7985
1022	7987
1023	7991
1024	7997
1025	7981
1026	7985
1027	7992
1028	7935
1029	7972
1030	7964
1031	7981
1032	7978
1033	7955
1034	7969
1035	7973
1036	7999
1037	7997
1038	7997
1039	7999
1040	8000
1041	7999
1042	7995
1043	7999
1044	7998
1045	7998
1046	7998
1047	7998
1048	7994
1049	7998
1050	7996
1051	7999
1052	7999
1053	7998
1054	8000
1055	7999
1056	7999
1057	7999
1058	7997
1059	7999
1060	7997
1061	7995
1062	7996
1063	7998
1064	7993
1065	7997
1066	7994
1067	7994
1068	7987
1069	7982
1070	7989
1071	7995
1072	7998
1073	7985
1074	7974
1075	7973
1076	7973
1077	7964
1078	7955
1079	7953
1080	7961
1081	7959
1082	7916
1083	7921
1084	7922
1085	7927
1086	7916
1087	7924
1088	7917
1089	7918
1090	7963
1091	7978
1092	7978
1093	7995
1094	7998
1095	7995
1096	7991
1097	7992
1098	7996
1099	7992
1100	7982
1101	7984
1102	7980
1103	7978
1104	7930
1105	7908
1106	7880
1107	7814
1108	7798
1109	7702
1110	7718
1111	7794
1112	7886
1113	7864
1114	7764
1115	7227
1116	7280
1117	7305
1118	7303
1119	7222
1120	6651
1121	6542
1122	6560
1123	6572
1124	6597
1125	6646
1126	6346
1127	6154
1128	6041
1129	6027
1130	4906
1131	4286
1132	4290
1133	4307
1134	4298
1135	4303
1136	4307
1137	4301
1138	4327
1139	4349
1140	4349
1141	4342
1142	4360
1143	4375
1144	4383
1145	4389
1146	4432
1147	4430
1148	4443
1149	4461
1150	4468
1151	4470
1152	4482
1153	4494
1154	4508
1155	4527
1156	4549
1157	4558
1158	4565
1159	4580
1160	4605
1161	4620
1162	4631
1163	4644
1164	4650
1165	4680
1166	4689
1167	4700
1168	4747
1169	4763
1170	4786
1171	4797
1172	4822
1173	4824
1174	4831
1175	4839
1176	4852
1177	4877
1178	4889
1179	4891
1180	4891
1181	4898
1182	4905
1183	4915
1184	4918
1185	4929
1186	4935
1187	4942
1188	4944
1189	4944
1190	4952
1191	4964
1192	4972
1193	4982
1194	4988
1195	4994
1196	5000
1197	5002
1198	5022
1199	5027
1200	5030
1201	5026
1202	5029
1203	5032
1204	4997
1205	5046
1206	5074
1207	5188
1208	5209
1209	5229
1210	5258
1211	5265
1212	5268
1213	5282
1214	5288
1215	5290
1216	5293
1217	5302
1218	5385
1219	5395
1220	5393
1221	5401
1222	5407
1223	5420
1224	5474
1225	5587
1226	5590
1227	5585
1228	5597
1229	5607
1230	5609
1231	5622
1232	5627
1233	5637
1234	5639
1235	5637
1236	5644
1237	5653
1238	5654
1239	5655
1240	5660
1241	5662
1242	5665
1243	5667
1244	5674
1245	5674
1246	5676
1247	5676
1248	5681
1249	5701
1250	5718
1251	5723
1252	5735
1253	5738
1254	5741
1255	5743
1256	5751
1257	5758
1258	5763
1259	5765
1260	5767
1261	5770
1262	5776
1263	5784
1264	5784
1265	5790
1266	5796
1267	5795
1268	5798
1269	5800
1270	5808
1271	5806
1272	5812
1273	5816
1274	5821
1275	5822
1276	5826
1277	5828
1278	5830
1279	5830
1280	5836
1281	5842
1282	5842
1283	5844
1284	5845
1285	5845
1286	5838
1287	5843
1288	5849
1289	5851
1290	5852
1291	5858
1292	5862
1293	5862
1294	5870
1295	5881
1296	5907
1297	5914
1298	5914
1299	5915
1300	5917
1301	5921
1302	5924
1303	5927
1304	5928
1305	5930
