Genome position	Count
22	1
23	1
24	1
25	1
26	3
27	3
28	4
29	10
30	947
31	992
32	1038
33	1064
34	1074
35	1090
36	1132
37	1208
38	1209
39	1233
40	1248
41	1268
42	1271
43	1273
44	1293
45	1295
46	1298
47	1298
48	1300
49	1300
50	1302
51	1302
52	1302
53	1303
54	1304
55	1304
56	1304
57	1304
58	1304
59	1305
60	1305
61	1306
62	1306
63	1306
64	1306
65	1306
66	1308
67	1309
68	1309
69	1309
70	1309
71	1309
72	1309
73	1309
74	1309
75	1309
76	1309
77	1309
78	1310
79	1310
80	1310
81	1310
82	1310
83	1310
84	1310
85	1310
86	1310
87	1310
88	1310
89	1310
90	1310
91	1310
92	1310
93	1310
94	1310
95	1310
96	1310
97	1310
98	1310
99	1310
100	1310
101	1310
102	1310
103	1310
104	1310
105	1310
106	1310
107	1310
108	1310
109	1310
110	1310
111	1310
112	1310
113	1310
114	1310
115	1310
116	1310
117	1310
118	1310
119	1310
120	1310
121	1310
122	1310
123	1310
124	1310
125	1310
126	1310
127	1310
128	1310
129	1310
130	1310
131	1310
132	1310
133	1309
134	1309
135	1309
136	1309
137	1309
138	1309
139	1309
140	1309
141	1309
142	1309
143	1309
144	1309
145	1309
146	1309
147	1309
148	1309
149	1308
150	1308
151	1307
152	1307
153	1307
154	1306
155	1306
156	1306
157	1306
158	1306
159	1306
160	1306
161	1306
162	1306
163	1304
164	1305
165	1305
166	1305
167	1305
168	1305
169	1305
170	1305
171	1305
172	1305
173	1305
174	1305
175	1305
176	1305
177	1305
178	1305
179	1305
180	1304
181	1304
182	1304
183	1304
184	1304
185	1304
186	1304
187	1304
188	1304
189	1304
190	1304
191	1304
192	1304
193	1304
194	1304
195	1304
196	1304
197	1303
198	1303
199	1301
200	1301
201	1301
202	1300
203	1299
204	1300
205	1300
206	1300
207	1300
208	1300
209	1300
210	1300
211	1300
212	1300
213	1299
214	1299
215	1300
216	1300
217	1299
218	1299
219	1299
220	1299
221	1299
222	1298
223	1298
224	1298
225	1297
226	1297
227	1297
228	1297
229	1297
230	1297
231	1296
232	1296
233	1296
234	1296
235	1296
236	1296
237	1296
238	1296
239	1296
240	1296
241	1296
242	1296
243	1296
244	1296
245	1296
246	1296
247	1296
248	1296
249	1296
250	1296
251	1296
252	1296
253	1296
254	1296
255	1296
256	1296
257	1296
258	1296
259	1296
260	1296
261	1296
262	1296
263	1296
264	1296
265	1296
266	1296
267	1296
268	1296
269	1296
270	1296
271	1296
272	1296
273	1296
274	1296
275	1296
276	1296
277	1296
278	1296
279	1296
280	1296
281	1296
282	1296
283	1296
284	1297
285	1297
286	1297
287	1297
288	1297
289	1297
290	1297
291	1297
292	1297
293	1297
294	1297
295	1297
296	1297
297	1297
298	1297
299	1297
300	1297
301	1297
302	1297
303	1297
304	1297
305	1297
306	1297
307	1297
308	1297
309	1297
310	1297
311	1297
312	1297
313	1297
314	1297
315	1297
316	1297
317	1297
318	1297
319	1297
320	1297
321	1297
322	1297
323	1297
324	1297
325	1297
326	1297
327	1297
328	1297
329	1297
330	1297
331	1297
332	1297
333	1297
334	1297
335	1297
336	1297
337	1297
338	1297
339	1297
340	1297
341	1297
342	1297
343	1297
344	1297
345	1297
346	1297
347	1297
348	1297
349	1297
350	1297
351	1297
352	1297
353	1297
354	1297
355	1297
356	1297
357	1297
358	1297
359	1297
360	1297
361	1297
362	1297
363	1297
364	1297
365	1297
366	1297
367	1297
368	1297
369	1297
370	1297
371	1297
372	1297
373	1297
374	1297
375	1297
376	1297
377	1297
378	1297
379	1297
380	1297
381	1297
382	1297
383	1297
384	1297
385	1297
386	1297
387	1297
388	1297
389	1297
390	1297
391	1297
392	1297
393	1297
394	1297
395	1297
396	1297
397	1297
398	1297
399	1297
400	1297
401	1297
402	1297
403	1297
404	1297
405	1297
406	1297
407	1297
408	1297
409	1297
410	1297
411	1297
412	1297
413	1297
414	1297
415	1297
416	1297
417	1297
418	1297
419	1297
420	1297
421	1297
422	1297
423	1297
424	1297
425	1297
426	1297
427	1297
428	1299
429	1299
430	1299
431	1299
432	1299
433	1299
434	1299
435	1299
436	1299
437	1299
438	1299
439	1299
440	1299
441	1299
442	1299
443	1299
444	1299
445	1299
446	1299
447	1299
448	1299
449	1299
450	1299
451	1299
452	1299
453	1299
454	1299
455	1299
456	1299
457	1299
458	1299
459	1299
460	1299
461	1300
462	1300
463	1300
464	1300
465	1300
466	1300
467	1300
468	1300
469	1300
470	1300
471	1300
472	1300
473	1300
474	1300
475	1300
476	1300
477	1300
478	1300
