end_site	Count
1119	6854
4696	1948
419	1
1108	918
9607	1580
6140	304
9457	98
9622	34367
5028	98
1129	14443
1868	615
9621	32520
9150	25
5480	870
536	6
1130	8603
6658	306
4639	527
9601	955
1114	5370
2055	4583
9222	1
9610	2221
9619	2180
9626	4747
546	34
531	11
9616	2127
9494	331
9496	150
9552	83
9589	306
1113	1007
9539	93
9613	1356
9612	2627
9618	6041
9482	73
1644	1
9517	284
9583	155
9624	871
9518	93
2009	25
829	70
1864	11887
9446	83
9544	52
9586	717
9617	1112
9580	235
9501	137
9411	53
9608	2052
9595	400
4704	166
9240	1
9600	765
1073	105
9566	244
6171	4305
9438	26
9606	2518
9579	191
4642	811
9562	202
9466	58
9569	438
9440	54
9540	25
552	635
1019	343
9567	376
833	1191
551	12234
843	2351
1605	231
1895	29
1107	239
2387	922
816	90
9614	1125
9627	2275
6153	2764
9480	103
9593	973
1951	839
6875	5146
4138	3240
4401	2690
9450	154
4686	3627
9533	70
4153	12
9615	1780
999	28
758	2094
1027	751
9432	57
9528	90
9556	99
9394	16
837	40
9149	7
9553	164
9372	16
9488	72
9599	288
9460	120
9512	167
1075	71
8957	49
9535	222
9485	120
9489	29
9295	4
9461	79
9515	162
9629	305
9452	53
9538	49
487	1
9471	76
9611	1370
9401	19
9459	101
9474	93
9570	164
9456	181
9510	85
9487	100
9383	42
9503	173
9455	160
9381	33
1007	142
9564	131
9591	402
1109	162
8894	69
9587	335
545	15
3931	6
1226	108
9467	27
548	163
8408	1
6690	350
512	2
9415	26
9557	199
8177	646
9479	62
2590	32
9561	259
6650	149
4676	746
2530	10
9472	95
9585	1034
9573	241
9532	56
740	41
9605	619
9572	253
739	28
1146	32
9578	199
543	17
752	113
9478	157
1126	2737
1127	1195
9551	399
9603	612
9576	241
9520	44
550	187
4129	248
9598	772
4415	346
9486	47
513	1
549	49
9505	50
532	6
634	8
553	59
9529	146
9620	2472
514	1
4095	5
842	176
872	82
554	199
633	10
756	170
9470	106
1032	446
9568	337
541	11
9531	36
1085	214
517	5
9602	423
9413	43
9590	472
494	2
537	17
535	5
4837	19
1120	1257
533	5
