5prime_site	Count
26481	5592
27041	3842
28254	2565
25382	12893
28255	50091
26733	12
25385	71
28259	1056
28263	571
16792	1
26468	22189
26479	345
28250	945
27384	3690
27058	175
27385	22138
28000	7
27761	94
27674	62
25384	1117
28258	4009
28745	44
28256	151
21552	4510
29312	158
28432	56
28734	12
28266	349
29063	5
27293	19
27387	576
27386	1277
28265	4556
26477	1176
26271	1700
28855	20
27048	781
28267	2097
29744	10
29308	127
26983	3
28251	361
29368	26
27057	43
29163	48
28898	15
28890	14
25383	611
28269	14
26467	1107
29014	73
28257	2378
25381	1401
26237	1201
29261	21
29391	25
29443	59
27393	373
26482	1653
26485	233
25393	250
21553	297
29441	17
28175	7
25389	254
27372	20
28264	905
27379	25
26464	52
26821	365
26815	11
28783	3
28535	12
27407	231
29786	20
29791	145
22502	13
21554	555
25491	4
29390	37
28271	133
28243	205
27395	1138
26483	626
26471	1582
27380	122
28268	427
25379	93
27884	4713
25402	7
28427	30
21559	24
25394	478
29435	10
26470	1042
27388	87
26488	836
28460	6
27909	14
27181	4
29379	72
28248	179
27742	22
21551	183
28644	9
26244	25
27485	44
27999	9
21556	20
27013	5
27783	28
29310	156
28856	12
28809	12
26278	9
26553	3
23305	2
27389	388
27886	331
27895	402
27392	920
27394	241
26463	177
29733	17
25391	689
27373	23
26487	356
29343	172
28227	29
26376	3
29403	43
29216	27
2921	1
29300	15
27382	30
28143	5
29354	110
28244	199
29000	12
27739	9
28094	6
29251	34
26299	15
29233	39
28725	18
27719	9
28688	46
26469	127
29619	9
27638	41
28953	27
28240	82
28673	92
27056	37
22559	5
28732	22
28637	9
27767	74
27656	2
29525	13
27377	36
29213	19
26511	8
29659	8
27050	118
26472	574
28964	33
21545	11
25313	1
25378	100
26269	145
27399	9
28466	31
25930	2
26474	194
27754	81
29478	89
29081	25
428	1
29232	91
28262	148
29351	69
28851	35
25392	161
29461	21
28516	19
28047	16
24773	2
28247	109
29330	36
29494	171
7232	1
29479	100
29168	12
29096	19
27059	9
26243	90
28815	21
24101	2
28650	37
28252	361
29367	25
28776	10
28629	14
27397	194
27426	3
26466	193
29596	6
27760	23
26462	33
27892	130
21560	104
29492	137
2440	1
29309	83
29196	152
5786	1
29404	69
28290	33
29210	38
27891	41
28449	13
29197	102
26817	137
27710	5
29392	27
27686	47
29481	266
29269	31
28728	33
25390	113
25380	167
27383	176
27885	197
28260	119
27051	50
28747	7
27328	4
28599	18
28382	9
26453	13
21562	36
29079	33
28848	12
29383	22
28804	14
29841	13
29377	49
28577	283
3180	2
26513	12
27222	58
27049	93
28272	116
29337	72
27381	39
28261	247
26421	2
28158	13
22497	2
27896	72
28876	8
29082	159
29109	12
28245	90
27793	35
29752	7
27689	7
27445	10
27636	3
21555	152
22455	1
26089	3
29457	67
29471	81
24276	1
28944	28
29325	89
29420	27
27053	93
29520	13
29335	83
26284	152
29266	55
4882	1
7958	1
26666	6
27810	16
28253	320
5530	2
29346	35
29360	37
29165	33
27482	19
27893	89
26818	29
26486	335
26830	19
29235	69
29490	68
28468	14
27038	14
27055	81
27326	25
27039	69
27400	80
29491	59
28970	16
29329	21
4485	2
28406	26
28716	10
23965	1
28408	24
27390	53
29084	100
27904	18
28216	26
28299	9
27889	42
27042	44
29175	49
29475	92
28954	32
21743	1
26831	70
29173	88
26289	136
25640	1
27111	2
26077	5
28832	10
27037	8
26491	14
29145	46
29338	12
26783	3
28202	17
23838	2
27421	3
25387	25
27791	9
29350	55
26504	7
29493	48
23451	1
29095	27
27758	6
28381	9
27045	81
26627	7
27464	27
29316	21
25424	6
28693	47
21558	11
29417	28
22945	10
29410	23
28602	40
27880	15
27043	23
29268	18
29315	19
27646	12
28575	98
28749	36
3819	1
28574	55
29518	7
28279	27
28729	118
29326	140
29273	25
25761	2
28753	17
28646	8
29840	8
29470	76
29016	97
28733	14
27755	241
26270	151
29447	19
27756	19
27398	44
28215	27
29290	28
27861	6
27647	98
28601	34
26473	91
29465	13
27396	296
28063	15
13679	1
27883	151
27172	6
28976	30
26409	5
21563	153
28914	12
29222	13
29070	88
25370	16
22654	2
29406	67
29306	26
29400	24
27946	12
29442	27
28208	21
27017	9
29515	22
29283	13
29143	20
27766	53
28891	23
28231	54
29193	51
29305	31
25388	87
26503	6
28909	10
28933	57
28491	7
28293	6
5946	1
29152	10
25396	149
28219	27
25358	3
27830	7
29317	15
27391	137
29480	104
27671	7
27552	5
28273	44
29083	44
28718	5
27301	43
26502	8
26241	25
27623	24
29513	14
29380	59
28056	11
28497	18
29460	16
27044	26
29353	146
29112	23
29369	23
26290	49
27854	4
28691	47
21561	30
29813	32
25676	4
28042	12
28929	54
29476	215
28210	18
27376	21
28079	5
29237	17
25791	3
28278	10
28270	77
29236	13
27282	10
29662	11
28552	13
29147	38
29250	16
27409	32
25406	2
28731	142
29342	64
29852	9
24949	2
27697	23
29020	9
26274	88
29086	53
29214	14
29469	49
25395	23
27369	28
27882	39
27912	20
28416	70
26478	47
25386	100
26819	101
28122	5
28755	18
27763	11
27792	51
25751	4
27511	7
26383	4
29122	18
