start_site	Count
1	160743
2	5364
3	4051
4	5285
5	2293
6	6269
7	1791
8	1228
9	1630
10	478
11	404
12	957
13	118
14	120
15	185
16	482
17	647
18	305
19	453
20	61
21	79
22	116
23	215
24	251
25	79
26	97
27	107
28	52
29	20
30	50
31	47
32	139
33	94
34	83
35	49
36	50
37	131
38	42
39	22
40	17
41	30
42	56
43	28
44	33
45	88
46	24
47	23
48	48
49	40
50	36
51	29
52	39
53	22
54	42
55	23
56	28
57	39
58	64
59	42
60	27
61	22
62	44
63	30
64	30
65	32
66	5
67	42
68	16
69	20
70	17
71	29
72	31
73	24
74	21
75	13
76	3
77	1
78	3
79	29
80	6
81	6
85	1
86	2
87	3
88	71
89	14
90	13
91	2
92	3
93	46
94	28
95	44
96	31
97	34
98	16
99	12
100	6
101	14
102	16
103	15
104	15
105	13
106	10
107	9
108	5
109	6
110	13
111	12
112	5
114	4
115	46
116	8
117	18
118	8
119	22
120	11
121	13
122	7
123	12
124	2
125	9
126	7
127	4
128	8
129	8
133	17
134	33
135	24
136	9
137	7
138	2
141	7
142	13
143	11
144	2
145	19
146	56
147	15
148	6
149	13
150	10
151	9
153	5
159	2
160	25
161	3
162	17
163	30
164	12
165	12
166	9
167	5
168	6
169	6
170	2
171	1
172	6
173	3
174	4
175	1
177	1
179	2
180	3
183	1
184	1
186	1
187	58
188	51
189	18
190	52
191	25
192	36
193	5
194	4
195	24
196	10
197	17
198	11
199	5
200	21
201	15
202	15
203	32
204	13
205	9
206	10
207	9
208	30
209	11
210	13
211	15
212	5
213	6
214	16
215	26
216	25
217	11
218	3
219	12
220	9
221	4
222	7
223	4
224	7
225	8
226	6
227	16
228	7
229	12
230	7
231	11
232	6
233	13
234	22
235	15
236	18
237	14
238	8
239	3
240	5
241	9
242	10
243	3
244	7
245	16
246	14
247	9
248	9
249	14
250	3
252	1
254	15
255	3
256	15
257	20
258	6
259	6
260	8
261	12
262	4
263	5
264	3
265	2
266	6
267	54
268	8
269	15
270	10
271	18
272	7
273	12
274	3
275	7
276	20
277	15
278	7
279	10
280	5
281	9
282	3
283	4
284	4
285	3
286	4
287	7
288	5
289	7
290	10
291	11
292	9
293	8
294	4
295	5
296	8
297	11
298	8
299	7
300	9
301	1
305	1
306	2
307	31
308	5
309	6
310	6
311	10
312	5
313	9
315	1
316	10
317	4
318	3
319	24
320	5
321	8
322	1
323	2
325	3
326	2
327	6
328	4
329	3
