barcode	Count
5_41_8982_9621	1
7_103_454_743_5976_6044_8369_8919_9175_9622	1
21_167_9069_9621	1
66_98_9174_9610	1
99_543_8187_9709	1
100_118_9194_9416	1
109_118_9393_9622	1
117_167_9247_9612	1
120_210_9285_9502	1
253_516_6363_6875	1
295_368_9196_9460	1
364_389_9181_9622	1
384_615_1910_2126	1
384_396_9175_9450	1
384_414_9196_9569	1
387_446_9283_9622	1
388_412_9247_9621	1
435_747_5059_6634	1
454_747_5960_6044_8369_9622	21
454_743_4913_4962_5976_9621	6
454_743_5976_9622	264
454_743_5960_6044_8369_9622	90
454_743_5954_6044_8369_9622	97
454_743_5976_6044_8369_9622	435
459_743_4913_4962_5777_6153	11
452_743_4913_4962_5390_5463_5777_6171	1
452_747_4913_4962_5954_6044_8369_9447	1
454_743_5390_5463_5976_6171	36
454_743_5390_5463_5976_6044_8369_9622	112
454_743_5390_5463_5954_6044_8369_9622	23
459_743_5390_6044_8369_9622	20
452_743_4913_4962_5390_5463_5960_6044_9219_9621	1
454_743_4913_4962_5390_5463_5954_6044_8369_9622	9
454_743_4913_6044_8369_9618	14
454_743_4913_6171	149
454_743_5390_5463_5960_6044_8369_9621	27
459_743_8369_9622	14
454_743_5777_6044_8369_9621	61
454_743_4913_4962_5390_6044_8369_9621	6
452_743_4913_4962_5960_6171	2
454_743_5390_9622	185
454_743_4913_4962_5390_5463_5976_6044_8369_9622	56
452_743_8345_9621	2
459_743_5976_6051_8369_9618	4
454_743_4913_4962_5954_6044_8369_9616	5
459_747_4919_4998	5
454_743_4913_4962_5960_6044_8369_9615	7
454_743_4913_4962_5777_6044_8369_9622	48
454_743_4913_4962_5976_6044_8369_9622	58
459_743_4913_4962_5390_5463_5777_6044_8369_9622	11
453_747_5390_5463_5777_6044_8369_9622	1
454_743_4913_4962_5992_6044_8415_9590	1
454_747_5960_7313	6
454_743_5980_6158	10
454_743_4913_5058_5390_5463_5777_6044_8369_9622	3
454_743_5390_5463_5777_6044_8369_9618	23
454_743_4913_4962_5976_6044_8401_9622	1
454_743_5777_6044_8379_9622	1
454_747_4913_4962_5976_6044_8369_9622	2
454_743_4913_4962_5390_5463_5992_6044_9162_9622	1
454_829_8205_9515	1
454_909_1325_1748_1871_2636	1
454_879_971_1119	1
454_634_9073_9623	2
454_628_9069_9621	1
454_743_5390_5463_5980_6044_8369_9621	1
454_743_5976_8502_8578_9411	1
454_743_5777_6171	17
454_747_4919_4962_5390_6044_8369_9621	1
454_958_9331_9610	1
454_743_4913_4962_5390_6171	20
454_747_5390_8035_8113_9618	1
454_743_4913_4962_5390_5463_5960_6044_8369_9618	8
454_743_4913_5058_5777_6044_8369_9622	8
454_793_8369_9616	1
454_474_5629_6165	1
454_743_4913_5076_5417_5463_5960_6044_8369_9466	1
454_743_4913_4962_5777_6044_8369_9435_9494_9622	1
454_1855_1927_2676	1
454_747_4945_6138	1
454_743_5980_6044_8369_9568	5
454_743_5390_6044_8369_9323_9437_9587	1
454_747_5992_6044_8369_8747	4
459_743_5390_5463_5936_6044_8369_9622	4
454_747_4913_9612	3
454_1102_3932_3943	3
454_747_4919_4962_5390_5463_5976_6044_8369_9621	2
454_743_4913_5437_5686_6168	1
454_1104_3932_3944	1
454_743_5936_6044_8369_9622	15
454_743_5390_5463_5976_6048_8369_9622	5
454_743_5954_6171	16
454_743_4913_5058_5777_6165	1
454_743_5390_5477_6000_6044_8369_9608	1
454_743_4913_4962_5403_5463_5992_6044_8369_9451	1
454_743_5976_6048_8369_9622	7
454_743_5390_5463_5976_6044_8345_9622	1
454_743_5777_8355_8598_9618	1
454_743_5390_5463_5976_6044_8363_9622	1
454_743_5390_9587_13707_13735	1
454_743_4913_5058_5390_5463_5954_6044_8369_9611	1
454_743_5960_6171	16
454_743_4913_4973_5960_6044_8369_9622	1
454_743_4913_4962_5390_5463_5976_9608	6
454_828_4346_4670	1
454_743_5390_5463_5948_6044_8369_9508	1
454_747_5976_9622	2
454_634_9069_9622	6
454_634_1442_4698	1
454_743_4913_4962_5390_5454_5943_6044_8369_9613	1
459_743_5390_5463_5960_6651	3
454_743_4913_5789_8415_9621	1
454_743_5390_5463_5954_6044_9162_9622	1
454_743_5936_6655	2
454_1982_2299_4683	1
454_743_5983_9621	1
454_743_4913_5058_5390_5463_5976_6044_8369_9622	3
454_743_5954_6048_8345_9621	1
454_552_617_743_5936_6044_8369_9620	1
454_743_4913_5126_5234_6044_8369_9620	1
454_2873_2947_4684	1
454_743_5954_6044_8369_8811_8971_9622	1
454_743_5390_6214_8884_9622	1
454_743_5390_5463_5954_6153	2
454_583_695_743_5976_6044_8369_9492	1
454_743_5954_6044_8369_8873_8935_9622	1
454_743_5976_6044_8369_8873_9033_9622	1
454_743_5954_9365_9415_9622	1
454_690_8773_9558	1
454_646_5468_6171	1
454_732_5954_6044_8369_9621	1
454_743_4913_4962_5942_6044_8369_9622	1
454_743_5390_5463_5777_6153	5
454_743_5390_5463_5980_6169	1
454_747_5403_5463_5976_6044_8369_9621	1
454_743_5390_5463_5954_6044_8369_8642_8698_9621	1
454_743_4913_4962_5390_5463_5936_6044_8369_8823	1
454_743_5468_6153	1
454_747_8401_9622	1
454_559_636_2387	1
454_743_5976_7021_7076_9203	1
454_665_770_1015	1
454_743_5390_5513_8369_9523	1
454_743_9275_9622	1
454_848_914_1130	1
