junction	Count
23_11950	1
11957_140444	1
65_66435	1
404_143340	1
560_24200	1
477_24783	1
537_140403	1
529_140389	1
508_144122	1
811_1007	1
653_10974	1
904_11877	1
1184_23031	1
1633_1764	1
1964_117589	1
1464_1511	1
2364_2424	1
2341_2406	1
1461_2188	1
2317_3083	12
1574_1709	1
2278_2446	1
2379_2444	1
2373_2432	3
2162_5013	1
2313_3083	1
3182_120261	1
2164_143244	1
2377_2419	1
2738_108010	1
3660_4814	1
2361_2416	1
3330_5595	1
2350_2406	1
2349_2412	1
2366_2436	1
2358_2416	2
2338_2438	1
2305_3083	1
2359_2416	1
2890_123585	1
2970_5291	1
2863_3083	1
2801_5555	1
2779_5010	1
2779_5009	1
2647_3069	1
2769_90842	1
2786_3070	1
2786_123481	1
3262_144106	1
3195_4891	2
3502_5227	1
3747_4761	1
4975_5028	1
3394_66364	1
3592_5018	1
3804_24847	1
4044_53744	1
3992_5343	1
4066_23605	1
4077_18440	1
4363_5520	1
4143_70491	1
70917_122207	1
4157_51880	1
4281_4686	1
4373_4909	1
4398_24851	1
4405_25436	1
4414_5022	1
4405_10974	1
4405_24783	1
4414_25299	1
4405_24785	1
4441_5011	1
4699_5541	1
4550_66420	1
4550_24785	1
4699_5439	1
5266_5454	4
4765_5544	1
5197_5563	1
5501_5545	1
4861_120894	1
4952_6908	1
4873_70536	1
4974_5022	1
5177_5351	1
5692_6194	1
6300_144121	1
4900_22945	1
4900_30147	1
4952_6912	1
5025_5276	1
5662_120733	1
5635_120709	1
5267_5457	1
5266_5457	1
5633_120895	1
5276_120916	1
5455_121095	1
5096_120870	1
5456_121095	1
5461_5522	1
5494_121216	1
5148_120870	1
5501_121275	1
5341_7144	1
5366_5423	1
5536_94091	1
5703_52996	1
53115_103515	1
5681_144125	1
6108_123183	1
123288_124058	1
5884_31382	1
6376_6816	1
6955_140470	1
7267_11738	1
7268_11883	1
7268_11886	1
7268_11733	1
7639_9821	2
7646_7754	1
8246_8570	1
7973_8107	3
8007_136601	1
8045_8307	1
7889_8131	1
8742_103153	1
7847_7896	1
8230_8535	1
7795_7978	1
7755_144298	1
8067_118125	1
7965_8080	2
8288_118135	1
8298_118397	1
8236_8325	1
8549_128920	1
7960_8325	1
8155_8406	1
7976_8106	1
7968_8326	2
7975_8080	1
7973_8054	1
8259_8334	1
7889_118614	1
7966_8325	1
7757_118482	1
8238_8564	1
8480_8575	1
8197_9426	1
8230_118076	1
7974_118073	1
7945_8146	1
7973_8055	1
7914_23029	1
8424_9210	1
8246_118304	1
8058_143274	1
8275_91102	1
8173_10847	1
8455_117844	1
8465_10196	1
8428_24009	1
24016_140411	1
8523_117912	1
8657_140768	1
8819_11660	1
8845_50406	1
8813_69728	1
8833_144312	1
8813_11443	1
8854_23327	1
8852_70986	1
71621_71699	1
8870_24807	1
9018_10802	1
9189_11006	1
9247_9408	1
9541_89769	1
9294_9831	1
9752_9972	1
9297_9446	1
9553_9613	1
10768_10807	1
10938_11271	1
10734_10938	1
9369_140190	1
10566_10634	1
10713_10751	1
10050_70814	1
9918_11691	1
9258_10248	1
9260_9539	1
9302_9839	1
10115_144723	1
145648_145861	397
11364_140613	1
9704_10024	1
9766_9815	1
10784_103514	1
10949_23029	1
11736_14317	2
10906_26636	1
10068_10109	1
10154_10216	1
9853_51352	1
10059_31152	1
10664_10744	1
10270_10804	1
9975_10381	1
10029_10148	1
10181_133406	1
10096_10147	1
10245_10401	1
10664_11097	1
10452_11285	2
10362_23835	1
10968_14317	1
10740_115081	1
10590_10668	1
11407_132099	1
132389_132519	2
10579_10624	1
11105_11178	1
10537_10658	1
10721_10802	1
10634_10727	1
10854_70993	1
11689_91684	1
10469_10590	1
10439_10634	1
10596_11596	1
11508_11573	1
10435_10577	1
10992_136810	1
11704_14327	1
10540_112975	1
113385_114526	1
10642_10751	1
11319_11596	1
11460_25698	1
10968_14268	1
10959_11032	1
10968_138281	2
11736_53011	2
53145_66377	1
11480_11681	1
10965_57164	1
10879_136732	1
11351_11409	5
10942_26748	1
10942_46607	1
10900_144122	1
10998_26536	1
10925_70536	1
11119_11173	3
11086_11180	1
11736_24102	1
11734_51552	1
11207_11545	1
11266_11346	1
11203_11638	1
11263_11439	1
11615_70595	1
11460_11709	2
11767_24575	1
11189_11674	1
11114_11178	7
11567_11615	1
11632_43822	1
11736_69320	1
11113_11180	1
11189_11244	1
11601_11676	1
11127_11206	1
53114_71787	1
11620_144124	1
11107_11180	2
11736_20551	1
11191_11672	1
11158_11334	1
11670_132301	1
11304_11704	1
11555_11629	1
11343_11584	1
11736_134348	1
11483_11547	1
11481_11685	1
11584_11629	1
11736_144038	1
11736_98482	1
11652_66364	1
11736_114997	1
11551_11592	1
11400_11475	1
11005_72008	1
11264_11599	1
11418_11482	1
11418_11468	1
11736_14268	3
11470_11596	1
11309_70575	1
11421_11529	1
11526_11614	1
11620_102541	1
11623_108271	1
11719_98541	1
11771_143250	1
11713_96176	1
11640_139696	1
10980_11108	1
11460_11703	2
11622_11685	1
11267_108847	1
11246_11317	1
11592_66364	1
11412_11455	1
11119_11656	2
11132_11239	1
11589_11658	1
11689_120254	1
120260_144149	1
11654_68243	1
11034_11082	1
11221_11424	1
11149_11400	2
11670_110212	1
11125_45490	1
11271_67415	1
11102_11180	1
11736_66263	1
11735_13455	1
13524_14319	1
11351_11433	1
11354_11629	1
11253_11358	1
11154_11400	1
11763_108032	1
11681_18963	1
11199_90789	1
11702_70927	1
11441_11572	1
11736_98562	1
11546_11596	1
11736_51719	1
11238_11279	1
11822_92936	1
11098_70669	1
11449_11706	1
11351_70824	1
11366_11412	1
11736_70540	1
11042_11209	1
11087_11173	1
11751_97911	1
11146_11623	1
11116_11178	1
11706_93054	1
11796_92908	1
11087_24524	1
11423_11596	1
11599_19412	1
11191_70814	1
11697_144144	1
145230_150960	1
11490_15044	1
11253_11307	1
11736_98446	1
11108_11188	1
11719_70261	1
11574_98709	1
11732_36049	1
11113_11178	1
11706_134380	1
11694_18192	1
11689_144122	1
11567_11629	1
10986_11097	1
11283_11332	1
11104_11180	1
10998_115837	1
11736_23387	1
11415_11455	1
11357_25376	1
11323_11424	1
10996_11097	1
11185_11230	1
11670_11720	1
11206_11685	1
11736_143983	1
11736_14302	1
11720_66373	1
11020_11510	1
11731_106802	1
11643_11703	1
11887_66358	1
11238_11606	1
11736_103978	1
11620_70491	1
11739_14300	1
10995_11226	1
11702_144117	1
11119_70419	1
11456_105563	1
105675_144062	1
11263_11691	1
11478_120668	1
121147_145283	1
11363_11424	2
11468_11596	1
11327_11416	2
11730_59630	1
11068_11492	1
11736_40301	1
11418_11545	1
11427_11530	1
11825_103514	1
11583_24785	1
11297_11364	1
11699_132129	1
132394_132541	5
11755_144122	1
11603_107399	1
11751_108256	1
11706_103514	1
11706_70551	1
11695_103514	1
11689_46600	1
11695_144149	1
144685_144892	1
11685_115550	1
11685_103514	1
11736_144099	1
11699_106831	1
11685_70491	1
11689_35010	1
11710_139704	1
11689_103514	1
11704_123482	1
11713_51803	1
11706_115026	1
11963_12212	1
12100_13500	1
11957_51780	1
11900_107310	1
12090_13617	1
12312_12397	1
12099_13011	1
13448_13932	3
12390_139412	1
12178_12300	8
14969_24425	1
11995_80685	1
11760_12038	1
12174_12300	1
12464_13048	2
13448_13698	2
11749_144122	1
11804_143347	1
12097_13011	2
11993_66364	1
12245_66939	1
11812_30900	1
12188_12972	1
12091_13131	1
11897_12972	1
13538_14241	1
12203_36677	1
11939_13559	1
12951_13067	1
12090_13003	1
12667_12724	1
12093_13131	1
12375_34907	1
36265_66615	1
12015_105867	1
106020_106100	15
106841_107054	1
12428_12972	1
13346_70530	1
14171_33635	1
15092_35004	1
15092_80814	1
15092_24425	1
16304_133360	1
15736_23702	1
15750_23316	1
16626_17659	1
17001_17124	1
16554_150871	1
17130_141681	1
16463_17149	1
17163_17319	1
16880_17402	1
17063_17162	1
16827_22906	1
17944_67435	1
17030_17131	1
17001_17131	1
17497_17536	1
17001_17147	1
17815_17880	1
17819_25341	1
17001_17091	1
17174_22982	1
17001_17126	1
17245_17450	1
16986_17308	1
17113_23887	1
17113_23821	1
17113_23439	1
17113_23761	1
17113_23591	1
17473_17555	1
17818_17891	1
17803_138338	1
17333_17513	1
17240_24783	1
17356_17549	1
17764_17813	1
17539_17842	1
17815_17883	1
17605_36669	1
17679_22801	1
17743_17818	1
17809_17878	1
17898_90670	1
18060_52926	1
18053_144038	1
19161_66299	1
18200_144125	1
19131_19226	1
18203_132129	1
132408_132541	150
18200_144149	1
18832_18899	1
19082_19148	1
18203_66364	1
18363_18504	1
18571_18626	1
18362_18504	1
18571_18623	1
19368_123526	1
123941_123999	2
18316_66280	1
18598_19083	1
18843_23335	1
18850_23497	1
23733_23848	1
19800_30147	1
19800_23031	1
19800_32570	1
32576_103514	1
20031_24877	1
20529_24324	1
21204_23554	1
20996_23792	1
21504_21881	1
21949_22906	1
21081_24168	1
21886_24593	1
21628_39879	1
21967_144127	1
22431_22471	1
22366_23982	1
23150_23251	1
23918_24177	1
23129_23742	1
22939_23009	1
24575_140432	1
23093_143420	1
23398_23620	1
23025_25433	1
23215_23275	1
23446_23920	1
23149_115565	1
23240_23300	1
23025_94331	1
23577_24038	1
24422_43310	1
23847_24161	1
23510_23558	1
23189_23370	1
23675_23821	1
23536_23615	1
23109_136877	1
23049_23094	1
24070_24154	1
23542_23852	1
24178_24303	1
24033_24178	1
24365_24584	1
23530_143464	1
23893_24296	1
23665_23758	1
24659_115057	1
23038_23198	1
23151_24610	1
23624_23798	1
24807_127166	1
23001_146080	1
23336_24545	1
23307_23761	1
24070_24188	1
23637_23783	1
24120_24605	1
22974_23031	1
23162_23798	1
23710_24097	1
24709_115057	1
23130_24488	1
23474_23626	1
23189_23689	1
23731_23893	1
23217_144828	1
145648_145821	336
23650_23711	1
24635_145584	1
23985_24369	1
23948_96481	1
24625_32311	1
24001_24524	1
24490_24533	1
23640_23959	1
23953_24107	1
23542_23983	1
23271_23588	1
23318_23503	1
23917_24519	1
23450_23911	1
23049_24082	1
23952_24317	1
23159_24131	1
24499_79813	1
23079_23196	1
23474_24161	1
23159_24553	1
23176_143274	1
23213_70587	1
24099_24626	1
23956_24062	1
24441_31287	1
23038_23650	1
23082_23662	1
23553_23603	1
23884_23970	1
23053_108303	1
23109_23955	1
23077_23392	1
23631_94067	1
23178_23975	1
24184_140389	2
23251_23548	1
23114_140426	1
23038_23183	1
23036_23588	1
23553_23612	1
24680_66263	1
24627_66376	1
23176_24545	1
23377_23445	1
23391_24542	1
23461_23792	1
23331_23392	1
24532_70856	1
24728_25314	1
23676_24369	1
23977_24035	1
23167_23837	1
23222_23335	1
23935_24215	1
23237_24093	1
23417_24524	1
23241_115216	1
23325_23392	1
24001_24626	1
23655_23900	1
24680_139601	1
24020_24476	1
23085_24012	1
23271_23417	1
23530_24361	1
23153_24430	1
23568_23620	1
23496_23558	1
24222_24296	1
23159_145048	1
24637_52761	1
23452_23558	1
23420_23471	1
23317_24229	1
23072_23485	1
24685_92822	1
24155_41941	1
23055_24000	1
23562_24369	1
23347_66480	1
23977_24275	1
23307_23620	1
23178_23972	1
23077_23565	1
23068_24182	1
23228_23290	1
23090_23211	1
23296_23615	1
23091_23511	1
23922_24586	1
24108_24549	1
23299_23575	2
23093_23620	1
24055_62349	1
24178_24260	1
23366_24575	1
23126_24303	1
23156_23452	1
23476_23597	1
23974_24485	1
23620_23662	1
23764_24207	1
23387_23596	1
24251_24361	1
23701_24317	1
23995_24241	1
23362_23438	1
23228_23364	1
23133_24118	1
24391_62459	1
23466_24413	1
24674_52582	1
52818_91090	1
23318_23497	1
24672_70551	1
