start_site	Count
1	328305
2	18330
3	14992
4	14513
5	3000
6	16325
7	4719
8	1603
9	4315
10	2684
11	2119
12	1236
13	367
14	388
15	1105
16	618
17	1882
18	1292
19	196
20	211
21	420
22	260
23	219
24	574
25	108
26	110
27	144
28	177
29	145
30	177
31	189
32	200
33	125
34	99
35	35
36	51
37	6
38	16
39	31
40	364
41	67
42	103
43	188
44	117
45	87
46	155
47	147
48	66
49	112
50	116
51	44
52	69
53	91
54	80
55	115
56	37
57	59
58	66
59	45
60	79
61	89
62	171
63	122
64	64
65	58
66	79
67	105
68	43
69	46
70	72
71	43
72	70
73	57
74	47
75	59
76	23
77	46
78	22
79	18
80	6
81	4
82	8
83	74
84	212
85	122
86	73
87	48
88	18
89	16
90	22
91	17
92	4
93	17
94	27
95	115
96	56
97	63
98	50
99	28
100	45
101	63
102	33
103	37
104	42
105	34
106	42
107	35
108	59
109	49
110	49
111	109
112	72
113	29
114	42
115	29
116	19
117	27
118	28
119	42
120	34
121	77
122	41
123	26
124	23
125	54
126	25
127	29
128	35
129	40
130	74
131	17
132	32
133	32
134	33
135	26
136	26
137	14
138	32
139	62
140	36
141	29
142	13
143	19
144	45
145	17
146	21
147	28
148	23
149	22
150	17
151	23
152	24
153	31
154	29
155	10
156	17
157	20
158	15
159	20
160	26
161	74
162	38
163	33
164	21
165	13
166	16
167	15
168	34
169	24
170	24
171	43
172	26
173	14
174	5
175	8
176	26
177	17
178	17
179	14
180	12
181	16
182	11
183	11
184	13
185	109
186	19
187	21
188	26
189	27
190	21
191	16
192	40
193	45
194	16
195	48
196	24
197	34
198	80
199	55
200	21
201	33
202	18
203	13
204	18
205	33
206	40
207	27
208	22
209	18
210	16
211	10
212	28
213	32
214	57
215	16
216	10
217	31
218	24
219	17
220	25
221	40
222	38
223	29
224	22
225	23
226	48
227	24
228	36
229	28
230	19
231	21
232	19
233	15
234	34
235	32
236	14
237	13
238	17
239	15
240	27
241	9
242	15
243	47
244	40
245	16
246	44
247	59
248	1
249	5
250	5
251	70
252	27
253	18
254	52
255	33
256	35
257	19
258	14
259	1
260	4
261	1
262	3
263	1
264	48
265	163
266	31
267	34
268	39
269	18
270	20
271	50
272	16
273	12
274	34
275	17
276	22
277	75
278	31
279	21
280	17
281	27
282	27
283	36
284	43
285	24
286	24
287	31
288	49
289	34
290	31
291	27
292	47
293	41
294	33
295	27
296	29
297	20
298	33
299	23
300	8
301	18
302	13
303	14
304	34
305	16
306	10
307	14
308	13
309	9
310	9
311	10
312	6
313	22
314	23
315	11
316	7
317	20
318	19
319	12
320	14
321	16
322	10
323	13
324	8
325	13
326	11
327	17
328	25
329	14
330	39
331	21
332	24
333	23
334	11
335	1
336	8
337	8
338	6
339	24
340	28
341	50
342	26
343	18
344	14
345	6
346	10
347	16
348	12
349	16
350	9
351	15
352	8
353	14
354	4
355	12
356	12
357	12
358	16
359	18
360	19
361	21
362	27
363	52
364	14
365	19
366	18
367	32
368	38
369	16
370	14
371	16
372	24
373	21
374	10
375	13
376	11
377	12
378	15
379	14
380	16
381	19
382	27
383	31
384	19
385	33
386	16
387	10
388	28
389	14
390	29
393	1
396	1
397	86
398	18
399	9
400	30
401	10
402	10
406	53
407	15
408	17
409	13
410	21
411	16
412	25
413	16
414	7
416	1
417	1
422	1
424	101
425	13
426	28
428	1
429	3
430	89
