barcode	Count
12_76_26481_29870	5177
12_69_27041_29870	3468
12_63_28254_29870	865
12_64_25382_29870	3757
12_64_28255_29870	35915
2_2653_26733_29872	1
12_61_28255_29870	307
12_66_25382_29870	7677
12_71_25385_29870	27
12_67_28259_29870	728
12_70_28263_29792	4
2_16482_16792_29862	1
12_64_26468_29870	12813
2_67_26479_27107	1
12_62_26468_29870	6104
12_61_28250_29870	362
12_63_27384_29870	1229
12_81_27058_29872	3
12_66_27385_29870	17026
4_62_26468_27564_28000_29872	1
12_70_27761_29870	76
12_69_27674_29875	48
12_67_25384_29870	665
12_62_28255_29870	10795
12_64_28258_29873	234
5_62_28254_28489_28745_29864	1
12_66_28258_29870	609
12_66_26468_29870	884
12_66_28256_29870	68
5_63_21552_25004_29312_29870	1
5_66_27385_28361_28432_28655_28734_29871	1
12_64_27385_29870	4221
12_74_28266_29870	114
5_66_25382_28783_29063_29872	1
5_66_25382_27190_27293_29875	2
12_65_21552_29870	2798
12_67_27387_29870	368
12_68_27386_29870	890
12_75_28265_29870	4415
12_72_26477_29870	1080
12_77_26271_29870	1487
6_937_28855_29877	1
12_74_27048_29870	681
12_75_28267_29870	1963
6_64_28255_29390_29744_29873	1
6_1917_29308_29881	1
6_76_26481_26615_26983_29870	1
12_61_28251_29870	200
7_3718_29368_29877	1
12_80_27057_29872	14
8_1672_29163_29874	1
8_3660_28898_29783	1
12_63_26468_29870	849
8_3651_28890_29873	1
12_64_25383_29873	146
8_63_28269_29873	1
12_63_28255_29870	1150
12_62_26467_29870	403
8_66_25382_28406_29014_29870	1
12_63_28257_29870	1062
12_66_27384_29870	92
12_65_25381_29870	415
12_63_21552_29870	880
12_69_26237_29870	1058
9_6953_29261_29873	1
9_1114_29391_29870	1
9_2677_29443_29874	2
12_72_27393_29875	14
12_66_28255_29870	584
12_68_25383_29870	223
12_76_26482_29870	1496
12_75_26485_29870	211
12_75_25393_29870	221
12_67_21553_29874	21
12_65_27384_29870	985
10_831_29441_29768	1
10_64_25382_28122_28175_29874	1
12_68_28258_29870	3017
12_64_28251_29870	100
12_75_25389_29870	160
12_47_27372_29871	6
12_77_28264_29873	14
12_58_27379_29870	6
10_66_26464_26784_26821_29870	1
10_65_25381_26533_26815_28515_28783_29869	1
10_65_25384_28116_28535_29874	1
12_66_27386_29870	240
12_83_27407_29870	91
10_66_27385_29701_29786_29874	1
12_69_27761_29875	5
10_3081_27385_29870	1
12_64_28255_29710_29791_29874	4
12_63_26467_29870	372
12_70_22502_29870	11
12_73_26479_29870	139
12_68_21554_29870	417
10_68_25491_29855	2
12_67_21552_29870	201
10_1216_29390_29872	1
12_79_28271_29872	22
12_60_26467_29870	122
12_46_28243_29873	32
12_75_27395_29870	907
12_76_26483_29870	251
12_68_26471_29870	1045
12_58_27380_29873	79
12_75_28268_29870	389
12_65_25379_29877	21
12_65_27884_29870	3380
10_87_25402_28363_28427_29874	1
12_63_21553_29873	90
12_75_21559_29875	5
12_76_25394_29870	334
10_1216_29435_29877	1
12_73_21559_29870	8
12_63_26470_29870	468
12_72_27388_29870	36
12_74_26479_29873	21
12_65_25384_29870	335
12_75_28264_29870	242
12_62_28250_29870	479
12_83_26488_29870	759
11_64_28255_28411_28460_29878	1
12_86_27909_29870	11
11_3085_27181_29870	1
11_1293_29379_29870	1
12_38_28243_29872	4
12_54_28248_29870	16
12_67_25382_29870	57
11_62_21552_27693_27742_29867	1
12_67_25381_29870	177
12_72_28259_29870	14
12_65_28257_29870	905
