barcode	Count
17_23_11950_11957_140444_141026	1
52_65_66435_67457	1
363_404_143340_143684	1
398_560_24200_24664	1
470_477_24783_25630	1
475_537_140403_140515	1
475_529_140389_140509	1
485_508_144122_145460	1
538_811_1007_1039	1
640_653_10974_11731	1
898_904_11877_12497	1
1174_1184_23031_24664	1
1338_1633_1764_1807	1
1359_1964_117589_117606	1
1383_1464_1511_2364_2424_2726	1
1400_2341_2406_2646	1
1404_1461_2188_2317_3083_3289	1
1539_1574_1709_1847	1
1618_2278_2446_2975	1
1731_2379_2444_2588	1
2117_2317_3083_3286	9
2117_2373_2432_2771	3
2116_2162_5013_5691	1
2117_2313_3083_3182_120261_120627	1
2117_2164_143244_143689	1
2117_2377_2419_2738_108010_108171	1
2117_2317_3083_3660_4814_5697	1
2117_2361_2416_2888	1
2117_2317_3083_3330_5595_5696	1
2117_2350_2406_2987	1
2121_2349_2412_2755	1
2121_2366_2436_2625	1
2121_2358_2416_3014	2
2121_2338_2438_2726	1
2126_2305_3083_3228	1
2179_2359_2416_2499	1
2586_2890_123585_123675	1
2586_2970_5291_5697	1
2586_2863_3083_3165	1
2586_2801_5555_5692	1
2586_2779_5010_5691	1
2588_2779_5009_5576	1
2589_2647_3069_3273	1
2603_2769_90842_90993	1
2647_2786_3070_3174	1
2695_2786_123481_123784	1
2813_3262_144106_145457	1
2830_3195_4891_5684	2
3269_3502_5227_5697	1
3344_3747_4761_4975_5028_5698	1
3388_3394_66364_67453	1
3489_3592_5018_5698	1
3778_3804_24847_25495	1
3978_4044_53744_54124	1
3984_3992_5343_5690	1
4059_4066_23605_24665	1
4069_4077_18440_18775	1
4095_4363_5520_5698	1
4137_4143_70491_70917_122207_122234	1
4138_4157_51880_52782	1
4262_4281_4686_5696	1
4262_4373_4909_5497	1
4388_4398_24851_27032	1
4399_4405_25436_26565	1
4399_4414_5022_5687	1
4399_4405_10974_11733	1
4399_4405_24783_25057	1
4399_4414_25299_25516	1
4399_4405_24785_25214	1
4414_4441_5011_5678	1
4484_4699_5541_5696	1
4537_4550_66420_67447	1
4542_4550_24785_25935	1
4578_4699_5439_5696	1
4699_5266_5454_5690	4
4721_4765_5544_5698	1
4764_5197_5563_5621	1
4792_5501_5545_5699	1
4792_4861_120894_121578	1
4814_4952_6908_7098	1
4858_4873_70536_70955	1
4884_4974_5022_5177_5351_5690	1
4884_5692_6194_6300_144121_145459	1
4893_4900_22945_23575	1
4893_4900_30147_31181	1
4912_4952_6912_7850	1
4935_5025_5276_5610	1
4939_5662_120733_121393	1
4977_5635_120709_121431	1
4999_5267_5457_5699	1
5001_5266_5457_5698	1
5011_5633_120895_121359	1
5011_5276_120916_121355	1
5015_5455_121095_121359	1
5020_5096_120870_121244	1
5088_5456_121095_121156	1
5088_5461_5522_5694	1
5100_5494_121216_121256	1
5114_5148_120870_121270	1
5126_5501_121275_121350	1
5278_5341_7144_7369	1
5319_5366_5423_5536_94091_94651	1
5558_5703_52996_53115_103515_105256	1
5671_5681_144125_145460	1
5743_6108_123183_123288_124058_124253	1
5876_5884_31382_31806	1
6184_6376_6816_7069	1
6703_6955_140470_141032	1
7261_7267_11738_13517	1
7262_7268_11883_13433	1
7262_7268_11886_14083	1
7262_7268_11733_13517	1
7441_7639_9821_10964	2
7637_7646_7754_8154	1
7637_8246_8570_8654	1
7639_7973_8107_8306	3
7640_8007_136601_137527	1
7641_8045_8307_8570	1
7641_7889_8131_8196	1
7641_8742_103153_103310	1
7641_7847_7896_8155	1
7641_8230_8535_8566	1
7641_7795_7978_8144	1
7642_7755_144298_145317	1
7642_8067_118125_118353	1
7642_7965_8080_8306	2
7643_8288_118135_118683	1
7643_8298_118397_118670	1
7643_8236_8325_8549_128920_128930	1
7643_7960_8325_8589	1
7643_8155_8406_8566	1
7643_7976_8106_8296	1
7643_7968_8326_8341	2
7644_7975_8080_8142	1
7644_7973_8054_8143	1
7644_8259_8334_8563	1
7645_7889_118614_118714	1
7646_7966_8325_8339	1
7656_7757_118482_118725	1
7657_8238_8564_8587	1
7665_8480_8575_8590	1
7681_8197_9426_10005	1
7687_8230_118076_118727	1
7700_7974_118073_118727	1
7736_7945_8146_8416	1
7739_7973_8055_8296	1
7895_7914_23029_24666	1
7951_8424_9210_9263	1
8017_8246_118304_118728	1
8043_8058_143274_143689	1
8072_8275_91102_91591	1
8165_8173_10847_11732	1
8334_8455_117844_117923	1
8400_8465_10196_10959	1
8422_8428_24009_24016_140411_141032	1
8447_8523_117912_118036	1
8577_8657_140768_141029	1
8732_8819_11660_11732	1
8790_8845_50406_50729	1
8796_8813_69728_70847	1
8806_8833_144312_145349	1
8806_8813_11443_11735	1
8806_8854_23327_24527	1
8806_8852_70986_71621_71699_71736	1
8810_8870_24807_25499	1
8981_9018_10802_10962	1
9183_9189_11006_11734	1
9241_9247_9408_10968	1
9241_9541_89769_91000	1
9241_9294_9831_10954	1
9241_9752_9972_10962	1
9241_9297_9446_9553_9613_10961	1
9242_10768_10807_10952	1
9242_10938_11271_11732	1
9242_10734_10938_11713	1
9242_9369_140190_141020	1
9242_10566_10634_10955	1
9243_10713_10751_10964	1
9244_10050_70814_70959	1
9249_9918_11691_11728	1
9249_9258_10248_10525	1
9254_9260_9539_10873	1
9254_9302_9839_10959	1
9260_10115_144723_145648_145861_146105	1
9300_11364_140613_141034	1
9395_9704_10024_10579	1
9470_9766_9815_10960	1
9598_10784_103514_103704	1
9739_10949_23029_24627	1
9743_11736_14317_14342	2
9743_10906_26636_26648	1
9746_10068_10109_10964	1
9748_10154_10216_10417	1
9751_9853_51352_52785	1
9867_10059_31152_31202	1
9891_10664_10744_11735	1
9911_10270_10804_11622	1
9966_9975_10381_10548	1
9983_10029_10148_10959	1
9998_10181_133406_133959	1
9998_10096_10147_11733	1
10001_10245_10401_10964	1
10186_10664_11097_11734	1
10319_10452_11285_11734	2
10333_10362_23835_24659	1
10335_10968_14317_14342	1
10335_10740_115081_115301	1
10335_10590_10668_10962	1
10335_11407_132099_132389_132519_133959	1
10362_10579_10624_10884	1
10373_11105_11178_11732	1
10375_10537_10658_10721_10802_10911	1
10386_10634_10727_10954	1
10404_10854_70993_71238	1
10408_11689_91684_91867	1
10418_10469_10590_11732	1
10418_10439_10634_10964	1
10418_10596_11596_11726	1
10418_11508_11573_11736	1
10420_10435_10577_10887	1
10421_10992_136810_137529	1
10430_11704_14327_14342	1
10473_10540_112975_113385_114526_115269	1
10635_10642_10751_11732	1
10682_11319_11596_11734	1
10728_11460_25698_25712	1
10735_10968_14268_14342	1
10738_10959_11032_11732	1
10757_10968_138281_141023	2
10758_11736_53011_53145_66377_67445	1
10759_11480_11681_11734	1
10759_10965_57164_57263	1
10778_10879_136732_137455	1
10974_11351_11409_11732	5
10892_10942_26748_28144	1
10892_10942_46607_46856	1
10893_10900_144122_145459	1
10917_10998_26536_26659	1
10918_10925_70536_70951	1
10969_11119_11173_11729	3
10972_11086_11180_11734	1
10974_11736_24102_24486	1
10974_11734_51552_52782	1
10974_11207_11545_11720	1
10974_11266_11346_11735	1
10974_11203_11638_11734	1
10974_11263_11439_11726	1
10974_11615_70595_70958	1
10974_11460_11709_11734	2
10974_11767_24575_24664	1
10974_11189_11674_11732	1
10974_11114_11178_11732	7
10974_11567_11615_11723	1
10974_11632_43822_44022	1
10974_11736_69320_70958	1
10974_11113_11180_11729	1
10974_11189_11244_11732	1
10974_11601_11676_11732	1
10974_11127_11206_11734	1
10974_11736_53011_53114_71787_72379	1
10974_11620_144124_144353	1
10974_11107_11180_11732	2
10974_11736_20551_20576	1
10974_11191_11672_11732	1
10974_11158_11334_11736	1
10974_11670_132301_132321	1
10974_11304_11704_11732	1
10974_11555_11629_11735	1
10974_11343_11584_11732	1
10974_11736_134348_135282	1
10974_11483_11547_11735	1
10974_11481_11685_11732	1
10974_11584_11629_11734	1
10974_11736_144038_145259	1
10974_11736_98482_98689	1
10974_11652_66364_66391	1
10974_11736_114997_115301	1
10974_11551_11592_11735	1
10974_11400_11475_11734	1
10974_11005_72008_72423	1
10974_11264_11599_11651	1
10974_11418_11482_11732	1
10974_11418_11468_11732	1
10974_11736_14268_14342	3
10974_11470_11596_11732	1
10974_11309_70575_70600	1
10974_11421_11529_11735	1
10974_11526_11614_11732	1
10974_11620_102541_102559	1
10974_11623_108271_108581	1
10974_11719_98541_98686	1
10974_11771_143250_143684	1
10974_11713_96176_97329	1
10974_11640_139696_141015	1
10974_10980_11108_11732	1
10974_11460_11703_11732	2
10974_11622_11685_11733	1
10974_11267_108847_109304	1
10974_11246_11317_11732	1
10974_11592_66364_67457	1
10974_11412_11455_11715	1
10974_11119_11656_11735	2
10974_11132_11239_11732	1
10974_11589_11658_11732	1
10974_11689_120254_120260_144149_145416	1
10974_11654_68243_68267	1
10974_11034_11082_11734	1
10974_11221_11424_11718	1
10974_11149_11400_11734	2
10974_11670_110212_110424	1
10974_11125_45490_45612	1
10974_11271_67415_67457	1
10974_11102_11180_11732	1
10974_11736_66263_67457	1
10974_11735_13455_13524_14319_14340	1
10974_11351_11433_11734	1
10974_11354_11629_11735	1
10974_11253_11358_11734	1
10974_11154_11400_11732	1
10974_11763_108032_108172	1
10974_11681_18963_18975	1
10974_11199_90789_91000	1
10974_11702_70927_70958	1
10974_11441_11572_11731	1
10974_11736_98562_98679	1
10974_11546_11596_11734	1
10974_11736_51719_52785	1
10974_11238_11279_11732	1
10974_11822_92936_94652	1
10974_11098_70669_70958	1
10974_11449_11706_11732	1
10974_11351_70824_70958	1
10974_11366_11412_11674	1
10974_11736_70540_70958	1
10974_11042_11209_11732	1
10974_11087_11173_11732	1
10974_11751_97911_98691	1
10974_11146_11623_11734	1
10974_11116_11178_11735	1
10974_11706_93054_94654	1
10974_11796_92908_94572	1
10975_11087_24524_24664	1
10975_11423_11596_11734	1
10975_11599_19412_19426	1
10975_11191_70814_70961	1
10975_11697_144144_145230_150960_150973	1
10976_11490_15044_15059	1
10976_11253_11307_11732	1
10977_11736_98446_98689	1
10977_11108_11188_11731	1
10977_11719_70261_70944	1
10978_11574_98709_102852	1
10978_11732_36049_36223	1
10978_11113_11178_11732	1
10978_11706_134380_135211	1
10978_11694_18192_18237	1
10979_11689_144122_145441	1
10979_11567_11629_11734	1
10979_10986_11097_11718	1
10979_11283_11332_11717	1
10979_11104_11180_11735	1
10979_10998_115837_116113	1
10979_11736_23387_24659	1
10979_11415_11455_11625	1
10979_11357_25376_25462	1
10980_11323_11424_11477	1
10980_10996_11097_11732	1
10980_11185_11230_11734	1
10980_11670_11720_11736	1
10980_11206_11685_11731	1
10980_11736_143983_145460	1
10981_11736_14302_14341	1
10982_11720_66373_67159	1
10982_11020_11510_11734	1
10982_11731_106802_108169	1
10982_11643_11703_11734	1
10982_11887_66358_66406	1
10982_11238_11606_11718	1
10982_11736_103978_104942	1
10982_11620_70491_70960	1
10984_11739_14300_14342	1
10985_10995_11226_11734	1
10985_11702_144117_145460	1
10986_11119_70419_70941	1
10993_11456_105563_105675_144062_145460	1
10995_11263_11691_11734	1
11003_11478_120668_121147_145283_145456	1
11025_11363_11424_11734	2
11034_11468_11596_11726	1
11039_11327_11416_11734	2
11053_11730_59630_59797	1
11058_11068_11492_11734	1
11070_11736_40301_40377	1
11104_11418_11545_11732	1
11173_11427_11530_11706	1
11176_11825_103514_103718	1
11192_11583_24785_25057	1
11258_11297_11364_11734	1
11430_11699_132129_132394_132541_132611	1
11572_11755_144122_145460	1
11574_11603_107399_108169	1
11589_11751_108256_109300	1
11649_11706_103514_103718	1
11655_11706_70551_70955	1
11655_11695_103514_104959	1
11679_11689_46600_46798	1
11679_11695_144149_144685_144892_145251	1
11679_11685_115550_116121	1
11679_11685_103514_103718	1
11679_11736_144099_145598	1
11679_11699_106831_108171	1
11679_11685_70491_70958	1
11680_11689_35010_36248	1
11681_11710_139704_140659	1
11682_11689_103514_103712	1
11688_11704_123482_123724	1
11693_11713_51803_52785	1
11695_11706_115026_115301	1
11732_11963_12212_12292	1
11732_12100_13500_13657	1
11732_11957_51780_52790	1
11732_11900_107310_108169	1
11732_12090_13617_15580	1
11732_12312_12397_12483	1
11732_12099_13011_13517	1
11877_13448_13932_14450	3
11732_12390_139412_141034	1
11735_12178_12300_12497	7
11736_14969_24425_24647	1
11738_11995_80685_81445	1
11738_11760_12038_12178_12300_12492	1
11738_12174_12300_12464_13048_13448_13698_13905	1
11738_11749_144122_145460	1
11739_11804_143347_143659	1
11740_12097_13011_13477	2
11740_11993_66364_66416	1
11741_12245_66939_67050	1
