barcode	Count
92_98_9174_9421	1
122_275_9030_9293	1
168_334_9175_9622	1
189_201_9277_9622	1
272_368_9355_9510	1
293_396_9076_9611	1
384_497_9272_9622	1
384_396_9216_9623	1
390_476_9345_9553	1
392_448_9181_9583	1
400_543_9175_9624	1
443_743_4913_4962_5777_6651	2
443_747_5795_6044_8369_9622	1
454_743_4913_6171	32
451_740_4911_9485	1
454_743_5390_6171	33
454_743_5777_6044_8369_9622	14
454_743_5976_6171	77
454_743_5976_6044_8369_9622	95
452_743_4913_4962_5954_6044_8369_9622	3
453_665_780_4686	1
454_765_5949_6783_8267_9622	1
454_743_5954_6044_8369_9622	31
454_530_592_1119	1
454_743_4913_4962_5976_6044_8369_9622	15
454_747_4919_4962_5976_6044_8369_9470	2
454_743_4913_4962_5960_6044_8369_9622	1
454_743_5936_6044_8369_9622	4
454_743_4913_4962_5390_6135	4
459_743_5777_6303	5
454_747_5960_6044_8369_9622	4
454_747_5777_6044_8369_9622	3
454_743_5960_6044_8369_9621	24
454_888_2295_4861	1
454_743_5390_5463_5976_6044_8369_9622	24
454_743_4913_4962_5976_6044_8369_9163_9223_9490	1
454_743_5390_5463_5960_6044_8369_9622	5
454_743_5390_5463_5976_6153	11
454_743_4913_4962_5777_6044_8369_9622	8
454_743_5976_6048_8369_9621	1
454_743_5954_6165	5
454_743_4913_4962_5390_5463_5976_6044_8369_9622	12
454_743_5777_6044_8369_8736_8813_9347	1
454_743_5976_6075_8386_9622	1
454_617_9069_9605	1
454_743_5390_5463_5777_6044_8369_9619	3
454_747_5390_6653	1
454_743_5390_5463_5936_6044_8369_9612	1
454_743_5390_5463_5954_6044_8369_9622	9
454_743_5980_6168	2
454_743_4913_4962_5976_9618	2
454_555_650_743_5976_6647	1
454_743_5983_6048_8369_9627	1
454_743_4913_4962_5976_6048_8369_9622	1
454_743_4913_6044_8369_9621	2
454_643_801_1042	1
454_747_4919_4962_5960_6044_8369_9622	1
454_743_4913_4962_5390_5463_5976_6051_8389_9516	1
454_743_5390_5533_5578_6153	1
454_747_4922_7269	1
454_743_5390_5463_5976_6044_8379_9626	1
454_617_695_1129	1
454_747_4919_9325	3
454_743_5960_9622	4
459_743_4913_4962_5390_5463_5976_6147	3
455_743_5954_6044_8389_9617	1
455_743_4913_4962_5390_5463_5960_6044_8369_9483	2
455_729_5390_6171	1
457_743_5976_6044_8389_9623	1
458_743_4913_4962_5390_5463_5777_5953_8440_9606	1
458_743_4913_4962_5917_6044_8369_9622	1
459_743_5390_6075_6134_8679_9043_9430	1
459_743_4913_4962_5390_5463_5976_6048_8369_9531	1
459_743_5390_6029_8369_9616	1
459_743_4913_4962_5390_5463_5777_6044_8369_9561	4
459_743_5976_7960_8134_9622	1
459_747_5960_6159	1
459_743_5390_5463_8341_9621	1
459_743_8369_9622	1
459_743_5390_5463_5960_6653	1
459_743_5936_6153	1
459_747_5976_6044_8369_9622	1
459_743_5976_6044_8369_9388_9487_9622	1
459_743_4913_5058_5390_5463_5976_6044_8369_9622	1
459_743_4913_5058_5976_6044_8369_9621	1
460_743_5980_6044_8369_9182	1
460_743_4913_4962_5390_5463_5954_6044_8369_9622	2
461_743_5954_6644_6731_9621	1
467_743_5390_5463_5976_6048_8369_9564	1
468_665_770_1129	1
468_747_5992_6044_8369_9621	1
471_690_5983_6044_8369_9621	1
472_743_5976_7069_7185_9621	1
474_634_9074_9620	1
474_743_4913_4962_5390_5463_5936_6044_8369_9621	1
485_747_4922_4962_5390_5463_5976_6044_8369_9618	1
505_628_9076_9514	1
640_747_830_1190	1
668_812_9064_9617	1
761_1844_13643_13741	1
787_1290_1397_1584	1
850_899_9444_9554	1
860_1120_8706_8729	1
955_1725_1783_1864	1
962_1590_1655_1824	1
964_1043_1117_1841	1
972_1048_1138_1466	1
972_1048_1094_1864	1
977_1852_4570_4589	1
981_2065_2126_2645	1
1322_1414_1495_1864	1
1324_1369_1893_2657	1
1326_1552_1649_4725	1
1328_1336_1817_2597_3806_4138	1
1341_1650_4011_4686	1
1343_1352_1868_2676	1
1385_2099_2875_4699	1
1415_1673_1817_4892	1
1424_1725_5201_8123_9188_9605	1
1526_1777_1874_4688	1
1528_1608_1868_4635	1
1532_1688_1870_2638	1
1532_1539_1874_4121	1
1559_1783_1856_2687	1
1851_2144_2199_2250	1
1984_2218_2332_3465	1
2038_3905_4630_4642	1
2038_3240_3877_4430	1
2185_2900_2978_3529	1
2355_4535_7490_7511	1
2928_2935_3553_4679	1
3112_3924_4604_4696	1
3269_3338_3421_4309	1
3276_6647_6731_6876	1
3281_3571_4567_4709	1
3399_4447_9030_9571	1
3400_4356_4416_4698	1
3400_4395_4472_4696	2
3400_3787_4024_4699	1
3400_3760_3975_4707	1
3400_6520_6565_6651	1
3790_3798_4167_4685	1
3792_4415_6693_6707	1
3794_3826_4641_6171	1
3963_3998_4075_4699	1
3996_4154_4220_4699	1
4071_4120_5495_6652	1
4162_4565_4707_6875	1
4340_5908_5960_6187	1
4522_4551_4849_5480	1
4526_4565_4641_4896	1
4526_4534_4631_6872	1
4526_5419_5515_6171	1
4611_5804_5855_6135	1
4630_4766_4849_6859	1
5042_5954_6044_6171	1
5093_7570_8029_9622	1
5143_5966_6028_6148	1
5175_5782_5873_6103	1
5562_7415_7471_9481	1
5594_5934_6019_6866	1
5668_5688_6200_6875	1
5679_5708_6015_6872	1
5752_5782_9451_9598	1
5767_6402_6749_6875	1
5784_5838_6019_6872	1
5784_5966_6056_6875	1
5784_5858_6013_6873	1
5852_5857_6134_6866	1
5875_6333_6373_6871	1
6096_6988_7074_9622	1
6137_7471_8258_9621	1
6181_6249_6706_6873	1
6344_6835_6880_7110	1
6389_7567_8029_9619	1
6427_6504_6626_7110	1
6430_6442_6824_9621	1
6437_6452_6924_9622	1
6445_6783_6839_9615	1
6576_9388_9438_9622	1
6622_8084_8500_9555	1
6674_7562_7711_9622	1
6731_8953_9132_9577	1
6806_7305_7420_9593	1
6815_7391_7680_9622	1
6969_7214_7704_9621	1
7330_8811_8863_9622	1
7428_7655_9322_9600	1
7508_8110_9318_9627	1
7604_8229_8307_9621	1
7641_9150_9528_9586	1
7739_7879_7938_9621	1
7783_8919_9017_9471	1
7819_9242_9322_9532	1
7834_8729_8811_9621	1
7878_8826_9196_9524	1
8001_8423_8500_9452	1
8012_8392_8460_9626	1
8071_8094_9285_9621	1
8170_8290_8694_9622	1
8211_8312_8375_9622	1
8211_9242_9318_9617	1
8377_8669_9545_9605	1
8556_9038_9082_9506	1
8579_8894_9295_9614	1
8627_9094_9181_9612	1
8644_8681_8741_9622	1
8649_8681_9461_9622	1
8686_8779_9054_9621	1
8721_8831_8899_9412	1
9175_9388_9581_9613	1
