start_site	Count
1	361202
2	15175
3	9712
4	11942
5	6019
6	20390
7	5544
8	4025
9	5129
10	1486
11	1266
12	1990
13	226
14	421
15	284
16	450
17	1392
18	1010
19	2
20	14
21	162
22	790
23	685
24	404
25	102
26	302
27	376
28	97
29	119
30	485
31	411
32	478
33	185
34	30
35	31
36	52
37	9
38	11
39	27
40	209
41	34
42	173
43	1795
44	290
45	123
46	142
47	111
48	45
49	31
50	83
51	71
52	45
53	185
54	225
55	112
56	472
57	136
58	52
59	61
60	169
61	160
62	221
63	85
64	77
65	174
66	69
67	96
68	160
69	78
70	128
71	62
72	96
73	41
74	48
75	26
76	29
77	19
78	19
79	44
80	27
81	11
82	13
83	17
84	13
85	48
86	85
87	69
88	52
89	51
90	44
91	17
92	21
93	36
94	28
95	7
96	14
97	1
98	1
101	1
102	5
103	122
104	69
105	36
106	144
107	63
108	89
109	167
112	146
113	47
114	33
115	115
116	70
117	51
118	38
119	49
120	24
121	45
122	24
123	39
124	39
125	37
126	30
127	39
128	84
131	76
132	31
133	32
134	26
135	15
136	22
137	11
138	2
141	22
142	9
143	58
144	20
145	10
146	16
147	1
148	1
149	7
150	43
151	8
153	3
154	7
155	72
156	1
157	1
158	3
159	8
160	3
161	8
162	147
163	16
164	24
165	19
166	46
167	22
168	45
169	71
170	36
171	11
172	15
173	18
174	22
175	21
176	18
177	40
178	28
179	27
180	29
181	37
182	28
183	21
184	44
185	13
186	15
187	30
188	16
189	3
190	19
191	16
192	11
193	24
194	22
195	18
196	19
197	10
198	12
199	25
200	18
201	15
202	12
203	18
204	17
205	7
206	16
207	5
208	8
209	7
210	11
211	17
212	15
213	8
214	3
215	1
219	2
220	1
222	1
223	1
226	4
227	13
228	3
229	63
230	5
231	254
232	78
233	48
234	31
235	20
236	24
237	17
238	1
240	6
241	99
242	24
246	2
247	11
248	19
249	134
250	30
251	21
252	49
253	40
254	28
255	31
256	17
257	24
258	29
261	7
262	125
263	21
264	24
265	33
266	9
267	20
268	13
269	4
270	1
271	12
272	47
273	11
274	23
275	43
276	22
277	6
278	16
279	21
285	2
288	1
289	115
290	4
291	13
292	12
294	1
295	1
296	4
297	2
299	4
300	2
301	28
302	184
303	62
304	19
305	26
306	10
307	9
308	32
309	31
310	18
311	14
312	28
313	8
314	6
315	23
316	11
317	10
318	7
319	4
320	7
321	7
322	12
323	7
324	14
325	11
326	10
327	11
328	7
329	8
330	6
331	27
332	26
333	10
334	14
335	15
336	14
337	31
338	8
339	7
340	16
341	3
342	16
343	11
344	34
345	18
346	8
347	10
348	8
349	8
350	15
351	4
352	9
353	15
354	7
355	4
356	8
357	11
358	12
359	6
360	8
361	16
362	9
363	15
364	14
365	7
366	19
367	18
368	6
369	10
370	10
371	24
372	8
373	13
374	7
375	8
376	2
377	19
378	10
379	9
380	16
381	10
382	10
383	15
384	8
385	15
386	12
387	11
388	12
389	16
390	11
391	2
392	4
393	9
394	6
395	10
396	3
397	11
398	7
399	6
400	6
401	12
402	3
403	8
404	7
405	6
406	3
407	8
408	3
409	5
410	4
411	3
412	3
413	1
414	2
426	2
428	15
430	4
432	11
433	5
434	47
435	75
444	191
445	14
446	22
447	15
448	13
449	18
450	12
451	8
452	27
453	15
454	22
455	22
456	15
457	7
458	6
459	5
460	13
461	14
462	6
463	1
464	10
465	7
466	7
467	3
468	4
473	7
474	3
475	30
476	7
477	21
478	9
479	15
480	1
481	4
482	3
483	4
484	44
485	24
486	13
487	20
488	7
489	6
490	4
491	5
492	12
493	18
494	15
495	6
496	6
497	31
498	9
499	7
500	7
501	15
502	8
503	7
516	163
517	16
518	20
519	13
520	7
521	10
522	6
523	15
524	14
525	19
526	9
529	1
530	48
531	5
532	11
533	3
536	4
537	22
538	6
539	5
540	4
541	2
542	8
543	6
549	48
550	6
551	9
552	10
553	8
554	12
556	1
559	1
560	2
561	32
562	3
563	6
564	3
571	2
574	17
577	101
578	18
579	14
580	16
581	16
582	16
583	5
584	8
585	9
586	10
587	20
588	11
589	9
590	7
591	10
592	5
593	4
594	9
595	4
596	12
597	6
598	9
599	9
600	6
601	10
602	8
604	1
606	30
607	2
608	8
609	6
610	8
611	3
612	1
614	2
615	20
616	5
617	18
618	11
619	6
620	8
623	19
624	4
625	17
626	5
627	6
628	3
629	9
630	1
632	4
633	19
634	10
635	16
636	17
637	10
638	18
639	2
640	12
641	18
642	3
643	5
644	5
645	5
646	5
647	6
648	2
650	1
654	15
656	29
657	3
659	2
661	29
662	4
663	3
664	4
666	1
667	1
668	49
669	8
670	11
671	10
672	11
673	6
677	47
678	11
680	1
681	1
685	69
686	26
687	12
688	17
689	22
690	14
691	9
692	18
693	12
694	2
695	1
697	1
698	1
699	7
700	1
701	105
702	12
703	9
704	10
705	11
708	47
709	12
710	16
711	15
712	8
713	18
714	6
715	10
718	58
719	8
720	21
721	23
722	16
723	4
724	42
725	4
726	22
727	1
728	3
735	127
736	14
737	10
738	8
739	12
740	19
741	24
742	10
743	13
744	15
745	5
746	11
747	18
748	10
749	13
750	12
751	16
752	7
753	5
754	8
755	5
756	9
757	10
758	13
759	5
766	27
767	10
768	23
769	6
773	32
774	10
775	9
776	11
777	6
778	4
779	8
780	4
782	1
783	1
796	1
797	1
798	8
799	2
800	3
802	3
803	1
804	2
805	2
806	38
810	2
811	3
812	7
816	1
817	1
820	4
821	16
822	156
823	1
824	1
825	1
826	166
827	15
828	33
829	11
830	19
831	6
832	2
833	8
834	22
835	7
836	2
837	4
838	7
839	14
840	11
841	2
842	5
843	4
846	3
847	3
848	5
850	50
851	7
852	4
853	4
854	3
855	7
856	2
857	18
863	1
864	37
867	6
868	18
869	7
870	7
871	1
872	1
875	1
885	2
887	1
889	123
890	124
891	7
892	9
895	1
896	34
897	2
899	5
900	53
901	8
902	16
903	6
904	9
905	9
906	8
907	2
908	5
909	3
910	1
911	1
913	12
914	11
915	18
916	6
917	5
923	3
924	15
925	25
929	21
943	1
944	1
949	7
951	1
952	3
953	237
954	9
955	13
956	14
957	4
958	8
959	11
960	9
961	24
962	8
963	9
964	13
965	6
966	5
967	4
968	3
969	6
970	5
971	8
972	3
973	3
974	6
975	6
976	2
977	3
978	4
979	1
983	1
985	2
988	1
990	1
991	53
992	10
993	13
994	20
995	11
996	14
997	8
998	15
999	7
1000	7
1001	13
1002	2
1003	3
1004	1
1005	3
1007	1
1039	1
1041	1
1044	8
1045	5
1046	3
1047	13
1048	3
1049	439
1050	33
1051	8
1052	45
1053	19
1054	11
1055	18
1056	11
1057	6
1058	4
1059	7
1060	5
1061	3
1062	16
1065	1
1066	32
1067	9
1068	14
1069	5
1070	10
1071	8
1072	8
1073	9
1074	17
1075	6
1076	8
1077	7
1078	8
1079	6
1080	4
1081	6
1082	4
1083	18
1084	25
1085	10
1086	9
1087	2
1088	7
1089	4
1090	1
1091	2
1092	7
1093	5
1094	12
1095	5
1096	10
1097	8
1098	8
1099	8
1100	10
1101	11
1102	5
1103	4
1104	7
1105	2
1106	10
1107	15
1108	15
1109	7
1110	5
1111	9
1112	15
1113	15
1114	3
1115	1
1116	1
1117	35
1118	6
1119	8
1120	10
1121	11
1122	10
1123	13
1124	5
1125	6
1126	1
1127	2
1128	8
1129	3
1130	1
1131	3
1132	12
1133	3
1134	5
1135	6
1136	6
1137	8
1138	2
1139	4
1140	1
1142	5
1143	19
1144	7
1145	5
1147	2
1148	1
1149	30
1150	3
1152	1
1154	1
1155	3
1156	2
1162	2
1163	4
1164	1
1165	1
1166	7
1167	1
1168	2
1169	1
1175	14
1177	1
1178	2
1179	2
1180	1
1181	1
1182	2
1183	1
1184	1
1186	2
1187	1
1189	1
1190	1
1194	1
1196	1
1201	3
1217	2
1220	1
1237	2
1239	1
1240	3
1243	1
1246	1
1247	2
1252	2
1253	1
1255	3
1269	1
1271	1
1282	1
1287	2
1347	1
1355	1
1356	1
1363	9
1364	32
1371	16
1372	8
1374	2
1375	6
1377	2
1378	1
1379	1
1384	1
1386	1
1388	23
1389	2
1390	2
1393	2
1409	1
1415	3
1419	10
1421	1
1422	5
1427	2
1428	2
1429	2
1433	1
1434	2
1438	3
1440	2
1443	1
1446	1
1452	1
1457	1
1459	2
1461	1
1462	1
1469	1
1470	2
1471	2
1476	2
1485	1
1492	2
1506	1
1508	1
1521	1
1522	1
1523	2
