3prime_site	Count
65	309
74	15
320	1
83	18
85	2
392	1
60	1
87	2
595	1
1099	1
59	5
25764	1
1209	2
58	1
400	1
350	1
39	1
27827	1
67	1
28000	655
2205	1
8590	1
2308	1
1418	1
2097	1
1939	1
1769	1
2351	1
3263	1
4316	1
2717	1
2880	1
2741	1
3230	1
2999	1
4346	1
4262	4
4277	3
4247	1
4279	1
3917	1
5672	1
6415	1
5846	1
5963	1
6407	1
6186	1
6532	1
6455	2
7413	1
7400	1
7382	1
6878	1
7330	3
8174	1
8383	1
28005	7
7910	1
8385	1
7391	1
8437	1
9406	3
9401	9
28020	1
8321	1
9416	1
9293	1
8393	1
8481	3
8487	2
9002	1
10457	3
10361	1
19663	2
10452	1
9770	1
10284	1
11469	1
10353	3
10393	1
10357	1
11201	1
11470	1
11041	1
10407	1
11644	1
11650	1
12401	1
12577	1
11386	1
12623	2
12599	1
12646	1
12568	1
12797	1
13139	1
12887	2
12460	8
12608	1
12923	1
12472	1
12653	1
13192	1
13412	1
13502	1
13707	1
14017	1
14472	1
14080	1
14677	1
14020	1
14084	1
14635	1
14087	1
14563	1
14955	1
15795	1
15951	1
15663	1
16720	1
16807	1
15801	1
15920	1
16776	1
17653	1
16750	1
17212	1
17796	1
17277	2
16876	1
16704	1
17810	1
18832	1
18746	1
18387	1
18078	1
19234	1
19708	3
19069	1
18663	1
18762	1
18880	1
18815	1
19678	1
18686	1
19327	1
19477	1
19544	1
18731	1
19177	1
19650	1
20278	1
20577	1
22376	1
23632	1
23279	1
23375	1
24347	1
24323	1
24316	1
24689	2
25567	1
25317	1
25304	1
26021	1
26771	1
26783	1
27731	1
27691	1
26774	1
27876	1
28916	1
28027	3
27986	1
27987	1
28805	1
29572	1
29462	1
28962	1
29344	1
29006	1
28785	1
29057	1
28758	1
