Genome position	Count
0	8000
1	8001
2	8002
3	8003
4	8004
5	8005
6	8006
7	8007
8	8008
9	8009
10	8010
11	8011
12	8012
13	8013
14	8014
15	8015
16	8016
17	8017
18	8018
19	8019
20	8020
21	8021
22	8022
23	8023
24	8024
25	8025
26	8026
27	8027
28	8028
29	8029
30	8030
31	8031
32	8032
33	8033
34	8034
35	8035
36	8036
37	8037
38	8038
39	8039
40	8040
41	8041
42	8042
43	8043
44	8044
45	8045
46	8046
47	8047
48	8048
49	8049
50	8050
51	8051
52	8052
53	8053
54	8054
55	8055
56	8056
57	8057
58	8058
59	8059
60	8060
61	8061
62	8062
63	8063
64	8064
65	8065
66	8066
67	8067
68	8068
69	8069
70	8070
71	8071
72	8072
73	8073
74	8074
75	8075
76	8076
77	8077
78	8078
79	8079
80	8080
81	8081
82	8082
83	8083
84	8084
85	8085
86	8086
87	8087
88	8088
89	8089
90	8090
91	8091
92	8092
93	8093
94	8094
95	8095
96	8096
97	8097
98	8098
99	8099
100	8100
101	8101
102	8102
103	8103
104	8104
105	8105
106	8106
107	8107
108	8108
109	8109
110	8110
111	8111
112	8112
113	8113
114	8114
115	8115
116	8116
117	8117
118	8118
119	8119
120	8120
121	8121
122	8122
123	8123
124	8124
125	8125
126	8126
127	8127
128	8128
129	8129
130	8130
131	8131
132	8132
133	8133
134	8134
135	8134
136	8135
137	8136
138	8137
139	8138
140	8136
141	8137
142	8138
143	8139
144	8140
145	8141
146	8142
147	8143
148	8144
149	8145
150	8146
151	8147
152	8148
153	8149
154	8150
155	8150
156	8151
157	8152
158	8153
159	8154
160	8155
161	8156
162	8157
163	8158
164	8159
165	8160
166	8161
167	8162
168	8163
169	8164
170	8165
171	8166
172	8167
173	8167
174	8168
175	8169
176	8170
177	8170
178	8171
179	8172
180	8173
181	8174
182	8175
183	8175
184	8175
185	8176
186	8177
187	8178
188	8179
189	8180
190	8181
191	8182
192	8183
193	8184
194	8185
195	8186
196	8187
197	8188
198	8189
199	8190
200	8191
201	8192
202	8192
203	8193
204	8194
205	8195
206	8196
207	8197
208	8198
209	8199
210	8200
211	8201
212	8202
213	8203
214	8204
215	8205
216	8206
217	8207
218	8208
219	8209
220	8210
221	8211
222	8212
223	8213
224	8214
225	8215
226	8216
227	8217
228	8218
229	8219
230	8220
231	8221
232	8222
233	8223
234	8224
235	8225
236	8224
237	8225
238	8226
239	8227
240	8228
241	8229
242	8230
243	8231
244	8232
245	8233
246	8234
247	8235
248	8236
249	8237
250	8238
251	8239
252	8240
253	8241
254	8242
255	8243
256	8244
257	8245
258	8246
259	8247
260	8248
261	8249
262	8250
263	8251
264	8252
265	8253
266	8254
267	8255
268	8256
269	8257
270	8258
271	8259
272	8260
273	8261
274	8262
275	8263
276	8264
277	8265
278	8266
279	8267
280	8268
281	8269
282	8269
283	8270
284	8270
285	8271
286	8272
287	8271
288	8272
289	8273
290	8274
291	8275
292	8276
293	8277
294	8278
295	8279
296	8280
297	8281
298	8282
299	8283
300	8284
301	8285
302	8286
303	8287
304	8288
305	8289
306	8290
307	8291
308	8292
309	8293
310	8294
311	8295
312	8296
313	8297
314	8298
315	8299
316	8300
317	8301
318	8302
319	8302
320	8303
321	8304
322	8305
323	8306
324	8307
325	8308
326	8309
327	8310
328	8311
329	8312
330	8313
331	8314
332	8315
333	8316
334	8317
335	8318
336	8319
337	8320
338	8321
339	8322
340	8323
341	8324
342	8325
343	8325
344	8325
345	8325
346	8326
347	8326
348	8326
349	8327
350	8328
351	8329
352	8330
353	8331
354	8332
355	8333
356	8334
357	8335
358	8336
359	8337
360	8338
361	8339
362	8340
363	8341
364	8342
365	8343
366	8344
367	8345
368	8346
369	8347
370	8348
371	8348
372	8349
373	8350
374	8351
375	8352
376	8353
377	8354
378	8355
379	8356
380	8357
381	8358
382	8359
383	8360
384	8361
385	8362
386	8363
387	8364
388	8364
389	8365
390	8366
391	8367
392	8368
393	8369
394	8370
395	8371
396	8372
397	8373
398	8374
399	8375
400	8376
401	8377
402	8378
403	8379
404	8380
405	8381
406	8382
407	8383
408	8384
409	8385
410	8386
411	8387
412	8388
413	8389
414	8390
415	8391
416	8392
417	8393
418	8394
419	8395
420	8396
421	8397
422	8398
423	8399
424	8400
425	8401
426	8402
427	8403
428	8404
429	8405
430	8406
431	8407
432	8408
433	8409
434	8410
435	8411
436	8412
437	8411
438	8411
439	8411
440	8412
441	8413
442	8414
443	8415
444	8416
445	8417
