junction	Count
327_1105	238
423_1015	30
220_1433	1
526_1058	1
1032_1100	1319
320_1457	17
777_840	9
353_1242	3
179_245	3
615_1433	1
226_322	1
671_732	2
143_1304	17
602_662	1
1032_1108	222
373_1015	4
952_1002	7
226_288	1
719_970	1
46_245	1
525_1126	4
119_1270	1
294_354	5
1121_1347	2
615_1316	1
129_1337	3
1012_1126	9
1010_1126	1
777_872	9
451_1058	4
377_1015	107
411_966	1
343_1126	14
189_1293	50
10_267	1
549_1044	1
204_443	1
351_1140	14
668_820	11
27_1457	63
327_1426	1
327_1293	1
587_636	2
134_199	2
1027_1100	21
179_1293	40
221_281	1
512_1105	10
143_1300	58
615_849	16
1528_1602	1
668_771	2
377_1519	15
350_1126	10
964_1058	1
129_1293	46
179_243	1
185_1293	2
464_987	62
1154_1337	6
197_267	2
10_354	3
327_1015	2
1365_1433	1
389_1409	1
368_1015	5
890_1159	3
747_1337	9
598_840	7
840_1002	3
268_1015	1
327_1393	14
501_1044	1
262_362	1
985_1072	1
1032_1126	40
1255_1469	1
353_1265	2
1251_1457	1
161_1287	2
768_1386	2
100_1462	3
566_918	17
501_1211	1
840_1037	2
276_1126	1
327_1337	16
1068_1211	1
747_918	3
890_957	1
150_1312	28
547_918	2
1263_1457	1
952_1037	6
902_1126	1
53_509	1
526_1126	2
1134_1457	1
557_847	1
824_898	1
536_928	4
332_1126	36
801_918	1
1032_1110	82
596_695	1
536_1110	4
1326_1398	1
613_682	5
799_1126	12
775_898	1
279_1433	1
342_407	1
513_1108	8
1243_1409	1
474_1002	1
1302_1379	1
303_407	1
1092_1211	1
327_1115	34
353_431	1
526_1087	1
507_1108	4
411_546	1
461_724	1
253_456	1
395_640	1
495_1002	1
353_1117	10
1081_1470	1
389_523	1
279_1173	1
91_1124	7
668_795	1
495_1337	1
10_1027	1
827_1126	1
798_1126	34
168_309	1
220_1015	1
236_406	1
796_898	1
332_1165	25
150_1308	1
598_682	3
10_714	2
18_1457	3
327_1121	2
100_1126	6
1373_1572	1
600_840	15
490_566	1
952_1027	2
1063_1126	2
353_1457	20
581_918	10
752_823	6
340_456	1
262_1468	3
10_576	1
145_1300	7
1310_1399	2
1213_1347	3
60_158	1
1221_1365	1
1195_1287	1
1352_1457	2
952_1010	2
451_1426	1
91_1365	2
323_1105	2
1056_1457	1
179_1300	10
1206_1316	1
1032_1159	12
1243_1338	1
724_918	2
747_1126	9
1456_1519	1
468_966	4
68_1203	1
316_1457	9
613_823	4
139_1300	1
1175_1572	1
236_1211	2
1310_1433	6
142_525	1
1011_1126	19
1310_1365	1
353_1114	1
661_759	16
53_1457	2
848_1159	1
578_872	23
820_907	1
690_840	1
747_1457	2
932_1040	3
777_1040	4
500_1072	1
952_1110	1
187_1293	4
562_918	5
848_940	1
46_456	1
179_1284	3
995_1040	2
852_1457	1
536_1126	1
170_1287	1
479_529	1
1081_1152	1
324_1126	1
449_1120	6
638_804	2
952_1087	3
506_1105	10
638_688	3
1206_1300	2
1003_1155	2
1027_1126	34
227_1140	1
840_898	4
107_227	2
777_823	10
389_451	1
332_1171	1
1003_1300	1
236_705	1
432_1015	1
497_593	1
327_437	1
652_791	1
1326_1457	8
260_1002	1
47_494	1
1127_1287	2
353_1407	3
332_1110	4
1032_1133	1
613_702	1
794_840	1
613_840	12
303_490	1
422_714	1
952_1146	2
587_918	4
184_1287	1
370_1017	5
1220_1337	1
220_456	2
107_161	1
222_918	1
777_1058	2
1263_1316	7
867_948	1
1339_1457	1
1003_1116	18
1121_1235	2
557_1044	1
328_546	8
327_1457	2
143_186	1
1147_1399	1
468_1002	14
848_1146	2
365_429	1
270_940	1
1345_1487	1
1166_1211	1
335_1058	1
932_1058	1
327_1081	7
1050_1126	4
1206_1259	1
189_1287	1
1282_1337	7
1217_1321	1
91_164	1
327_1113	2
1092_1409	1
797_1126	9
179_301	2
123_354	1
867_921	1
143_1316	1
1213_1287	10
1206_1304	1
495_1146	2
284_546	1
613_849	3
56_918	1
221_1235	1
1206_1457	8
613_724	1
335_1203	2
1049_1126	2
10_408	1
477_581	1
122_199	1
1344_1426	1
562_636	5
129_1300	1
191_354	1
840_940	1
226_323	1
395_487	1
807_1140	1
259_657	1
805_898	1
581_640	1
562_840	2
526_1040	1
1048_1126	10
1031_1337	1
262_1327	1
840_1211	1
661_705	1
867_936	1
477_624	1
777_978	1
757_840	1
29_1433	3
983_1044	1
80_214	1
243_759	1
353_526	1
411_1126	3
477_636	1
327_1058	5
1326_1426	2
451_568	2
227_278	1
840_1044	1
608_1040	1
763_1133	1
1426_1519	2
596_1108	4
451_1040	3
60_918	1
638_732	1
512_950	1
1513_1572	1
327_1111	4
613_1040	1
1081_1433	7
332_1100	1
514_1126	1
747_872	1
395_1457	1
46_640	1
952_1044	6
1013_1081	1
332_546	1
747_1140	4
1310_1409	4
327_423	2
129_216	1
757_872	2
608_1126	4
747_953	1
526_1044	1
1032_1165	4
347_1126	2
1282_1426	6
1057_1126	1
377_1040	3
1032_1087	7
585_714	1
526_636	1
327_872	1
122_597	1
966_1037	1
613_662	1
129_759	1
777_1105	9
1399_1479	1
581_636	3
150_1399	2
890_966	1
370_947	1
1426_1550	1
613_918	3
848_1583	1
267_525	1
848_1126	1
254_309	1
29_100	1
1015_1399	1
198_290	1
461_619	1
353_1058	2
867_1242	1
143_1386	2
196_1126	1
550_1126	2
91_1493	5
179_1337	2
169_1287	1
423_724	1
10_525	1
747_1300	1
1013_1457	1
1199_1337	1
512_1040	3
451_682	1
361_788	1
752_1506	1
1019_1211	1
749_823	3
1363_1457	2
153_245	1
179_1286	1
768_1195	1
1363_1426	5
1363_1444	1
33_1126	1
786_898	3
735_840	5
1373_1426	3
1160_1287	3
327_823	1
451_592	1
1243_1347	6
449_777	1
890_1027	1
226_301	2
854_1081	1
526_1433	1
1206_1386	1
526_1409	1
236_1287	1
747_1479	4
68_116	1
1121_1165	4
854_1337	1
353_399	1
227_456	1
749_872	2
1206_1337	2
477_522	1
1062_1140	1
788_1457	1
68_118	1
469_872	1
1032_1120	8
668_814	1
976_1126	1
1003_1058	8
263_636	1
55_898	1
107_157	1
423_566	1
377_1023	3
1121_1352	1
340_1337	2
245_354	1
179_267	8
1217_1272	1
327_385	3
1310_1347	6
1217_1409	2
1268_1337	1
598_759	1
284_1108	1
650_872	1
119_427	1
221_456	1
1061_1126	1
501_940	1
395_456	5
100_163	6
779_1002	1
983_1081	1
262_636	1
782_1159	1
657_1015	1
270_724	1
401_823	1
10_705	1
201_267	2
711_840	1
270_636	1
29_1287	2
451_501	1
1310_1496	1
192_1300	1
334_1120	4
735_872	1
1056_1337	2
608_1337	1
451_1173	1
1013_1120	1
290_501	1
752_974	1
432_732	1
752_840	1
1081_1479	1
353_1128	1
1204_1433	1
1121_1199	2
236_288	1
1323_1409	4
747_1409	2
220_273	1
211_456	1
327_438	4
316_362	2
510_1044	1
216_1337	1
144_1002	1
952_1100	2
1261_1409	1
211_1270	4
179_252	1
