start_site	Count
17	1
52	1
177	1
295	1
363	1
398	1
407	1
470	1
475	2
485	1
488	1
538	1
640	1
898	1
1173	1
1174	1
1229	1
1338	1
1342	1
1359	1
1383	1
1400	1
1404	1
1474	1
1499	1
1505	2
1539	1
1604	1
1618	1
1622	1
1660	1
1674	1
1715	2
1726	1
1731	1
1733	1
1734	2
1748	2
1787	1
1814	1
1821	1
1830	1
1934	3
1937	1
1954	1
2033	1
2116	1
2117	15
2120	1
2121	4
2123	1
2126	1
2179	1
2220	1
2521	2
2533	1
2535	1
2585	1
2586	24
2587	13
2588	5
2589	2
2590	3
2593	2
2595	1
2601	1
2603	2
2604	1
2605	1
2607	1
2617	1
2620	1
2630	1
2641	1
2643	3
2646	1
2647	2
2678	1
2695	1
2813	1
2830	2
2837	1
2957	1
3090	1
3111	1
3233	1
3269	1
3272	1
3296	1
3344	1
3388	1
3489	1
3778	1
3978	1
3984	1
4059	1
4069	1
4095	1
4137	1
4138	1
4208	1
4262	2
4388	1
4399	6
4414	1
4417	1
4429	1
4442	1
4484	1
4524	1
4537	1
4542	1
4557	1
4559	1
4560	1
4561	13
4562	1
4572	1
4578	1
4579	1
4583	1
4584	1
4601	1
4609	1
4619	1
4654	1
4660	1
4681	1
4698	1
4699	1
4721	1
4764	1
4770	1
4776	4
4777	3
4782	1
4783	3
4784	1
4789	2
4791	2
4792	3
4800	1
4801	1
4802	1
4805	1
4806	1
4811	1
4812	3
4813	1
4814	1
4830	1
4831	4
4858	1
4879	1
4880	1
4881	1
4884	15
4885	1
4886	2
4887	1
4888	1
4891	1
4893	2
4899	2
4902	2
4903	1
4904	1
4906	1
4911	1
4912	1
4913	1
4915	1
4933	1
4934	1
4935	1
4938	3
4939	1
4941	1
4947	1
4953	1
4955	1
4977	1
4992	2
4995	1
4996	1
4999	1
5001	1
5003	1
5007	5
5009	1
5010	1
5011	32
5012	7
5013	1
5014	7
5015	6
5018	4
5020	4
5023	2
5024	2
5027	1
5029	2
5030	3
5031	1
5032	1
5036	1
5037	1
5040	1
5041	1
5058	1
5065	2
5066	1
5069	1
5072	1
5073	1
5085	1
5088	13
5089	3
5090	1
5092	3
5093	1
5100	2
5102	1
5107	1
5114	2
5117	1
5126	4
5129	1
5132	1
5139	1
5140	1
5141	2
5151	1
5154	1
5157	2
5160	4
5161	1
5162	2
5163	1
5172	3
5182	1
5183	2
5185	1
5193	1
5222	1
5229	1
5234	1
5238	1
5239	2
5240	2
5248	1
5249	1
5262	1
5268	1
5269	1
5271	1
5278	1
5282	1
5288	1
5302	1
5305	1
5306	1
5319	1
5330	2
5338	1
5347	5
5349	2
5363	1
5364	1
5365	1
5376	1
5379	1
5381	2
5382	1
5385	1
5387	1
5391	1
5392	1
5395	1
5397	1
5402	4
5408	1
5409	1
5411	1
5419	1
5437	1
5439	1
5443	1
5444	1
5446	2
5456	2
5462	1
5464	2
5466	1
5468	2
5470	2
5475	1
5477	1
5479	1
5490	1
5492	1
5497	1
5509	1
5515	4
5516	3
5517	3
5518	8
5519	8
5521	13
5522	1
5524	1
5525	2
5527	2
5528	2
5529	3
5532	1
5533	2
5535	1
5536	1
5538	1
5540	1
5541	2
5543	2
5545	1
5546	1
5547	3
5549	1
5551	2
5558	1
5560	12
5562	11
5564	4
5565	3
5574	2
5575	1
5581	1
5671	1
5743	1
5810	1
5876	1
5922	2
5925	1
6184	1
6190	1
6335	1
6385	1
6496	1
6703	1
6797	2
6832	3
6840	1
6846	1
6872	1
6888	1
7261	1
7262	3
7441	1
7510	1
7636	1
7637	11
7638	3
7639	2
7640	19
7641	38
7642	16
7643	61
7644	15
7645	7
7646	3
7647	1
7648	1
7649	1
7650	2
7651	1
7653	1
7654	5
7656	1
7657	1
7658	1
7659	3
7663	1
7665	1
7667	1
7679	1
7681	1
7683	1
7687	1
7688	1
7700	1
7736	1
7739	1
7744	1
7774	2
7826	1
7895	1
7915	1
7942	1
7951	1
7982	1
7988	1
8017	1
8035	1
8042	1
8043	1
8070	1
8072	1
8087	1
8165	1
8254	9
8267	3
8334	2
8400	1
8422	1
8447	1
8541	1
8567	1
8568	1
8577	1
8732	1
8746	1
8764	1
8783	1
8790	1
8796	1
8806	4
8810	1
8981	1
9183	1
9240	2
9241	121
9242	59
9243	22
9244	16
9245	5
9247	2
9249	5
9250	4
9251	6
9254	3
9255	2
9257	1
9258	2
9259	4
9260	2
9261	2
9264	1
9265	5
9266	1
9268	2
9269	1
9270	2
9275	1
9277	1
9279	1
9282	2
9286	1
9291	1
9298	4
9299	2
9300	1
9305	1
9309	1
9319	1
9324	2
9335	1
9342	1
9353	1
9362	1
9363	2
9368	1
9371	1
9373	1
9388	1
9391	1
9395	2
9396	1
9397	2
9404	1
9407	1
9413	2
9422	1
9429	1
9440	1
9445	2
9459	3
9461	4
9462	3
9463	1
9470	3
9480	1
9484	2
9513	1
9537	1
9547	2
9573	2
9587	1
9598	1
9606	1
9614	2
9621	1
9626	1
9636	4
9639	1
9642	3
9643	2
9649	1
9654	1
9657	1
9666	1
9667	1
9674	9
9675	3
9683	2
9684	1
9685	1
9687	1
9688	1
9691	1
9698	1
9700	1
9705	1
9706	2
9711	1
9712	1
9716	1
9736	1
9737	1
9738	1
9739	27
9740	3
9742	1
9743	28
9744	1
9745	4
9746	3
9747	7
9748	1
9749	1
9750	6
9751	4
9753	1
9754	2
9757	1
9758	3
9760	1
9762	1
9763	2
9770	1
9771	1
9779	1
9784	1
9785	1
9797	1
9800	1
9807	1
9820	1
9832	1
9850	1
9851	1
9857	1
9867	5
9871	1
9873	1
9874	1
9878	1
9879	2
9880	1
9889	1
9891	2
9892	4
9897	2
9900	1
9905	1
9909	1
9911	1
9913	3
9917	1
9926	1
9937	1
9941	1
9945	1
9948	2
9960	1
9966	1
9973	2
9974	1
9976	1
9977	1
9983	1
9984	1
9991	1
9998	4
9999	4
10000	2
10001	5
10002	1
10011	3
10012	1
10013	1
10014	1
10015	1
10016	2
10018	1
10026	1
10030	1
10033	1
10041	2
10042	1
10044	1
10045	1
10046	1
10049	2
10053	1
10058	11
10070	1
10073	3
10074	1
10077	1
10081	1
10088	1
10091	1
10096	1
10110	2
10127	1
10140	1
10170	3
10172	1
10174	1
10175	1
10177	1
10186	7
10192	1
10194	1
10195	1
10198	1
10204	2
10217	1
10232	1
10237	1
10251	1
10261	1
10262	1
10270	1
10272	1
10274	1
10276	2
10280	1
10281	1
10289	2
10291	2
10294	1
10295	1
10300	2
10304	1
