Genome position	Count
0	8000
1	8001
2	8002
3	8003
4	8004
5	8005
6	8006
7	8007
8	8008
9	8009
10	8010
11	8011
12	8012
13	8013
14	8014
15	8015
16	8016
17	8017
18	8018
19	8019
20	8020
21	8021
22	8022
23	8023
24	8024
25	8025
26	8026
27	8027
28	8028
29	8029
30	8030
31	8031
32	8032
33	8033
34	8034
35	8035
36	8036
37	8037
38	8038
39	8039
40	8040
41	8041
42	8042
43	8043
44	8044
45	8045
46	8046
47	8047
48	8048
49	8049
50	8050
51	8051
52	8052
53	8053
54	8054
55	8055
56	8056
57	8057
58	8058
59	8059
60	8060
61	8061
62	8062
63	8063
64	8064
65	8065
66	8066
67	8067
68	8068
69	8069
70	8070
71	8071
72	8072
73	8073
74	8074
75	8075
76	8076
77	8077
78	8078
79	8079
80	8080
81	8081
82	8082
83	8082
84	8083
85	8084
86	8085
87	8086
88	8087
89	8088
90	8089
91	8090
92	8090
93	8091
94	8092
95	8093
96	8094
97	8095
98	8096
99	8097
100	8098
101	8099
102	8100
103	8101
104	8102
105	8103
106	8104
107	8105
108	8106
109	8107
110	8108
111	8109
112	8110
113	8111
114	8112
115	8113
116	8114
117	8115
118	8116
119	8117
120	8118
121	8119
122	8120
123	8121
124	8122
125	8123
126	8124
127	8125
128	8126
129	8123
130	8124
131	8123
132	8124
133	8125
134	8126
135	8127
136	8128
137	8129
138	8130
139	8131
140	8132
141	8132
142	8133
143	8134
144	8135
145	8136
146	8137
147	8138
148	8139
149	8140
150	8141
151	8142
152	8143
153	8144
154	8145
155	8146
156	8147
157	8148
158	8149
159	8150
160	8151
161	8152
162	8153
163	8154
164	8155
165	8156
166	8157
167	8158
168	8159
169	8160
170	8161
171	8162
172	8163
173	8164
174	8165
175	8166
176	8167
177	8167
178	8168
179	8169
180	8170
181	8170
182	8170
183	8171
184	8171
185	8170
186	8170
187	8171
188	8172
189	8173
190	8174
191	8175
192	8176
193	8177
194	8178
195	8179
196	8180
197	8181
198	8182
199	8182
200	8183
201	8184
202	8185
203	8186
204	8187
205	8188
206	8189
207	8190
208	8191
209	8192
210	8193
211	8194
212	8195
213	8196
214	8197
215	8198
216	8199
217	8200
218	8201
219	8202
220	8203
221	8204
222	8205
223	8206
224	8207
225	8207
226	8208
227	8209
228	8210
229	8210
230	8211
231	8212
232	8212
233	8213
234	8213
235	8214
236	8214
237	8215
238	8216
239	8217
240	8218
241	8219
242	8208
243	8202
244	8203
245	8204
246	8205
247	8205
248	8203
249	8203
250	8204
251	8205
252	8206
253	8203
254	8204
255	8205
256	8206
257	8207
258	8208
259	8209
260	8210
261	8210
262	8210
263	8210
264	8211
265	8212
266	8213
267	8214
268	8215
269	8216
270	8217
271	8218
272	8219
273	8220
274	8221
275	8222
276	8223
277	8224
278	8225
279	8226
280	8227
281	8227
282	8228
283	8229
284	8230
285	8229
286	8229
287	8230
288	8230
289	8231
290	8232
291	8233
292	8234
293	8235
294	8236
295	8237
296	8238
297	8239
298	8240
299	8241
300	8242
301	8243
302	8243
303	8244
304	8245
305	8246
306	8247
307	8248
308	8249
309	8250
310	8251
311	8252
312	8253
313	8254
314	8255
315	8256
316	8257
317	8258
318	8259
319	8260
320	8261
321	8262
322	8263
323	8264
324	8264
325	8265
326	8266
327	8267
328	8268
329	8269
330	8270
331	8270
332	8270
333	8271
334	8272
335	8273
336	8274
337	8275
338	8276
339	8277
340	8278
341	8279
342	8280
343	8273
344	8274
345	8275
346	8276
347	8277
348	8278
349	8279
350	8279
351	8280
352	8281
353	8282
354	8283
355	8284
356	8285
357	8286
358	8287
359	8288
360	8289
361	8288
362	8289
363	8290
364	8291
365	8292
366	8293
367	8294
368	8294
369	8295
370	8296
371	8296
372	8296
373	8297
374	8297
375	8298
376	8299
377	8300
378	8301
379	8301
380	8302
381	8301
382	8302
383	8303
384	8304
385	8305
386	8305
387	8306
388	8307
389	8307
390	8308
391	8309
392	8310
393	8311
394	8312
395	8313
396	8314
397	8313
398	8314
399	8315
400	8315
401	8315
402	8315
403	8315
404	8314
405	8314
406	8315
407	8316
408	8317
409	8318
410	8319
411	8320
412	8321
413	8322
414	8322
415	8323
416	8324
417	8325
418	8326
419	8327
420	8328
421	8328
422	8328
423	8329
424	8330
425	8331
426	8332
427	8328
428	8328
429	8328
430	8326
431	8326
432	8327
433	8327
434	8328
435	8329
436	8329
437	8329
438	8329
439	8330
440	8331
441	8331
442	8332
443	8333
444	8334
445	8335
