5prime_site	Count
1293	629
1550	1000
1251	504
1566	72
1280	70
1287	489
640	11
1562	139
1337	22
1572	19
1281	30
898	11
550	5
1283	16
1250	48
940	14
840	12
1258	3
1479	13
1211	15
1279	29
366	1
1245	8
918	12
823	12
1256	3
1253	55
730	2
1409	14
546	7
82	2
557	1
1270	21
354	6
1012	1
1519	7
1165	19
1278	13
1397	7
1242	13
1588	2
1426	5
1135	3
1040	9
216	1
872	8
1525	5
1044	6
227	4
301	1
1489	1
1277	5
1565	37
1247	7
369	1
609	1
361	1
1126	16
496	1
667	2
1300	10
267	9
1473	1
403	2
1506	9
1386	6
505	1
517	1
512	1
1570	1
431	3
292	1
365	1
1539	3
200	1
1569	2
682	10
1265	10
1303	2
388	2
636	5
1529	6
732	4
312	2
186	4
426	2
1235	3
1072	19
907	1
281	1
494	5
525	1
311	1
214	1
1100	9
429	2
1252	26
586	2
221	1
342	1
1567	2
1574	1
714	7
306	1
245	3
1002	12
1219	1
1527	2
456	6
1173	3
1015	12
1583	1
1392	2
1257	5
804	2
1312	2
1087	4
1385	1
1347	6
688	3
1536	2
499	1
1254	12
928	5
1140	6
1344	1
1488	1
443	2
963	1
1564	1
243	4
1546	1
724	4
1577	1
799	1
385	1
325	2
395	1
705	2
1195	3
1248	4
1286	2
1037	4
1558	1
1249	22
1329	1
177	2
593	1
774	1
1108	1
333	3
1146	8
795	2
1321	2
953	4
619	3
483	1
1290	2
1058	4
1178	3
751	3
1445	1
297	1
1530	1
124	1
721	1
1206	1
1125	1
1296	1
783	2
865	1
982	1
777	1
966	4
1399	5
160	1
820	4
1284	6
1237	3
1289	1
1081	7
1282	5
141	2
1498	1
607	1
588	1
1499	1
1285	2
1190	2
323	1
97	1
889	1
765	1
1182	2
1159	11
1457	6
670	1
1185	2
1524	2
605	1
408	1
195	1
1362	1
501	1
949	1
1421	1
1394	1
1377	1
87	1
1514	2
1433	5
960	2
1526	1
1199	3
104	1
465	1
1027	1
451	1
367	1
1316	1
508	1
478	1
375	2
936	1
128	1
1006	1
1451	1
163	1
1366	1
1003	1
1203	1
384	1
1255	1
1064	1
252	1
1353	1
1491	1
572	1
1502	1
1568	1
1105	1
658	1
338	1
1581	1
319	1
398	1
309	1
305	1
919	1
329	1
1324	1
495	1
1384	1
