start_site	Count
1	22
2	2
3	3
5	1
7	1
18	2
19	1
21	1
22	1
24	1
25	2
26	1
27	1
30	2
36	1
38	1
40	1
41	1
42	1
45	2
47	1
49	1
50	1
52	1
53	2
66	2
71	1
76	1
79	1
80	1
81	1
82	6
84	1
92	5
93	2
94	1
98	1
99	8
100	99
101	1
103	1
104	1
105	18
106	1
107	1
108	8
109	25
110	3
112	26
113	7
114	5
115	5
117	1
118	7
119	1
120	17
121	1
122	6
124	1
125	2
126	2
127	2
128	2
130	1
135	1
137	2
140	3
141	1
146	4
148	2
149	1
168	8
170	9
171	2
176	1
179	1
180	1
184	2
187	1
189	2
196	1
197	4
204	1
214	3
224	1
240	2
244	2
263	1
264	1
266	3
269	1
271	1
275	1
276	1
279	1
283	1
288	1
290	1
291	1
292	1
293	3
295	1
296	21
298	4
300	10
302	7
303	1
304	1
305	3
307	2
309	1
311	2
312	1
313	1
314	1
318	1
320	1
321	1
322	1
323	1
324	1
325	5
327	7
328	1
329	1
330	1
331	5
333	1
339	2
340	1
344	3
345	2
346	1
348	3
350	31
351	7
352	3
353	1
355	3
356	7
358	1
359	10
360	8
363	175
364	83
365	31
366	9
367	3
368	5
370	10
371	3
372	7
373	1
374	5
375	138
376	20
377	9
378	10
379	6
380	16
381	53
382	92
383	323
384	3758
385	118
386	34
387	190
388	129
389	758
390	3014
391	298
392	1408
393	499
394	709
395	112
396	64
397	42
398	30
399	244
400	296
401	149
402	366
403	46
404	43
405	59
406	60
407	58
408	11
409	137
410	28
411	12
412	108
413	64
414	89
415	28
416	27
417	5
418	47
419	2
420	12
421	17
423	16
424	11
425	24
426	19
427	17
428	58
429	13
430	28
431	6
432	19
433	17
434	13
435	16
436	3
437	7
438	2
440	9
441	13
442	9
443	15
444	16
445	4
446	3
447	6
448	2
449	16
450	54
451	4
452	676
453	162
454	9749
455	832
456	836
457	574
458	331
459	6606
460	693
461	396
462	234
463	245
464	64
465	134
466	85
467	103
468	205
469	298
470	101
471	239
472	314
473	107
474	311
475	111
476	56
477	70
478	40
479	107
480	137
481	109
482	39
483	75
484	26
485	127
486	78
487	415
488	30
489	115
490	140
491	39
492	129
493	105
494	47
495	20
496	25
497	20
498	13
499	157
500	35
501	18
502	19
503	30
504	117
505	764
506	387
507	125
508	67
509	61
510	24
511	171
512	55
513	16
514	34
515	7
516	26
517	19
518	19
519	31
520	47
521	19
522	20
523	72
524	34
525	18
526	21
527	10
528	4
529	10
530	30
531	16
532	13
533	13
534	40
535	28
536	31
537	15
538	13
539	8
540	18
541	24
542	41
543	6
544	16
545	8
546	41
547	10
548	10
549	17
550	9
551	22
552	2
553	3
554	4
555	25
556	11
557	6
558	28
559	4
560	20
561	33
562	18
563	22
564	29
565	20
566	35
567	14
568	20
569	7
570	10
572	3
573	1
574	14
575	22
576	22
577	8
578	8
579	17
580	7
581	40
582	4
583	12
584	9
585	36
586	16
587	22
588	256
589	13
590	133
591	89
592	32
593	13
594	12
595	17
596	19
597	30
598	8
599	8
600	13
601	9
602	12
603	9
604	6
605	4
606	5
607	10
608	8
609	4
610	6
611	19
612	4
613	5
614	2
615	4
616	17
617	5
618	35
619	6
620	97
621	11
622	13
623	9
624	4
625	22
626	6
627	34
628	4
629	4
630	10
631	39
632	11
633	32
634	8
635	7
636	19
637	27
638	16
639	71
640	34
641	43
642	23
643	36
644	43
645	13
647	18
648	12
649	216
650	30
651	10
653	9
654	7
655	11
656	35
657	4
658	10
659	7
660	12
661	6
662	10
663	7
664	3
665	2
666	1
667	8
668	19
669	12
670	6
671	10
672	5
673	11
674	4
675	9
676	4
677	30
678	8
679	2
680	11
681	105
682	10
683	9
684	52
685	17
686	5
687	13
688	6
689	4
690	6
691	3
692	3
693	2
694	29
695	15
696	4
697	22
698	1
699	4
700	7
701	5
702	43
703	17
704	10
705	3
707	3
708	10
709	3
711	11
712	11
713	29
714	9
715	11
716	2
717	8
718	6
719	6
720	5
721	2
722	3
723	2
724	2
725	6
726	12
727	4
728	3
729	2
730	2
731	12
732	27
733	13
734	3
735	112
736	153
737	6
738	18
739	19
740	2
741	5
742	3
743	6
744	5
745	5
746	6
748	1
749	6
750	1
751	17
752	3
753	2
754	6
755	9
756	22
757	4
758	6
759	1
760	4
761	7
762	12
763	18
764	14
766	16
767	9
768	16
769	3
770	7
771	17
772	5
773	6
774	11
775	7
776	3
777	4
778	5
779	6
780	1
781	2
782	20
783	7
784	4
785	27
786	2
787	24
788	6
790	2
791	1
792	9
793	2
794	2
795	2
796	8
797	5
798	46
799	1
800	10
801	2
802	9
803	9
804	5
805	1
806	5
807	9
808	3
809	7
810	9
811	1
812	4
813	2
814	3
815	11
816	115
817	44
818	282
819	42
820	33
821	32
822	5
823	27
824	6
825	5
827	41
828	11
829	8
830	14
831	11
832	12
833	4
834	2
835	16
836	334
837	23
838	17
839	67
840	67
841	45
842	15
843	3
844	28
845	27
846	8
847	50
848	80
849	312
850	21927
851	44
852	292
853	75
854	1990
855	319
856	94
857	81
858	133
859	1839
860	6839
861	1681
862	1171
