barcode	Count
92_98_9174_9421	1
122_275_9030_9293	1
168_334_9175_9622	1
189_201_9277_9622	1
272_368_9355_9510	1
293_396_9076_9611	1
384_497_9272_9622	1
384_396_9216_9623	1
390_476_9345_9553	1
392_448_9181_9583	1
400_543_9175_9624	1
443_743_4913_4962_5777_6651	2
443_747_5795_6044_8369_9622	1
454_743_4913_6171	28
451_740_4911_9485	1
454_743_5390_6171	32
454_743_5777_6044_8369_9622	14
454_743_5976_6171	77
454_743_5976_6044_8369_9622	95
452_743_4913_4962_5954_6044_8369_9622	3
454_765_5949_6783_8267_9622	1
454_743_5954_6044_8369_9622	31
454_743_4913_4962_5976_6044_8369_9622	15
454_747_4919_4962_5976_6044_8369_9470	2
454_743_4913_4962_5960_6044_8369_9622	1
454_743_5936_6044_8369_9622	4
454_743_4913_4962_5390_6135	4
459_743_5777_6303	5
454_747_5960_6044_8369_9622	4
454_747_5777_6044_8369_9622	3
454_743_5960_6044_8369_9621	24
454_743_5390_5463_5976_6044_8369_9622	24
454_743_4913_4962_5976_6044_8369_9163_9223_9490	1
454_743_5390_5463_5960_6044_8369_9622	5
454_743_5390_5463_5976_6153	11
454_743_4913_4962_5777_6044_8369_9622	8
454_743_5976_6048_8369_9621	1
454_743_5954_6165	5
454_743_4913_4962_5390_5463_5976_6044_8369_9622	12
454_743_5777_6044_8369_8736_8813_9347	1
454_743_5976_6075_8386_9622	1
454_617_9069_9605	1
454_743_5390_5463_5777_6044_8369_9619	3
454_747_5390_6653	1
454_743_5390_5463_5936_6044_8369_9612	1
454_743_5390_5463_5954_6044_8369_9622	9
454_743_5980_6168	2
454_743_4913_4962_5976_9618	2
454_555_650_743_5976_6647	1
454_743_5983_6048_8369_9627	1
454_743_4913_4962_5976_6048_8369_9622	1
454_743_4913_6044_8369_9621	2
454_747_4919_4962_5960_6044_8369_9622	1
454_743_4913_4962_5390_5463_5976_6051_8389_9516	1
454_743_5390_5533_5578_6153	1
454_747_4922_7269	1
454_743_5390_5463_5976_6044_8379_9626	1
454_747_4919_9325	2
454_743_5960_9622	4
459_743_4913_4962_5390_5463_5976_6147	3
455_743_5954_6044_8389_9617	1
455_743_4913_4962_5390_5463_5960_6044_8369_9483	2
455_729_5390_6171	1
457_743_5976_6044_8389_9623	1
458_743_4913_4962_5390_5463_5777_5953_8440_9606	1
458_743_4913_4962_5917_6044_8369_9622	1
459_743_5390_6075_6134_8679_9043_9430	1
459_743_4913_4962_5390_5463_5976_6048_8369_9531	1
459_743_5390_6029_8369_9616	1
459_743_4913_4962_5390_5463_5777_6044_8369_9561	4
459_743_5976_7960_8134_9622	1
459_747_5960_6159	1
459_743_5390_5463_8341_9621	1
459_743_8369_9622	1
459_743_5390_5463_5960_6653	1
459_743_5936_6153	1
459_747_5976_6044_8369_9622	1
459_743_5976_6044_8369_9388_9487_9622	1
459_743_4913_5058_5390_5463_5976_6044_8369_9622	1
459_743_4913_5058_5976_6044_8369_9621	1
460_743_5980_6044_8369_9182	1
460_743_4913_4962_5390_5463_5954_6044_8369_9622	2
461_743_5954_6644_6731_9621	1
467_743_5390_5463_5976_6048_8369_9564	1
468_747_5992_6044_8369_9621	1
471_690_5983_6044_8369_9621	1
472_743_5976_7069_7185_9621	1
474_634_9074_9620	1
474_743_4913_4962_5390_5463_5936_6044_8369_9621	1
485_747_4922_4962_5390_5463_5976_6044_8369_9618	1
505_628_9076_9514	1
668_812_9064_9617	1
