5prime_site	Count
801	207
1312	2144
815	1845
1285	10
541	1
1314	337
1317	530
1006	2
807	87
799	19
140	4
927	12
800	148
776	4
808	16
802	24
1292	11
1225	1
822	40
1220	8
809	14
1089	3
1309	8
1310	13
1374	1
956	14
750	5
566	5
824	30
1311	34
378	1
1328	31
1255	2
687	1
758	18
630	1
1457	8
798	7
1161	6
1061	2
1102	5
1313	26
1002	10
1170	13
883	1
868	4
212	1
1371	1
841	13
806	15
1063	2
1142	6
1237	4
549	4
545	5
455	14
832	1
1251	7
1430	2
266	9
559	1
1353	1
308	4
300	5
1289	2
1391	4
608	2
1245	3
409	2
650	2
621	2
1337	37
805	7
499	1
787	1
899	3
574	2
233	2
971	1
602	1
1213	7
596	4
1013	1
1409	6
242	5
1109	2
1325	5
429	1
983	1
1047	6
635	5
377	1
859	2
729	5
500	1
616	2
1083	5
1074	2
1355	8
568	1
1550	5
539	1
591	1
1184	7
320	1
524	6
944	1
1030	3
1308	1
374	4
442	6
1154	1
848	4
244	2
866	1
770	4
803	19
713	4
639	9
830	1
295	1
1205	2
1135	3
399	1
1180	1
484	1
1324	4
353	7
1197	2
176	6
488	1
701	1
528	1
430	3
275	1
704	1
1418	4
745	1
1332	1
681	8
794	2
569	1
1322	2
810	1
290	1
990	1
1301	6
508	1
215	1
1232	1
1239	5
367	1
582	1
1125	3
1320	4
341	1
1491	1
1192	1
92	1
782	1
162	2
720	2
593	1
1436	1
1343	1
331	1
1303	1
405	1
1256	1
1323	6
1267	2
1305	1
493	2
1261	1
965	1
979	1
1247	1
99	1
797	1
1238	1
183	1
504	1
1321	2
1518	1
1562	1
396	1
413	1
129	1
1513	2
486	1
654	1
1234	1
120	1
219	1
1498	1
1505	2
497	1
1339	1
1588	1
1306	1
811	1
672	1
330	1
332	3
198	1
708	1
804	1
671	1
920	1
1344	2
1300	1
1273	1
476	1
1065	2
1478	4
942	3
422	1
447	1
194	1
324	1
1268	1
910	2
813	1
1510	1
489	1
287	1
501	1
487	1
1175	1
250	1
677	1
1398	1
698	1
408	1
428	1
1352	1
281	1
507	1
578	1
658	1
653	1
490	1
880	1
511	1
431	1
587	2
312	1
338	1
1015	1
1252	1
227	1
846	1
746	1
649	1
532	1
