start_site	Count
49	1
50	1
100	2
105	1
108	1
112	1
120	1
143	1
147	1
170	1
221	1
296	1
302	1
327	1
351	2
360	1
363	9
364	2
380	1
381	3
382	2
383	7
384	84
385	2
386	1
387	7
388	3
389	15
390	65
391	4
392	35
393	7
394	20
395	3
396	3
399	3
400	6
401	2
402	14
406	1
409	1
412	2
414	2
418	5
425	1
430	1
432	1
433	1
435	2
438	1
441	1
443	3
447	1
450	4
452	53
453	12
454	1102
455	72
456	109
457	58
458	63
459	798
460	100
461	42
462	19
463	27
464	9
465	13
466	8
467	14
468	17
469	28
470	6
471	27
472	29
473	12
474	18
475	10
476	4
477	2
479	11
480	2
481	7
482	4
483	2
485	12
486	6
487	28
488	1
489	5
490	8
491	2
492	11
493	7
494	4
495	2
496	2
497	3
499	11
500	3
502	2
503	2
504	8
505	42
506	14
507	13
508	6
509	2
511	11
512	3
513	1
514	6
515	1
517	1
518	4
519	1
520	3
521	1
522	1
523	3
527	1
530	3
533	2
534	2
535	2
536	3
537	2
538	1
539	2
540	1
542	2
544	2
546	1
547	1
550	4
551	1
553	1
555	1
556	1
558	1
562	1
563	1
564	1
566	1
567	3
569	1
575	1
576	1
579	1
583	3
584	1
585	1
588	7
589	1
590	3
591	1
592	2
594	1
597	2
599	1
600	1
601	1
602	2
611	2
618	1
620	3
622	1
625	1
628	1
637	1
639	1
643	3
644	3
647	1
649	5
650	1
660	1
668	2
672	2
676	1
677	5
684	3
694	5
695	1
702	2
703	2
711	1
715	1
719	1
721	1
723	1
726	1
734	1
735	4
736	3
741	1
742	1
745	1
746	1
751	1
752	1
753	1
754	1
756	1
760	2
771	2
778	1
785	2
794	1
795	1
796	2
797	1
816	1
818	4
822	1
823	2
827	3
828	1
836	7
838	1
839	3
840	2
841	2
845	1
846	1
847	1
848	1
849	4
850	383
851	2
852	15
854	43
855	3
858	2
859	28
860	122
861	33
862	15
863	7
864	10
865	7
866	3
867	12
868	27
869	3
871	8
872	5
874	2
875	6
876	1
877	4
878	1
881	2
882	2
883	6
885	1
886	1
887	1
888	1
889	3
891	1
892	2
893	1
894	3
896	2
897	2
898	1
900	3
905	2
906	1
907	3
908	1
909	1
910	1
911	1
912	2
913	2
914	1
915	1
916	1
917	2
920	1
921	1
922	1
923	2
924	1
926	2
927	1
928	1
929	5
930	1
931	1
936	1
937	2
946	1
952	1
954	1
955	19
956	6
957	31
958	23
959	1
960	1
961	16
962	2
963	54
964	6
965	14
966	3
969	1
972	25
973	79
974	14
975	5
976	3
977	7
978	1
979	3
980	11
981	6
982	4
983	10
984	1
985	6
986	3
987	4
990	3
991	5
993	1
994	4
995	1
996	1
997	1
998	1
1000	1
1001	6
1002	1
1006	4
1009	2
1017	2
1020	2
1030	2
1031	1
1034	1
1038	1
1039	2
1040	35
1041	1
1042	3
1044	2
1046	5
1050	2
1053	1
1054	1
1058	1
1062	1
1066	1
1080	1
1086	1
1091	1
1092	2
1094	1
1096	2
1099	1
1104	1
1105	1
1112	1
1113	2
1117	2
1123	1
1125	1
1126	2
1127	3
1128	1
1132	2
1135	1
1143	1
1147	2
1154	1
1156	1
1157	2
1160	1
1161	1
1162	1
1163	1
1169	3
1172	2
