3prime_site	Count
308	6
3798	6
44	1
552	59
210	11
119	6
133	2
534	5
98	16
355	1
543	26
51	2
299	8
46	4
583	20
41	6
714	2
557	17
87	1
275	1
56	3
343	6
88	1
313	4
146	6
64	1
167	7
75	1
256	2
106	1
567	6
96	2
339	1
6889	8
153	13
176	3
113	16
148	8
364	1
131	20
334	29
118	20
389	30
109	1
432	26
559	46
129	6
461	15
539	1
124	6
159	1
316	1
408	16
497	7
8624	2
362	4
476	23
1819	2
634	55
349	4
482	13
617	23
174	6
493	12
403	13
360	6
451	9
396	55
555	28
204	2
325	2
231	1
381	4
386	4
183	1
9038	9
152	1
302	1
207	1
421	15
572	12
446	17
580	8
473	6
513	17
498	1
574	17
379	1
587	14
615	28
376	1
435	12
254	1
248	2
399	45
516	8
406	7
185	1
9414	4
201	3
194	1
265	1
368	12
303	3
501	13
448	15
329	6
9242	28
740	6
405	1
464	2
546	2
628	27
9199	2
1254	27
765	22
402	6
412	23
682	4
4621	10
419	1
743	142
385	1
474	1
438	5
468	3
533	2
538	1
9388	36
413	1
414	1
9400	14
455	1
1815	47
1718	1
9350	17
523	1
444	2
902	26
9323	14
7052	1
453	1
5419	7
1191	17
891	229
445	1
425	1
793	30
807	45
775	21
484	1
879	15
1573	1
909	117
649	1
6048	17
6044	100
705	36
668	4
1147	33
851	2
897	36
681	4
676	5
1085	3
1359	28
848	15
813	3
696	6
814	3
724	1
1102	52
899	13
816	3
747	74
673	2
936	4
834	3
665	110
660	2
829	3
782	1
1120	37
905	15
1677	56
663	2
722	4
707	4
529	3
690	6
771	3
670	2
699	2
1086	6
5463	21
1453	27
978	10
1186	15
698	1
1845	30
460	1
904	9
757	1
1421	6
844	2
710	1
687	3
764	1
854	1
830	1
1096	4
680	1
2489	3
655	1
770	2
803	1
1048	146
825	1
527	6
3540	1
8478	1
1068	78
720	2
4962	15
769	3
1933	2
871	2
4347	26
958	19
931	10
3033	3
1137	1
776	3
1130	3
784	2
1983	2
1050	83
876	1
4912	1
836	3
1215	23
597	1
522	1
1705	1
713	1
895	14
1011	21
4086	30
650	1
721	5
780	2
1104	25
8774	1
657	1
3095	3
1698	42
712	4
4317	1
732	2
4992	4
463	1
686	2
1038	78
1608	37
675	2
688	1
1206	2
999	2
697	1
495	1
1560	18
1961	14
8557	5
492	1
1652	1
509	2
823	2
841	1
726	3
684	7
901	5
900	4
1664	5
815	2
556	2
755	4
4388	29
719	1
1725	61
677	1
883	5
652	6
