end_site	Count
976	3944
984	5540
1058	13406
1610	4987
580	136
982	7344
1365	13866
1621	5463
983	154453
1624	108890
981	1810
980	5056
1622	4449
1613	58
1245	21
251	2826
922	3
1228	11
740	26
1216	17
965	674
818	31
882	106
977	2407
975	5265
1034	48
846	466
1043	78
966	97
1363	253
1553	9
885	89
944	3470
1129	19
1608	3421
1620	2098
1288	6155
942	550
985	1234
252	12
974	200
1050	634
915	5693
1589	59
473	3
1049	581
1628	1566
1597	173
990	47
900	428
578	36
442	4140
887	707
712	23
1595	77
1319	662
978	1731
781	80
1325	2460
780	99
1623	3311
1607	860
768	9
1616	2225
844	185
529	87
560	89
1283	339
989	1555
1156	12
947	393
1398	5
1351	54
714	44
1580	105
244	209
1603	910
1366	30
686	22
1615	516
1609	1049
568	23
1455	13
533	149
996	16
775	61
296	530
687	22
1025	28
642	20
968	519
1605	525
1457	10
1294	53
841	84
1064	20
816	23
907	984
929	210
438	13
1359	544
784	354
273	12
630	29
979	1352
1292	87
439	77
1362	196
842	179
548	92
1203	14
1196	13
1498	4
1013	55
240	166
494	17
719	197
756	100
1619	166
1600	185
647	54
1376	228
650	163
1297	26
662	251
906	468
738	46
897	134
1333	156
1318	104
1614	342
904	257
899	205
819	36
1077	373
1059	57
930	5
1237	23
1606	1125
908	271
552	16
585	25
1326	34
913	471
847	44
1148	11
641	17
1604	492
969	508
1567	50
757	80
1030	133
736	20
1053	2541
216	5
480	82
236	17
286	1081
1592	247
658	19
864	54
415	147
233	20
823	41
741	31
895	71
1251	82
1447	17
603	231
1266	105
1268	70
521	166
896	195
519	49
1593	649
954	3
971	334
991	85
1546	6
1035	155
223	12
739	28
967	104
878	32
509	15
1062	104
1544	17
1249	18
1187	10
970	550
1052	1121
1167	7
505	15
905	422
1246	20
746	43
516	71
837	79
1390	10
198	572
599	48
777	27
420	271
1594	118
517	20
960	394
1242	20
716	71
1015	239
1369	146
1289	37
1416	63
1235	14
787	10
432	96
1272	81
246	724
684	22
1234	23
1584	386
660	32
557	16
631	25
508	29
1287	107
1238	12
1448	6
880	54
1611	77
733	15
1361	141
778	41
698	13
1057	141
1302	38
1360	178
972	340
1557	27
699	17
1322	75
1254	25
690	28
258	99
889	28
1051	401
433	286
1598	50
1176	54
943	119
1583	140
898	84
754	61
1441	13
909	465
1299	17
1357	60
1054	40
1003	18
1263	19
565	15
483	6
1293	106
589	22
1155	8
879	23
249	24
1000	7
624	26
755	83
628	23
1520	22
955	201
1407	14
598	37
1465	13
639	39
902	177
901	291
1012	41
782	52
1538	28
883	55
643	83
1512	16
753	58
715	49
1352	26
493	20
1309	50
556	21
735	21
1549	44
634	21
1126	8
1323	31
187	18
427	155
446	117
884	131
1526	25
986	19
502	22
1596	133
1358	145
834	52
635	37
1042	27
626	24
1375	18
1175	18
1113	19
1402	22
1239	19
836	78
785	49
1045	28
1093	28
1230	28
1332	36
1570	60
867	21
1005	17
1389	9
1267	38
1081	76
1330	63
1279	16
1403	11
237	90
737	20
872	194
941	380
1342	27
1261	42
1493	5
1108	17
474	10
1343	20
625	40
288	97
247	32
1159	21
843	79
1543	16
814	9
893	21
1458	56
1265	36
1074	35
409	17
1446	30
189	41
1047	106
748	30
1364	242
1502	12
623	55
863	70
1284	155
744	50
1218	6
221	7
973	176
515	50
407	14
503	36
1356	132
1014	32
1565	27
1243	19
707	25
1255	57
499	18
1087	60
871	50
1590	53
590	15
387	20
600	18
1540	48
174	4
410	9
1388	17
176	14
938	38
475	12
259	6
479	7
1413	15
720	5
830	30
835	40
193	54
839	59
412	12
1572	33
1379	5
1575	31
891	52
1250	29
1560	21
865	72
940	109
591	22
1585	50
751	24
1556	54
250	40
579	64
1500	16
414	43
821	37
510	35
1566	10
1308	19
1320	100
1157	10
1511	22
808	30
820	14
1286	51
1214	15
668	15
840	41
1478	4
1331	28
436	29
637	27
611	78
797	5
564	26
478	11
541	23
693	19
743	35
959	10
1282	17
817	25
1456	15
437	47
588	9
291	21
1525	9
1454	17
1551	15
504	15
574	32
1399	10
1383	1
866	98
1112	5
1573	47
1097	4
1315	33
747	22
487	24
774	42
638	47
375	2
1177	11
559	35
886	64
500	24
1612	106
1475	8
1107	15
1516	62
1290	23
186	11
1186	3
718	34
946	63
402	14
862	24
1227	7
888	28
692	17
1395	10
1355	69
964	10
709	25
822	11
1083	77
1561	20
513	37
355	4
1338	15
