barcode	Count
31_65_21550_21642	15
31_65_25381_25789	181
31_74_27043_27893	4
31_320_609_1205	1
31_83_27394_27893	8
31_85_27401_27893	1
31_65_27384_27893	74
31_65_27383_27893	7
31_83_9293_9390	1
31_74_27390_27893	4
31_392_29277_29786	1
31_65_25379_25789	15
31_60_22933_23631	1
31_65_26469_26764	1
31_87_27414_27889	1
31_595_657_1185	1
31_74_27394_27893	1
31_1099_25700_26826	1
31_59_27381_27893	5
31_74_13431_13621	1
31_74_10766_11468	2
31_74_28888_29770	2
31_65_25381_25764_27791_27888	1
31_65_27380_27893	1
31_65_27386_27893	2
31_74_19537_19677	1
31_83_27403_27893	1
31_65_5080_5358	1
31_65_27385_27893	3
31_87_27399_27893	1
31_65_23361_23631	3
31_65_21553_21634	4
31_83_27407_27893	1
31_1209_3084_4261	1
31_83_25407_25789	1
31_58_27381_27893	1
31_83_27400_27893	1
31_400_478_1205	1
31_83_27405_27893	1
31_83_27390_27893	2
32_350_417_1190	1
33_39_19587_20697	1
33_83_27404_27827_28678_29783	1
34_85_27402_27893	1
37_83_27766_27893	1
37_67_25383_25789	1
45_65_19573_19677	1
1029_1209_27786_28000_28167_29006	1
1100_2205_8582_8590_20561_21598	1
1100_2308_18579_19120	1
1142_1418_1789_2097_2168_2217	1
1514_1939_2052_2263	1
1760_1769_22996_23631	1
1821_2351_26710_26764	1
2153_3263_14408_14620	1
2153_4316_13446_14636	1
2153_2717_2850_3258	1
2281_2880_2934_3157	1
2539_2741_2831_3139	1
2541_3230_24562_25789	1
2917_2999_3048_3241	1
3144_4346_21514_22512	1
3144_4262_27785_28000_28167_29006	1
3144_4262_25690_26856	1
3151_4262_20554_21629	1
3158_4277_9265_10451	1
3159_4247_15611_16712	1
3166_4262_16623_17756	1
3178_4279_11355_12560	1
3257_3917_4062_4261	1
3910_4277_18494_19677	1
4095_4277_15543_16720	1
5258_5672_5771_6372	1
5259_6415_24619_26711	1
5838_5846_25922_26856	1
5956_5963_13518_14640	1
6089_6407_16548_17755	1
6164_6186_14981_15734	1
6283_6532_18675_18702	1
6283_6455_6533_7400	1
6285_6455_6546_7398	1
6292_7413_8976_8994	1
6293_7400_16625_17755	1
6296_7382_22519_23624	1
6757_6878_18579_19677	1
7299_7330_10055_10451	3
7299_8174_8225_8384	1
7299_8383_27780_28005_28171_29006	1
7299_7910_8028_8378	1
7299_8385_25690_26854	1
7381_7391_25691_26856	1
7985_8437_25572_25787	1
8253_9406_20561_21642	1
8253_9401_27786_28020_28182_28981	1
8253_9401_24638_25773	1
8253_9401_27786_28005_28171_28997	2
8253_9401_24635_25789	1
8253_9401_25691_26847	1
8253_9401_26753_27893	1
8253_9406_14541_15734	2
8259_9401_13455_14619	1
8260_8321_8372_8856	1
8262_9416_14465_15723	1
8267_9401_28839_29790	1
8303_9293_13298_13309	1
8363_8393_16548_16720	1
8475_8481_13512_14640	1
8475_8487_13269_13599	2
8475_8481_12426_13550	1
8475_8481_12453_13621	1
8865_9002_9047_9378	1
9303_10457_25691_26846	1
9303_10457_28678_29789	1
9304_10361_10659_11462	1
9309_10457_18461_19663_25691_26856	1
9315_10452_14541_15734	1
9379_9770_10325_10425	1
10052_10284_16625_17752	1
10344_11469_29826_29885	1
10344_10353_15589_15734	3
10344_10393_15618_15732	1
10344_10357_15592_15692	1
10344_11201_11253_11468	1
10344_11470_18602_19677	1
10355_11041_11141_11466	1
10372_10407_28935_29763	1
11373_11644_28951_28994	1
11373_11650_28958_29001	1
11373_12401_29871_29889	1
11373_12577_18491_19680	1
11373_11386_19847_20697	1
11378_12623_19573_20695	1
11383_12599_28686_29789	1
11387_12623_17589_18705	1
11388_12646_16604_17755	1
11432_12568_23517_24739	1
12448_12797_13464_13621	1
12450_13139_13198_13621	1
12450_12887_23568_23631	2
12450_12460_29369_29789	6
12450_12460_28993_29789	2
12450_12608_13521_13621	1
12450_12923_13169_13621	1
12451_12472_29387_29786	1
12453_12653_12744_13621	1
12455_13192_25661_25789	1
12457_13412_13480_13621	1
12466_13502_20144_20163	1
13510_13707_13819_14640	1
13510_14017_21452_21468	1
13510_14472_20678_20697	1
13518_14080_14275_14625	1
13524_14677_28614_29790	1
13529_14020_14207_14640	1
13549_14084_14207_14583	1
13785_14635_17587_18705	1
13823_14087_14201_14554	1
14541_14563_25318_25723	1
14541_14955_15618_15734	1
14595_15795_17589_18705	1
15608_15951_16025_16713	1
15608_15663_15974_16720	1
