Genome position	Count
0	3
1	19
2	23
3	28
4	61
5	100
6	107
7	136
8	190
9	309
10	1499
11	8000
12	8001
13	8002
14	8003
15	8004
16	8005
17	8006
18	8007
19	8008
20	8009
21	8010
22	8011
23	8012
24	8013
25	8014
26	8015
27	8016
28	8017
29	8018
30	8019
31	8019
32	8020
33	8021
34	8022
35	8023
36	8024
37	8025
38	8026
39	8027
40	8028
41	8029
42	8030
43	8031
44	8032
45	8033
46	8034
47	8035
48	8036
49	8037
50	8038
51	8039
52	8040
53	8041
54	8042
55	8043
56	8044
57	8045
58	8045
59	8045
60	8045
61	8046
62	8047
63	8048
64	8049
65	8050
66	8051
67	8052
68	8053
69	8054
70	8054
71	8054
72	8055
73	8056
74	8057
75	8058
76	8059
77	8060
78	8061
79	8062
80	8063
81	8063
82	8063
83	8064
84	8065
85	8066
86	8067
87	8068
88	8068
89	8069
90	8070
91	8070
92	8071
93	8072
94	8072
95	8073
96	8073
97	8073
98	8074
99	8075
100	8076
101	8077
102	8077
103	8078
104	8078
105	8078
106	8079
107	8079
108	8080
109	8080
110	8081
111	8081
112	8082
113	8083
114	8083
115	8084
116	8084
117	8084
118	8084
119	8085
120	8086
121	8087
122	8087
123	8087
124	8088
125	8089
126	8090
127	8091
128	8092
129	8093
130	8093
131	8094
132	8094
133	8095
134	8095
135	8095
136	8095
137	8096
138	8096
139	8097
140	8098
141	8099
142	8099
143	8099
144	8100
145	8101
146	8101
147	8102
148	8103
149	8104
150	8105
151	8106
152	8107
153	8108
154	8109
155	8110
156	8111
157	8112
158	8113
159	8114
160	8115
161	8116
162	8117
163	8118
164	8119
165	8120
166	8120
167	8121
168	8122
169	8122
170	8122
171	8123
172	8124
173	8124
174	8124
175	8124
176	8125
177	8125
178	8125
179	8126
180	8126
181	8127
182	8128
183	8129
184	8130
185	8130
186	8131
187	8131
188	8131
189	8131
190	8132
191	8132
192	8132
193	8133
194	8134
195	8135
196	8136
197	8137
198	8137
199	8137
200	8138
201	8138
202	8138
203	8138
204	8139
205	8140
206	8141
207	8142
208	8143
209	8143
210	8143
211	8144
212	8145
213	8145
214	8146
215	8146
216	8146
217	8147
218	8148
219	8148
220	8148
221	8149
222	8150
223	8151
224	8152
225	8153
226	8153
227	8154
228	8154
229	8154
230	8154
231	8155
232	8155
233	8156
234	8157
235	8158
236	8159
237	8159
238	8160
239	8161
240	8162
241	8163
242	8163
243	8164
244	8165
245	8166
246	8167
247	8168
248	8168
249	8169
250	8169
251	8170
252	8170
253	8170
254	8170
255	8171
256	8172
257	8173
258	8173
259	8174
260	8175
261	8175
262	8176
263	8177
264	8178
265	8178
266	8178
267	8179
268	8180
269	8181
270	8182
271	8183
272	8184
273	8184
274	8185
275	8185
276	8186
277	8187
278	8188
279	8189
280	8190
281	8190
282	8191
283	8191
284	8192
285	8193
286	8194
287	8195
288	8196
289	8197
290	8197
291	8198
292	8199
293	8199
294	8199
295	8200
296	8201
297	8202
298	8203
299	8203
300	8204
301	8205
302	8206
303	8207
304	8207
305	8207
306	8208
307	8208
308	8209
309	8210
310	8210
311	8211
312	8212
313	8213
314	8214
315	8215
316	8216
317	8217
318	8218
319	8219
320	8220
321	8221
322	8222
323	8222
324	8223
325	8223
326	8224
327	8225
328	8226
329	8227
330	8228
331	8229
332	8230
333	8231
334	8231
335	8232
336	8233
337	8234
338	8235
339	8235
340	8236
341	8237
342	8238
343	8239
344	8240
345	8241
346	8242
347	8243
348	8244
349	8245
350	8246
351	8247
352	8248
353	8249
354	8249
355	8250
356	8251
357	8252
358	8253
359	8254
360	8255
361	8255
362	8255
363	8255
364	8256
365	8257
366	8258
367	8259
368	8260
369	8261
370	8262
371	8263
372	8264
373	8265
374	8266
375	8266
376	8267
377	8267
378	8268
379	8268
380	8269
381	8270
382	8271
383	8272
384	8273
385	8273
386	8274
387	8274
388	8275
389	8276
390	8277
391	8278
392	8279
393	8280
394	8281
395	8282
396	8283
397	8284
398	8284
399	8284
400	8285
401	8286
402	8287
403	8288
404	8288
405	8288
406	8289
407	8290
408	8291
409	8292
410	8293
411	8294
412	8295
413	8296
414	8297
415	8298
416	8299
417	8300
418	8301
419	8302
420	8303
421	8304
422	8305
423	8306
424	8307
425	8307
426	8308
427	8309
428	8309
429	8310
430	8310
431	8310
432	8311
433	8311
434	8312
435	8313
436	8314
437	8315
438	8316
439	8316
440	8316
441	8317
442	8317
443	8318
444	8319
445	8320
446	8321
447	8322
448	8323
449	8324
450	8325
451	8326
452	8327
453	8327
454	8327
455	8327
456	8328
457	8329
458	8330
459	8331
460	8332
461	8332
462	8333
463	8334
464	8334
465	8334
466	8334
467	8335
468	8336
469	8337
470	8337
471	8338
472	8338
473	8339
474	8340
475	8341
476	8342
477	8343
478	8344
479	8345
480	8346
481	8347
482	8347
483	8347
484	8348
485	8349
486	8350
487	8351
488	8352
489	8353
490	8354
491	8354
492	8355
493	8356
494	8356
495	8357
496	8357
497	8357
498	8358
499	8358
500	8359
501	8359
502	8360
503	8360
504	8361
505	8362
506	8362
507	8363
508	8363
509	8364
510	8365
511	8366
512	8367
513	8368
514	8369
515	8369
516	8370
517	8371
518	8372
519	8373
520	8374
521	8374
522	8375
523	8376
524	8377
525	8378
526	8378
527	8379
528	8380
529	8381
530	8381
531	8382
532	8383
533	8384
534	8385
535	8385
536	8386
537	8387
538	8387
539	8388
540	8388
541	8389
542	8390
543	8391
544	8392
545	8393
546	8394
547	8394
548	8394
549	8395
550	8395
551	8396
552	8396
553	8397
554	8398
555	8398
556	8399
557	8400
558	8400
559	8400
560	8401
561	8401
562	8402
563	8403
564	8403
565	8404
566	8405
567	8406
568	8407
569	8408
570	8409
571	8410
572	8411
573	8412
574	8412
575	8413
576	8414
577	8414
578	8415
579	8415
580	8416
581	8416
582	8416
583	8416
584	8417
585	8418
586	8419
587	8420
588	8421
589	8422
590	8422
591	8423
592	8424
593	8425
594	8426
595	8427
596	8428
597	8428
598	8429
599	8429
600	8429
601	8429
602	8429
603	8430
604	8431
605	8431
606	8432
607	8433
608	8434
609	8435
610	8436
611	8437
612	8438
613	8438
614	8438
615	8438
616	8439
617	8440
618	8441
619	8442
620	8443
621	8444
622	8445
623	8446
624	8446
625	8446
626	8447
627	8447
628	8447
629	8448
630	8449
631	8449
632	8449
633	8450
634	8451
635	8452
636	8453
637	8454
638	8455
639	8456
640	8456
641	8456
642	8456
643	8457
644	8458
645	8459
646	8460
647	8460
648	8461
649	8462
650	8463
651	8464
652	8465
653	8466
654	8466
655	8466
656	8467
657	8468
658	8469
659	8470
660	8470
661	8471
662	8472
663	8472
664	8472
665	8473
666	8474
667	8475
668	8476
669	8476
670	8477
671	8478
672	8479
673	8479
674	8480
675	8481
676	8482
677	8482
678	8483
679	8484
680	8484
681	8485
682	8485
683	8486
684	8487
685	8488
686	8489
687	8489
688	8489
689	8489
690	8489
691	8490
692	8491
693	8492
694	8492
695	8493
696	8493
697	8494
698	8495
699	8496
700	8497
701	8498
702	8498
703	8499
704	8500
705	8500
706	8500
707	8501
708	8501
709	8502
710	8503
711	8504
712	8504
713	8505
714	8505
715	8505
716	8506
717	8507
718	8507
719	8508
720	8508
721	8508
722	8508
723	8509
724	8510
725	8511
726	8511
727	8511
728	8512
729	8513
730	8513
731	8513
732	8513
733	8514
734	8514
735	8515
736	8515
737	8516
738	8517
739	8518
740	8519
741	8520
742	8521
743	8520
744	8520
745	8521
746	8522
747	8523
748	8524
749	8525
750	8525
751	8526
752	8526
753	8527
754	8528
