end_site	Count
9621	966
9199	1
9487	5
9510	8
9622	1277
9626	143
9616	57
9576	10
9495	10
9471	2
554	3
9531	3
551	271
9612	84
552	10
550	10
548	4
9593	40
520	1
9590	20
553	1
9450	10
549	1
545	1
9591	12
546	1
538	1
798	1
9600	29
543	1
9575	8
6171	255
9535	13
1102	12
6651	42
2038	2
701	1
843	57
8661	1
9469	4
1032	11
1129	367
6145	21
4132	13
2036	6
2055	77
6641	12
1130	240
2687	6
6153	148
9629	11
884	13
2637	1
833	28
637	1
757	5
6139	7
1114	165
826	2
6647	4
6170	15
9459	6
816	4
6655	9
1119	181
869	4
5190	7
9614	41
9627	105
4693	3
1131	9
1864	227
6144	7
9611	36
2663	2
754	2
9607	44
9456	13
1108	21
6646	3
1120	33
6155	10
1072	3
6116	1
9605	23
9500	7
6142	1
9606	96
6161	5
2671	1
1088	3
1126	54
1125	80
4696	47
2049	15
806	2
9440	5
9423	4
1117	4
781	3
962	2
9703	1
9623	51
9618	169
830	5
1951	20
2035	14
6175	61
9619	69
1124	5
9608	73
9410	4
1036	1
1112	9
9455	13
5514	1
711	2
1059	3
9451	12
4138	57
9477	3
6107	3
1127	23
2037	1
4684	30
9529	8
9610	80
1106	17
9615	64
9464	9
649	3
8894	5
916	1
9463	12
4658	1
742	1
2644	47
6652	39
6108	2
9413	5
3202	1
6659	3
2046	3
9447	1
6165	21
2669	14
9632	2
993	1
4709	135
9555	8
2628	3
1011	8
9609	28
8512	1
1086	2
3717	1
9587	18
1113	34
836	3
634	1
9594	9
9620	86
979	2
4706	6
1063	2
5007	1
9628	3
2645	13
6148	10
1140	11
1004	14
1049	2
9601	29
1105	10
1019	16
9512	12
1010	4
6135	22
6166	2
4118	4
4688	69
9516	7
837	2
787	1
746	1
6122	2
9578	8
1031	2
1118	16
6152	10
6138	49
6664	1
2041	17
4870	1
9429	4
6191	2
6157	2
854	4
6143	26
9551	16
6731	1
9475	6
2676	43
4679	26
6670	1
3471	1
6167	12
805	3
1078	6
1815	3
9432	5
9497	6
9461	7
1608	2
6158	2
9589	12
6159	7
9613	41
841	7
9412	3
9442	6
9556	4
5443	1
1104	9
2062	15
6649	19
829	2
9585	42
1101	5
9507	5
1111	8
2853	1
1947	3
9604	17
2632	4
1073	4
9411	6
626	1
4625	2
2670	3
1605	10
1527	1
2045	10
9306	1
6083	2
1029	7
4686	124
8839	1
1979	3
9363	2
9586	34
9574	12
8902	5
9514	7
774	1
9047	1
8771	1
1026	2
6173	2
9511	6
9404	3
9494	21
664	6
4680	10
9394	1
859	1
6092	3
752	2
3217	2
1109	4
9599	16
9515	6
9401	2
9479	6
6140	18
3724	1
6653	15
6282	1
716	2
6147	25
828	2
9017	1
1611	4
3483	1
6663	3
835	6
8490	1
819	6
1048	1
1754	1
1982	1
6502	1
1099	3
9602	13
5017	3
9513	8
1482	1
5510	17
2059	6
6648	3
9560	6
9545	2
2385	3
2347	3
1110	8
4145	6
9460	13
2639	13
6010	2
4673	11
3141	1
9533	4
1100	5
9617	40
9569	22
1081	13
6018	2
2623	5
1079	3
9558	7
9457	4
9509	9
1558	1
2860	7
8164	2
9597	13
842	2
1009	9
2142	2
4856	5
1980	1
2362	1
9554	9
9557	11
758	24
3910	3
1027	26
9561	7
2052	9
6650	3
9577	11
1593	1
814	2
3516	1
9580	9
9532	9
9472	3
4139	16
9496	17
6672	4
1107	8
6186	1
4877	32
1013	1
1001	4
9517	15
9559	21
872	2
747	2
6658	8
811	1
6769	3
1143	5
5268	5
9598	30
5020	11
1016	2
4627	2
825	2
815	1
6137	11
4026	1
1812	2
9524	6
9407	1
9596	6
9566	6
9504	7
9441	4
4725	125
827	2
1050	3
9506	9
666	1
2018	1
3332	1
9396	1
785	2
3797	1
4659	3
1765	1
9499	6
4777	2
9351	1
5189	1
762	1
1038	3
1133	5
1018	3
3661	2
986	1
633	1
5314	2
4501	1
753	1
6661	7
1238	1
1811	1
3208	3
619	1
6904	1
8159	1
4169	1
6160	4
3590	3
756	1
1067	3
983	1
1035	1
4699	41
3469	2
1085	6
2680	1
2641	1
3520	1
2621	1
779	1
6146	6
9474	3
7116	1
640	1
3156	1
945	1
9546	3
9527	7
1103	16
6588	2
6310	1
3599	3
7953	1
5470	1
4631	5
3944	4
9592	25
766	1
1148	1
4997	1
1007	6
1928	3
6066	1
4681	14
9329	1
5018	2
3943	6
5505	1
9498	11
6032	1
1559	2
2594	1
1064	2
6632	3
6082	1
2658	1
1123	1
9476	1
9385	2
9466	4
2781	1
2677	4
1128	10
1087	4
4629	5
1810	2
823	1
8842	1
9362	1
4287	1
6168	5
3007	1
5066	1
2590	1
8013	1
9603	16
6411	1
9595	21
957	1
5462	1
9406	2
1034	3
9453	4
689	1
7129	8
1479	1
9581	16
959	1
1082	1
6131	1
1077	4
748	1
5614	1
850	1
4172	3
794	1
628	1
8918	1
930	1
6977	1
1881	1
4787	2
808	1
9443	7
9377	1
6224	1
4529	1
852	1
9465	4
743	3
3460	1
9121	1
658	1
9567	16
1021	2
9536	3
2344	1
4140	3
2657	3
614	1
4677	2
2063	4
9528	6
751	1
6645	1
954	1
765	1
1934	1
1024	7
6629	1
799	1
3363	5
9523	7
978	1
2023	1
2387	10
722	2
1075	4
6123	2
9564	6
