barcode	Count
1_148_1307_1624	3589
1_94_249_1624	10
1_94_224_983	3
1_791_837_977	2
1_289_1139_1624	13
1_1382_1458_1604	3
1_591_882_983	2
1_996_1319_1608	1
1_462_1139_1624	1
1_610_935_983	178
1_751_825_983	5
1_209_273_975	1
1_460_592_737	2
1_976_1210_1624	1
1_387_743_1624	1
1_969_1307_1624	5
1_305_394_1624	1
1_469_827_983	1
1_1002_1077_1624	2
1_260_1251_1624	2
1_1075_1136_1624	5
1_744_795_1606	1
1_514_595_944	1
1_232_1281_1624	1
1_1382_1564_1624	3
1_536_699_1624	2
1_752_805_1624	1
1_460_882_970	5
1_190_243_1624	1
1_1382_1507_1624	16
1_852_1139_1624	1
1_300_545_983	1
1_708_994_1624	1
1_821_1139_1624	1
1_991_1116_1624	21
1_477_532_942	2
1_664_943_983	2
1_503_1171_1624	1
1_782_843_1614	1
1_1095_1154_1624	2
1_1058_1192_1624	1
1_260_653_1624	1
1_35_80_972	6
1_825_1136_1624	1
1_333_454_1624	1
1_440_495_983	1
1_967_1129_1624	1
1_581_935_983	3
1_645_829_982	1
1_744_829_983	1
1_1089_1139_1624	1
1_141_1302_1624	12
1_997_1054_1624	2
1_280_960_1624	1
1_260_1139_1624	6
1_711_935_1624	1
1_325_935_1624	1
1_1002_1116_1294	2
1_237_491_1624	1
1_1089_1177_1624	32
1_460_1154_1624	8
1_350_485_1624	1
1_1044_1154_1624	1
1_460_1569_1620	1
1_208_298_1365	2
1_684_1523_1624	1
1_439_960_1624	1
1_664_789_983	2
1_715_818_983	1
1_397_935_1624	1
1_439_1129_1621	1
1_1059_1116_1624	16
1_132_298_983	2
1_1080_1139_1624	12
1_130_243_1358	1
1_311_970_1624	3
1_165_278_1624	1
1_994_1154_1624	3
1_272_1281_1624	1
1_623_1077_1593	1
1_190_331_1593	1
1_35_243_982	2
1_990_1171_1624	9
1_983_1108_1624	1
1_462_579_980	1
1_260_429_1058	1
1_325_492_984	1
1_199_298_983	1
1_1497_1576_1608	1
1_581_689_983	1
1_1342_1480_1624	1
1_715_875_983	3
1_477_752_983	1
1_460_960_983	10
1_289_635_1624	1
1_94_184_983	1
1_11_441_1624	1
1_143_1307_1624	7
1_387_1154_1624	1
1_1351_1480_1621	1
1_546_596_1624	1
1_440_1154_1624	1
1_981_1103_1319	1
1_1044_1206_1624	2
1_11_352_1624	3
1_1382_1523_1624	3
1_35_193_1624	2
1_143_1317_1624	2
1_260_964_1624	11
1_184_1364_1624	1
1_318_912_1624	1
1_215_1073_1624	1
1_846_900_1624	3
1_644_834_983	6
1_705_834_980	1
1_1401_1480_1624	1
1_705_763_1058	1
1_626_699_981	1
1_333_532_983	1
1_681_815_1058	1
1_1353_1411_1624	1
1_969_1281_1624	7
1_141_1307_1624	6
1_1111_1154_1622	1
1_714_834_970	2
1_260_631_983	2
1_72_373_911	2
1_1008_1480_1616	1
1_209_280_1359	1
1_460_1281_1432	1
1_750_1036_1596	1
1_272_807_1624	1
1_986_1154_1624	1
1_576_670_1624	1
1_453_951_983	1
1_199_1364_1624	1
1_711_1210_1352	1
1_141_218_983	1
1_14_373_1603	1
1_439_1036_1464	2
1_1098_1154_1608	2
1_363_545_1624	1
1_55_1171_1624	1
1_141_1301_1624	3
1_664_920_1624	1
1_691_803_983	1
1_664_825_983	7
1_487_960_1365	1
1_297_441_976	1
1_387_523_983	2
1_572_1083_1620	1
1_260_1210_1624	1
1_511_912_1624	2
1_469_970_1288	1
1_776_994_1494	1
1_222_1307_1624	4
1_387_441_983	6
1_626_729_982	1
1_774_827_1608	1
1_589_1139_1624	1
1_1090_1154_1624	4
1_633_816_1607	1
1_973_1245_1593	1
1_309_398_983	1
1_681_1190_1603	1
1_862_935_983	1
1_192_679_1365	1
1_248_352_969	2
1_483_670_712	1
1_491_935_982	1
1_581_635_977	1
1_451_1171_1624	1
1_1343_1396_1624	1
1_19_241_602	1
1_657_818_975	1
1_862_1480_1624	1
1_715_791_1624	1
1_681_1458_1603	1
1_715_831_983	1
1_83_249_1624	1
1_1031_1101_1503	1
1_141_193_1624	2
1_28_74_984	2
1_1072_1154_1624	1
1_428_592_1616	2
1_203_1364_1624	1
1_148_1319_1624	9
1_1058_1154_1624	11
1_975_1281_1624	1
1_742_806_983	1
1_227_316_1624	1
1_364_635_947	1
1_576_706_983	1
1_1024_1103_1624	1
1_157_1307_1624	1
1_409_523_1624	3
1_825_876_983	1
1_460_523_1624	1
1_681_1036_1621	1
1_841_888_976	1
1_62_241_1266	3
1_11_541_983	1
1_898_1319_1624	1
1_418_529_980	1
1_687_1154_1624	1
1_465_565_1624	1
1_311_505_983	1
1_754_807_983	1
