barcode	Count
1_812_894_1625	1
1_1120_1163_1625	605
1_422_492_1625	109
1_1085_1163_1625	31
1_957_1107_1611	1
1_654_1423_1619	1
1_1133_1180_1625	48
1_1133_1177_1625	7
1_1112_1171_1625	15
1_818_929_1625	1
1_1120_1167_1625	13
1_781_1163_1625	12
1_1003_1376_1594	1
1_139_766_1625	4
1_232_882_1123	1
1_373_502_1297	1
1_686_812_1623	1
1_240_333_781	1
1_174_239_1625	8
1_1100_1163_1625	1
1_764_1107_1568	1
1_188_371_1625	1
1_1240_1339_1625	3
1_907_1037_1625	1
1_691_820_1625	1
1_843_904_1625	1
1_20_1138_1623	1
1_753_1363_1625	1
1_180_700_1625	1
1_7_350_768	1
1_312_700_1078	1
1_422_502_1625	16
1_1306_1465_1625	1
1_7_305_1625	1
1_168_329_761	1
1_407_677_1093	1
1_787_867_1625	3
1_759_843_1625	1
1_834_1363_1625	4
1_1112_1158_1625	2
1_609_746_1625	1
1_1120_1169_1625	15
1_1059_1163_1625	1
1_139_230_1625	1
1_232_305_1612	3
1_998_1190_1618	1
1_791_889_1123	5
1_12_539_1625	1
1_714_772_1152	2
1_569_783_1625	1
1_483_543_781	1
1_377_655_1625	1
1_1256_1309_1625	1
1_349_456_1123	1
1_604_655_781	3
1_861_973_1148	1
1_315_393_1625	1
1_422_551_1625	1
1_587_1201_1577	1
1_1128_1175_1625	6
1_312_585_1619	1
1_1019_1107_1625	1
1_78_165_1111	1
1_1133_1169_1625	3
1_534_682_852_917_1325_1423_1597	1
1_1348_1430_1625	4
1_788_854_1625	15
1_1093_1171_1625	5
1_852_1499_1565	1
1_724_1046_1325	1
1_1468_1564_1625	1
1_352_427_1625	1
1_320_447_1123	1
1_272_360_1625	1
1_569_632_1623	1
1_1112_1166_1625	2
1_957_1112_1625	1
1_473_591_1625	1
1_834_1423_1625	1
1_323_427_1123	3
1_1133_1182_1575	4
1_232_394_1625	1
1_95_468_1625	1
1_773_889_1117	1
1_1367_1423_1625	4
1_998_1171_1625	7
1_555_598_787	2
1_1079_1163_1625	1
1_1318_1376_1623	2
1_973_1059_1625	4
1_1112_1161_1612	2
1_422_493_1625	16
1_149_359_1623	1
1_216_350_1625	5
1_1204_1423_1589	3
1_1029_1363_1625	1
1_1308_1455_1625	10
1_146_350_1240_1485_1618	1
1_781_874_1015	1
1_1029_1100_1623	1
1_900_962_1625	1
