junction	Count
76_26481	5481
69_27041	3621
63_28254	886
64_25382	4065
64_28255	36605
2653_26733	1
61_28255	315
66_25382	8248
71_25385	28
67_28259	739
70_28263	4
16482_16792	1
64_26468	13524
67_26479	1
62_26468	6487
61_28250	369
63_27384	1272
81_27058	3
66_27385	17682
27564_28000	1
70_27761	79
69_27674	50
67_25384	706
62_28255	11013
64_28258	235
62_28254	1180
28489_28745	5
66_28258	626
66_26468	937
66_28256	68
63_21552	1005
25004_29312	1
28361_28432	44
28655_28734	1
64_27385	4391
74_28266	115
28783_29063	1
27190_27293	4
65_21552	3203
67_27387	373
68_27386	923
75_28265	4506
72_26477	1134
77_26271	1575
937_28855	1
74_27048	708
75_28267	2006
29390_29744	1
1917_29308	1
26615_26983	1
61_28251	205
3718_29368	1
80_27057	14
1672_29163	1
3660_28898	1
63_26468	885
3651_28890	1
64_25383	155
63_28269	1
63_28255	1176
62_26467	431
28406_29014	2
63_28257	1079
66_27384	96
65_25381	456
69_26237	1115
6953_29261	1
1114_29391	1
2677_29443	2
72_27393	16
66_28255	594
68_25383	235
76_26482	1596
75_26485	225
75_25393	236
67_21553	24
65_27384	1038
831_29441	1
28122_28175	1
68_28258	3074
64_28251	102
75_25389	173
47_27372	6
77_28264	14
58_27379	6
66_26464	6
26784_26821	113
26533_26815	1
28515_28783	1
65_25384	370
28116_28535	1
66_27386	249
83_27407	99
29701_29786	7
69_27761	5
3081_27385	1
29710_29791	62
63_26467	395
70_22502	11
73_26479	147
68_21554	468
68_25491	4
67_21552	225
1216_29390	1
79_28271	22
60_26467	131
46_28243	33
75_27395	945
76_26483	271
68_26471	1102
58_27380	79
75_28268	393
65_25379	23
65_27884	3462
87_25402	4
28363_28427	1
63_21553	99
75_21559	5
76_25394	372
1216_29435	1
73_21559	8
63_26470	499
72_27388	36
74_26479	22
75_28264	246
62_28250	485
83_26488	796
28411_28460	1
86_27909	11
3085_27181	1
1293_29379	1
38_28243	4
54_28248	17
67_25382	63
62_21552	21
27693_27742	2
67_25381	192
72_28259	14
65_28257	919
63_21551	111
28267_28644	1
75_27393	267
75_26244	25
72_28264	621
66_27485	21
27639_27999	1
63_27884	1021
72_21556	11
25438_27013	1
27384_27783	1
3105_29310	2
7206_28856	1
28418_28809	1
85_26278	2
26198_26553	2
22955_23305	1
75_27389	205
68_27886	247
75_27895	347
75_27392	293
76_27394	135
57_26463	159
67_27384	653
72_27392	435
61_28254	402
29341_29733	1
76_25391	271
50_27373	1
80_26487	316
65_26470	373
62_28257	121
64_26467	45
64_27384	284
1088_29343	1
2154_29343	1
2226_28227	1
73_25391	310
26099_26376	1
1430_29403	1
1269_29216	1
2392_2921	1
6649_29300	1
63_25381	610
61_27382	18
27970_28143	1
29231_29354	1
66_25383	209
48_28244	48
735_29000	1
27324_27739	1
27721_28094	2
1760_29251	1
58_28250	30
69_26471	10
26261_26299	3
666_29233	1
28659_28725	1
27258_27719	1
28382_28688	1
71_26469	1
66_26467	66
29263_29619	1
27552_27638	22
1869_28953	1
41_28240	14
28505_28673	45
78_27056	18
69_22559	4
28431_28732	1
28222_28637	1
75_27767	45
27337_27656	1
29143_29525	1
49_27377	4
1988_29213	1
74_26511	1
29410_29659	1
75_26483	336
75_27050	83
65_26472	147
42_29343	1
28850_28964	1
58_21545	9
77_27895	15
23679_25313	1
66_25378	24
73_26269	74
75_27399	7
76_26479	141
28415_28466	3
75_28271	61
67_26468	31
1853_25930	1
65_28254	19
72_26474	131
27680_27754	22
1483_29478	1
6610_29081	1
141_428	1
733_29232	1
65_28262	61
1516_29351	1
63_25382	279
28445_28851	2
65_21553	144
75_25392	144
29053_29461	1
834_28516	1
27827_28047	7
24671_24773	1
50_28247	29
66_21554	58
6955_29330	1
5096_29494	2
6965_7232	1
7540_29479	1
949_29312	1
1089_29168	1
65_28259	241
65_28255	306
67_26472	380
2537_29096	1
62_25378	13
83_27059	2
76_26243	28
28504_28815	2
23786_24101	1
70_26471	5
28489_28650	7
64_28252	120
2726_29367	1
28460_28776	2
27554_27638	2
73_28263	116
28490_28629	1
67_26470	68
65_25382	183
75_27397	98
88_27426	1
61_26466	170
29557_29596	1
77_27760	5
46_28244	70
58_26462	9
65_26468	272
72_27892	47
72_21560	80
6932_29492	1
2080_2440	1
3770_29309	1
70_27041	91
2127_29196	1
72_25389	68
83_26482	44
64_5786	1
6978_29404	2
68_28263	271
3829_28290	1
74_25392	2
1736_29210	1
75_27891	15
28386_28449	1
1067_29197	1
26779_26817	121
1578_27710	1
1607_29392	1
61_26464	8
79_27686	25
2034_29096	1
666_29481	1
1852_29269	10
6761_28728	1
76_25390	64
64_25380	8
63_27383	20
65_27885	71
71_28260	42
75_27051	36
28701_28747	1
1385_27328	1
71_27388	25
6807_28599	1
1853_28382	1
58_26453	2
75_25394	21
83_21562	1
826_29079	2
5062_28848	1
74_28263	9
29047_29383	1
28434_28804	2
29430_29841	1
63_27885	73
1632_29377	1
28518_28577	3
2812_3180	1
3357_26513	1
27190_27222	37
78_27049	67
76_28272	6
1271_29337	1
69_28258	35
59_27381	27
72_28261	148
936_26421	1
1013_28158	1
67_22497	1
75_27896	67
28825_28876	1
27682_27754	43
29005_29082	1
28705_29109	1
53_28245	9
79_27793	21
29409_29752	1
74_27689	1
1087_27445	1
27299_27636	1
67_21555	106
22068_22455	1
25753_26089	1
29173_29457	1
28917_29269	1
67_27388	7
3298_29471	1
23714_24276	1
59_28255	14
66_26469	60
28424_28944	1
1061_29325	2
1215_29420	1
78_27053	49
1608_29520	1
3267_29335	1
26252_26284	135
2948_29266	1
71_26474	53
1314_4882	1
