barcode	Count
49_98_9174_9621	1
100_334_453_628_9076_9487	1
100_476_9001_9510	1
105_153_9229_9622	1
108_113_9189_9621	1
112_210_9139_9621	1
120_482_9170_9622	1
143_148_4522_9626	1
147_572_8262_9616	1
170_476_9172_9622	1
221_555_6948_7139_9432_9576	1
296_308_9181_9495	1
302_334_9247_9471	1
351_555_9275_9531	1
363_368_9181_9612	1
384_552_9064_9621	1
384_408_9181_9593	1
384_396_8869_9590	1
384_396_9181_9621	1
388_421_9366_9621	1
389_396_9200_9450	1
390_396_9226_9622	1
459_743_4913_4962_5390_5463_5960_6044_8369_9621	7
390_435_9366_9591	2
392_399_9181_9600	1
401_446_9223_9575	1
402_552_7534_9622	1
454_743_5976_6171	211
454_743_5976_6044_8369_9622	248
454_743_5954_6044_8369_9622	89
457_743_4913_4962_5390_5463_5777_6044_8369_9622	6
454_743_4913_6171	84
452_743_5390_5463_5954_6044_8369_8797_8863_9622	1
454_743_5390_6171	159
459_743_5980_6171	8
452_740_5388_5703_9093_9621	1
454_743_5390_5463_5954_6044_8369_9621	13
454_743_5960_6044_8369_9622	83
452_1084_5976_6044_8369_9622	1
459_743_4913_4962_5976_6044_8369_9621	33
453_743_4913_5058_5390_5463_5777_6044_8369_9622	3
454_747_5960_6153	4
453_743_5390_5463_5777_6171	2
454_743_5976_6048_8369_9622	9
454_743_4913_6044_8369_9622	7
454_743_5390_5463_5976_6048_8369_9605	2
454_743_4913_4962_5390_5463_5976_6142	3
454_793_8341_9606	1
454_743_4913_4962_5390_6140	11
454_743_5390_5463_5777_6044_8369_9622	8
454_743_5777_6153	15
454_743_5390_5463_5960_6044_8369_9622	25
454_747_5960_6044_8369_9622	10
454_634_9069_9622	2
454_634_8762_9703	1
454_743_4913_5726_5803_6175	1
454_734_5960_6044_8369_9621	1
454_743_5777_6044_8369_9038_9376_9619	1
454_743_4913_4962_5777_6048_8369_9606	1
454_743_4913_4962_5390_5463_5954_6044_8369_9610	9
454_743_5390_5463_5976_6044_8369_9622	85
459_743_5390_5463_5976_6171	26
454_793_8369_9610	1
454_743_5960_9622	13
454_747_5976_6044_8369_9622	4
454_743_5777_6044_8369_9621	41
454_743_5777_6044_8369_9248_9318_9612	1
454_747_5954_6044_8369_9600	1
454_743_5390_5533_5777_6659	1
454_743_8369_9622	8
454_743_4913_4962_5960_6044_8369_9622	4
454_747_4919_5058_5390_5463_5777_6044_8369_9620	1
454_743_5954_6175	8
454_743_5390_6044_8369_9622	10
454_743_4913_4962_5777_6044_8369_9621	29
454_743_4913_4962_5390_5463_5976_6044_8369_9621	13
454_775_6709_6731	1
454_743_4913_5602_5803_6165	1
454_628_6447_6670	1
454_743_4913_4962_5976_6159	7
454_743_5390_5463_5960_9622	4
454_743_4913_4962_5960_6171	2
454_743_5390_5437_5960_6167	1
454_743_5936_6044_8369_9622	10
454_743_5976_6044_8369_8423_8475_9585	1
454_743_4913_4962_5936_6083	1
454_747_4913_4962_5777_6044_8369_9608	1
454_743_4913_4973_5992_6044_8369_9612	1
454_743_5936_6641	1
454_743_5954_6044_8369_8831_8884_9479	1
454_747_5976_6653	4
454_743_4913_4962_5390_5463_5960_6282	2
454_708_5803_6044_8369_9605	1
454_743_5777_7327_8401_9602	1
454_743_5976_6321_6372_9622	1
454_743_4919_4962_5390_5463_5777_6044_8369_9569	1
459_743_4913_4962_5777_6153	5
454_743_4994_6651	1
454_743_4913_4962_5390_6044_8369_9621	2
