5prime_site	Count
11950	1
140444	8
66435	6
143340	1
24200	1
24783	4
140403	6
140389	4
144122	43
1007	1
10974	2
11877	1
23031	3
1764	1
117589	1
1511	1
2424	1
2406	2
2188	1
3083	15
1709	1
2446	1
2444	1
2432	3
5013	1
120261	1
143244	14
2419	1
108010	1
4814	1
2416	4
5595	1
2412	1
2436	1
2438	1
123585	2
5291	1
5555	1
5010	1
5009	1
3069	1
90842	1
3070	1
123481	1
144106	5
4891	2
5227	1
4761	1
5028	1
66364	24
5018	1
24847	1
53744	1
5343	1
23605	1
18440	1
5520	1
70491	22
122207	2
51880	1
4686	1
4909	1
24851	1
25436	1
5022	2
25299	1
24785	3
5011	1
5541	1
66420	1
5439	1
5454	4
5544	1
5563	1
5545	1
120894	1
6908	1
70536	12
5351	1
6194	1
144121	4
22945	1
30147	2
6912	1
5276	1
120733	1
120709	1
5457	2
120895	1
120916	1
121095	2
120870	3
5522	1
121216	1
121275	1
7144	1
5423	1
94091	1
52996	1
103515	1
144125	16
123183	1
124058	1
31382	1
6816	1
140470	1
11738	1
11883	1
11886	1
11733	1
9821	2
7754	1
8570	1
8107	3
136601	2
8307	1
8131	1
103153	4
7896	1
8535	1
7978	1
144298	6
118125	2
8080	3
118135	2
118397	2
8325	3
128920	1
8406	1
8106	1
8326	2
8054	1
8334	1
118614	1
118482	2
8564	1
8575	1
9426	1
118076	1
118073	1
8146	1
8055	1
23029	2
9210	1
118304	1
143274	4
91102	1
10847	1
117844	1
10196	1
24009	1
140411	5
117912	1
140768	1
11660	1
50406	1
69728	1
144312	1
11443	1
23327	1
70986	2
71699	4
24807	1
10802	2
11006	1
9408	1
89769	1
9831	1
9972	1
9446	1
9613	1
10807	1
11271	1
10938	1
140190	1
10634	2
10751	2
70814	3
11691	2
10248	1
9539	1
9839	1
144723	1
145861	643
140613	2
10024	1
9815	1
103514	25
14317	3
26636	1
10109	1
10216	1
51352	1
31152	1
10744	1
10804	1
10381	1
10148	1
133406	3
10147	1
10401	1
11097	3
11285	2
23835	1
115081	1
10668	1
132099	2
132519	313
10624	1
11178	10
10658	1
10727	1
70993	1
91684	1
10590	1
11596	6
11573	1
10577	1
136810	1
14327	1
112975	1
114526	1
25698	1
14268	4
11032	1
138281	2
53011	5
66377	1
11681	1
57164	1
136732	1
11409	5
26748	2
46607	2
26536	1
11173	4
11180	6
24102	1
51552	1
11545	2
11346	1
11638	1
11439	1
70595	6
11709	2
24575	2
11674	1
11615	1
43822	1
69320	1
11244	1
11676	1
11206	1
71787	3
144124	12
20551	1
11672	1
11334	1
132301	1
11704	1
11629	4
11584	1
