junction	Count
76_26481	5427
69_27041	3600
63_28254	885
64_25382	4003
64_28255	36597
2653_26733	1
61_28255	315
66_25382	8130
67_28259	738
70_28263	4
16482_16792	1
64_26468	13380
62_26468	6399
61_28250	369
63_27384	1262
81_27058	3
66_27385	17598
27564_28000	1
70_27761	79
69_27674	50
67_25384	697
62_28255	11009
64_28258	235
62_28254	1180
28489_28745	4
66_28258	626
66_26468	928
66_28256	68
63_21552	950
25004_29312	1
28361_28432	23
28655_28734	1
64_27385	4363
74_28266	115
28783_29063	1
27190_27293	3
65_21552	3052
67_27387	370
68_27386	919
75_28265	4504
72_26477	1118
77_26271	1549
937_28855	1
74_27048	703
75_28267	2006
29390_29744	1
1917_29308	1
26615_26983	1
61_28251	204
3718_29368	1
80_27057	14
1672_29163	1
3660_28898	1
63_26468	868
3651_28890	1
64_25383	154
63_28269	1
63_28255	1175
62_26467	422
28406_29014	2
63_28257	1079
65_25381	448
69_26237	1102
6953_29261	1
1114_29391	1
2677_29443	1
72_27393	16
66_28255	594
68_25383	233
76_26482	1571
71_25385	26
75_26485	223
75_25393	231
67_21553	23
65_27384	1030
831_29441	1
28122_28175	1
68_28258	3074
64_28251	102
75_25389	171
77_28264	14
58_27379	6
66_26464	6
26784_26821	54
26533_26815	1
28515_28783	1
65_25384	359
28116_28535	1
66_27386	249
83_27407	98
29701_29786	4
69_27761	5
3081_27385	1
29710_29791	28
63_26467	389
70_22502	11
73_26479	144
68_21554	450
68_25491	4
67_21552	215
1216_29390	1
79_28271	22
60_26467	130
75_27395	943
76_26483	270
68_26471	1093
58_27380	79
75_28268	393
65_25379	22
65_27884	3453
87_25402	3
28363_28427	1
63_21553	94
75_21559	5
76_25394	365
1216_29435	1
73_21559	8
63_26470	492
72_27388	35
74_26479	21
75_28264	246
62_28250	484
83_26488	788
28411_28460	1
86_27909	11
3085_27181	1
1293_29379	1
54_28248	17
67_25382	61
62_21552	20
27693_27742	2
67_25381	190
72_28259	14
65_28257	919
63_21551	102
28267_28644	1
75_27393	266
75_26244	25
72_28264	621
66_27485	21
27639_27999	1
63_27884	1020
72_21556	10
25438_27013	1
27384_27783	1
3105_29310	1
7206_28856	1
28418_28809	1
