junction	Count
98_9174	1
275_9030	1
334_9175	1
201_9277	1
368_9355	1
396_9076	1
497_9272	1
396_9216	1
476_9345	1
448_9181	1
543_9175	1
743_4913	101
4962_5777	10
747_5795	1
6044_8369	282
740_4911	1
743_5390	93
743_5777	20
743_5976	179
4962_5954	3
665_780	1
765_5949	1
6783_8267	1
743_5954	38
530_592	1
4962_5976	21
747_4919	6
4962_5960	2
743_5936	5
4962_5390	32
747_5960	5
747_5777	3
743_5960	28
888_2295	1
5463_5976	56
9163_9223	1
5463_5960	8
6048_8369	5
8736_8813	1
6075_8386	1
617_9069	1
5463_5777	8
747_5390	1
5463_5936	2
5463_5954	11
743_5980	3
555_650	1
743_5983	1
643_801	1
6051_8389	1
5533_5578	1
747_4922	2
6044_8379	1
617_695	1
6044_8389	2
729_5390	1
5953_8440	1
4962_5917	1
6075_6134	1
8679_9043	1
6029_8369	1
7960_8134	1
5463_8341	1
743_8369	1
747_5976	1
9388_9487	1
5058_5390	1
5058_5976	1
6644_6731	1
665_770	1
747_5992	1
690_5983	1
7069_7185	1
634_9074	1
628_9076	1
747_830	1
812_9064	1
1844_13643	1
1290_1397	1
899_9444	1
1120_8706	1
1725_1783	1
1590_1655	1
1043_1117	1
1048_1138	1
1048_1094	1
1852_4570	1
2065_2126	1
1414_1495	1
1369_1893	1
1552_1649	1
1336_1817	1
2597_3806	1
1650_4011	1
1352_1868	1
2099_2875	1
1673_1817	1
1725_5201	1
8123_9188	1
1777_1874	1
1608_1868	1
1688_1870	1
1539_1874	1
1783_1856	1
2144_2199	1
2218_2332	1
3905_4630	1
3240_3877	1
2900_2978	1
4535_7490	1
2935_3553	1
3924_4604	1
3338_3421	1
6647_6731	1
3571_4567	1
4447_9030	1
4356_4416	1
4395_4472	2
3787_4024	1
3760_3975	1
6520_6565	1
3798_4167	1
4415_6693	1
3826_4641	1
3998_4075	1
4154_4220	1
4120_5495	1
4565_4707	1
5908_5960	1
4551_4849	1
4565_4641	1
4534_4631	1
5419_5515	1
5804_5855	1
4766_4849	1
5954_6044	1
7570_8029	1
5966_6028	1
5782_5873	1
7415_7471	1
5934_6019	1
5688_6200	1
5708_6015	1
5782_9451	1
6402_6749	1
5838_6019	1
5966_6056	1
5858_6013	1
5857_6134	1
6333_6373	1
6988_7074	1
7471_8258	1
6249_6706	1
6835_6880	1
7567_8029	1
6504_6626	1
6442_6824	1
6452_6924	1
6783_6839	1
9388_9438	1
8084_8500	1
7562_7711	1
8953_9132	1
7305_7420	1
7391_7680	1
7214_7704	1
8811_8863	1
7655_9322	1
8110_9318	1
8229_8307	1
9150_9528	1
7879_7938	1
8919_9017	1
9242_9322	1
8729_8811	1
8826_9196	1
8423_8500	1
8392_8460	1
8094_9285	1
8290_8694	1
8312_8375	1
9242_9318	1
8669_9545	1
9038_9082	1
8894_9295	1
9094_9181	1
8681_8741	1
8681_9461	1
8779_9054	1
8831_8899	1
9388_9581	1
