3prime_site	Count
148	3603
94	17
791	7
289	20
1382	28
591	2
996	2
462	2
610	185
751	6
209	7
460	32
976	2
387	15
969	13
305	12
469	2
1002	9
260	47
1075	5
744	7
514	3
232	5
536	13
752	1
190	2
852	4
300	1
708	3
821	1
991	21
477	4
664	19
503	2
782	1
1095	2
1058	15
35	15
825	7
333	2
440	6
967	1
581	9
645	18
1089	37
141	30
997	4
280	1
711	5
325	7
237	1
350	2
1044	8
208	2
684	3
439	10
715	10
397	3
1059	16
132	8
1080	13
130	1
311	5
165	4
994	4
272	4
623	1
990	9
983	1
199	2
1497	2
1342	1
11	23
143	10
1351	2
546	8
981	1
184	11
318	2
215	9
846	3
644	8
705	3
1401	1
626	10
681	8
1353	3
1111	4
714	2
72	11
1008	1
750	1
986	1
576	8
453	5
14	5
1098	2
363	2
55	8
691	9
487	1
297	1
572	5
511	4
776	4
222	9
774	2
589	5
1090	4
633	11
973	2
309	7
862	4
192	1
248	10
483	1
491	2
451	2
1343	1
19	5
657	2
83	2
1031	9
28	4
1072	1
428	3
203	2
975	4
742	8
227	2
364	2
1024	1
157	3
409	6
841	1
62	13
898	11
418	9
687	2
465	11
754	1
900	7
341	2
1077	1
594	4
1134	14
851	1
156	2
761	1
24	7
560	8
865	2
360	4
595	1
454	2
284	1
1333	1
228	7
1108	3
956	1
1299	5
1079	9
224	4
443	1
828	6
137	3
599	1
881	1
835	1
1007	1
1074	1
160	5
871	4
570	3
507	3
402	4
649	1
194	2
1004	2
1368	3
177	10
140	2
727	10
718	1
218	3
1291	1
755	2
1201	1
274	3
357	1
679	9
603	3
446	2
475	3
1288	1
265	1
1471	1
50	1
32	1
829	1
915	2
385	3
944	6
1218	1
117	11
159	2
105	5
501	4
670	6
654	2
43	2
214	5
495	4
320	2
555	1
1149	5
142	6
167	2
447	4
984	3
279	3
262	7
747	2
1082	1
722	2
669	2
531	3
612	3
330	11
191	1
1310	3
1175	3
980	4
78	1
717	3
615	2
136	3
1332	1
933	2
298	2
225	4
29	2
619	2
1022	1
635	2
234	6
1060	1
1257	4
521	3
888	1
764	4
807	2
504	1
485	1
785	1
1337	1
1457	1
564	4
899	1
150	1
736	4
366	2
1232	3
827	1
1506	1
1212	1
144	4
1331	1
643	1
1426	1
756	1
650	1
479	1
1155	2
1292	2
121	1
592	1
982	1
375	1
1324	1
449	1
354	1
282	2
652	1
125	2
155	1
951	1
290	1
339	1
707	1
989	2
1071	1
268	1
777	2
1106	1
405	1
972	1
866	1
510	3
965	1
51	1
441	1
737	1
1447	2
103	1
573	2
1158	1
779	1
1427	1
128	1
979	3
1241	1
207	1
77	1
114	1
84	1
580	1
188	1
196	1
481	1
836	2
1014	1
1093	1
1358	1
978	1
513	1
1524	1
47	1
571	1
1088	2
698	1
240	1
1016	1
789	1
59	2
1011	1
480	1
379	1
195	1
902	1
1425	1
239	1
1010	2
134	1
129	1
843	1
500	1
149	1
206	1
542	1
1394	1
1430	1
749	1
1083	1
1293	1
993	1
1275	1
1199	1
