junction	Count
41_8982	1
103_454	1
743_5976	723
6044_8369	1248
8919_9175	1
167_9069	1
98_9174	1
543_8187	1
118_9194	1
118_9393	1
167_9247	1
210_9285	1
516_6363	1
368_9196	1
389_9181	1
396_9175	1
414_9196	1
446_9283	1
412_9247	1
747_5059	1
747_5960	29
743_4913	454
4962_5976	68
743_5960	113
743_5954	119
4962_5777	63
4962_5390	137
5463_5777	47
747_4913	8
4962_5954	6
743_5390	455
5463_5976	231
5463_5954	38
5463_5960	44
6044_9219	1
743_8369	15
743_5777	85
4962_5960	10
743_8345	2
6051_8369	6
747_5390	3
4962_5992	1
6044_8415	1
743_5980	16
5058_5390	10
6044_8401	2
6044_8379	1
5463_5992	3
6044_9162	2
829_8205	1
634_9073	2
628_9069	1
5463_5980	5
747_4919	10
8502_8578	1
958_9331	1
8035_8113	1
5058_5777	10
793_8369	1
474_5629	1
5076_5417	1
9435_9494	1
747_4945	1
9323_9437	1
747_5992	5
5463_5936	5
5437_5686	1
743_5936	19
6048_8369	18
5477_6000	1
4962_5403	1
6044_8345	4
8355_8598	1
6044_8363	1
4973_5960	1
5463_5948	1
747_5976	5
634_9069	6
5454_5943	1
5789_8415	1
743_5983	1
6048_8345	1
552_617	1
5126_5234	1
8811_8971	1
6214_8884	1
583_695	1
8873_8935	1
8873_9033	1
9365_9415	1
690_8773	1
646_5468	1
732_5954	1
4962_5942	1
747_5403	1
8642_8698	1
743_5468	1
747_8401	1
7021_7076	1
5513_8369	1
743_9275	1
5437_5960	1
5463_5951	1
5067_9082	1
6027_8369	1
8949_9050	1
6044_8341	2
6249_6376	1
8502_8618	1
4973_5992	1
8707_8778	1
743_4922	1
740_4911	2
8797_8849	1
4976_8328	2
5565_5629	1
743_5992	3
705_8319	1
743_4994	1
743_9175	1
615_6585	1
747_5777	3
6214_9426	1
4962_5980	1
3120_3172	1
9264_9318	1
9221_9331	1
743_4919	7
6051_8415	1
8919_9023	1
743_6089	1
673_6134	1
6237_6286	1
747_4930	1
747_9480	1
634_9074	1
4962_5936	2
8949_9006	2
552_9451	1
694_8515	1
9287_9376	1
4962_5382	1
5067_5390	1
793_8446	1
5058_5976	2
743_8328	1
8919_9104	1
5455_5976	1
747_8341	1
8919_8962	1
6800_6848	1
7666_8976	1
8797_8911	1
747_5817	1
7041_7092	1
793_5592	1
8502_8554	1
740_5977	1
7567_8029	1
9212_9275	1
634_9247	1
6044_8515	1
9182_9247	1
740_8375	1
732_5976	1
5435_5777	1
5463_8369	1
765_9076	1
9052_9223	1
6237_6333	1
8541_9188	1
9242_9322	1
705_4911	1
747_5417	1
9012_9467	1
747_9355	1
747_4922	1
734_6216	1
634_9064	1
705_4955	1
634_5426	1
6664_8172	1
665_5377	1
743_5744	1
5993_8446	1
534_6119	1
793_8345	1
705_5949	1
7799_8032	1
6147_6216	1
634_5468	1
634_5390	1
728_8440	1
8463_8618	1
743_6019	1
743_5453	1
765_5371	1
527_5515	1
6029_8369	1
683_8415	1
665_5390	1
1090_5755	1
