barcode	Count
12_76_26481_29870	5123
12_69_27041_29870	3447
12_63_28254_29870	864
12_64_25382_29870	3695
12_64_28255_29870	35907
2_2653_26733_29872	1
12_61_28255_29870	307
12_66_25382_29870	7566
12_67_28259_29870	727
12_70_28263_29792	4
2_16482_16792_29862	1
12_64_26468_29870	12673
12_62_26468_29870	6017
12_61_28250_29870	362
12_63_27384_29870	1219
12_81_27058_29872	3
12_66_27385_29870	16942
4_62_26468_27564_28000_29872	1
12_70_27761_29870	76
12_69_27674_29875	48
12_67_25384_29870	657
12_62_28255_29870	10791
12_64_28258_29873	234
5_62_28254_28489_28745_29864	1
12_66_28258_29870	609
12_66_26468_29870	876
12_66_28256_29870	68
5_63_21552_25004_29312_29870	1
5_66_27385_28361_28432_28655_28734_29871	1
12_64_27385_29870	4195
12_74_28266_29870	114
5_66_25382_28783_29063_29872	1
5_66_25382_27190_27293_29875	2
12_65_21552_29870	2653
12_67_27387_29870	365
12_68_27386_29870	886
12_75_28265_29870	4413
12_72_26477_29870	1065
12_77_26271_29870	1461
6_937_28855_29877	1
12_74_27048_29870	676
12_75_28267_29870	1963
6_64_28255_29390_29744_29873	1
6_1917_29308_29881	1
6_76_26481_26615_26983_29870	1
12_61_28251_29870	199
7_3718_29368_29877	1
12_80_27057_29872	14
8_1672_29163_29874	1
8_3660_28898_29783	1
12_63_26468_29870	832
8_3651_28890_29873	1
12_64_25383_29873	145
8_63_28269_29873	1
12_63_28255_29870	1149
12_62_26467_29870	394
8_66_25382_28406_29014_29870	1
12_63_28257_29870	1062
12_65_25381_29870	407
12_63_21552_29870	825
12_69_26237_29870	1046
9_6953_29261_29873	1
9_1114_29391_29870	1
9_2677_29443_29874	1
12_72_27393_29875	14
12_66_28255_29870	584
12_68_25383_29870	221
12_76_26482_29870	1471
12_71_25385_29870	25
12_75_26485_29870	209
12_75_25393_29870	217
12_67_21553_29874	20
12_65_27384_29870	977
10_831_29441_29768	1
10_64_25382_28122_28175_29874	1
12_68_28258_29870	3017
12_64_28251_29870	100
12_75_25389_29870	158
12_77_28264_29873	14
12_58_27379_29870	6
10_66_26464_26784_26821_29870	1
10_65_25381_26533_26815_28515_28783_29869	1
10_65_25384_28116_28535_29874	1
12_66_27386_29870	240
12_83_27407_29870	90
10_66_27385_29701_29786_29874	1
12_69_27761_29875	5
10_3081_27385_29870	1
12_64_28255_29710_29791_29874	4
12_63_26467_29870	366
12_70_22502_29870	11
12_73_26479_29870	136
12_68_21554_29870	400
10_68_25491_29855	2
12_67_21552_29870	191
10_1216_29390_29872	1
12_79_28271_29872	22
12_60_26467_29870	121
12_75_27395_29870	905
12_76_26483_29870	251
12_68_26471_29870	1037
12_58_27380_29873	79
12_75_28268_29870	389
12_65_25379_29877	20
12_65_27884_29870	3371
10_87_25402_28363_28427_29874	1
12_63_21553_29873	85
12_75_21559_29875	5
12_76_25394_29870	328
10_1216_29435_29877	1
12_73_21559_29870	8
12_63_26470_29870	462
12_72_27388_29870	35
12_74_26479_29873	20
12_65_25384_29870	325
12_75_28264_29870	242
12_62_28250_29870	478
12_83_26488_29870	751
11_64_28255_28411_28460_29878	1
12_86_27909_29870	11
11_3085_27181_29870	1
11_1293_29379_29870	1
12_54_28248_29870	16
12_67_25382_29870	55
11_62_21552_27693_27742_29867	1
12_67_25381_29870	175
12_72_28259_29870	14
12_65_28257_29870	905
12_63_21551_29870	94
11_69_27041_28267_28644_29870	1
12_62_28254_29870	1142
12_75_27393_29870	251
12_75_26244_29870	22
12_72_28264_29870	607
12_66_27485_29870	20
11_68_21554_27639_27999_29870	1
12_63_27884_29870	995
11_72_21556_25438_27013_27384_27783_29875	1
11_3105_29310_29875	1
11_7206_28856_29875	1
11_62_28255_28418_28809_29882	1
11_85_26278_29873	2
11_64_25382_26198_26553_29872	1
11_65_21552_22955_23305_29873	1
12_75_27389_29870	192
12_68_27886_29870	242
12_75_27895_29870	338
12_75_27392_29870	282
12_76_27394_29870	128
12_57_26463_29870	148
12_67_27384_29870	624
12_72_27392_29870	420
11_61_28254_29341_29733_29876	1
12_80_26487_29870	298
12_65_26470_29870	355
12_62_28257_29873	119
12_64_26467_29870	44
12_64_27384_29870	271
11_1088_29343_29873	1
11_2154_29343_29881	1
11_2226_28227_29872	1
12_73_25391_29870	279
11_66_25382_26099_26376_29875	1
11_1430_29403_29873	1
11_1269_29216_29877	1
11_2392_2921_6649_29300_29873	1
12_63_25381_29870	552
12_61_27382_29870	18
11_65_21552_27970_28143_29231_29354_29870	1
12_66_25383_29870	193
11_735_29000_29877	1
11_60_26467_27324_27739_29874	1
11_64_26468_27721_28094_29870	1
11_1760_29251_29870	1
12_58_28250_29870	30
12_69_26471_29875	10
11_65_21552_26261_26299_29870	1
11_666_29233_29873	1
11_62_28255_28659_28725_29875	1
11_63_21552_27258_27719_29881	1
11_65_21552_28382_28688_29874	1
11_71_26469_29875	1
11_64_27385_29263_29619_29872	1
11_64_26468_27552_27638_29872	1
11_1869_28953_29874	1
11_75_27395_28505_28673_29872	1
12_78_27056_29870	18
12_69_22559_29870	4
11_77_26271_28431_28732_29873	1
11_75_26485_28222_28637_29871	1
12_75_27767_29872	43
11_62_26468_27337_27656_29873	1
11_62_26468_29143_29525_29873	1
11_1988_29213_29877	1
11_74_26511_29410_29659_29874	1
12_75_26483_29870	316
12_75_27050_29870	81
12_65_26472_29870	137
11_62_26468_28850_28964_29878	1
12_58_21545_29873	7
12_77_27895_29874	14
11_65_21552_23679_25313_29873	1
12_66_25378_29870	24
12_73_26269_29870	72
12_75_27399_29872	7
11_76_26479_28415_28466_29872	1
12_75_28271_29870	60
12_67_26468_29870	30
11_1853_25930_29870	1
12_65_28254_29872	18
11_72_26474_27680_27754_29877	1
11_1483_29478_29872	1
11_6610_29081_29872	1
11_141_428_733_29232_29872	1
12_65_28262_29870	58
11_1516_29351_29875	1
12_63_25382_29870	264
11_64_26468_28445_28851_29870	1
12_65_21553_29873	120
12_75_25392_29870	134
11_62_26468_29053_29461_29877	1
11_834_28516_29872	1
11_62_26468_27827_28047_29874	2
11_65_21552_24671_24773_29883	1
12_66_21554_29870	49
11_6955_29330_29873	1
11_5096_29494_29875	1
11_6965_7232_7540_29479_29870	1
11_949_29312_29873	1
11_1089_29168_29878	1
12_65_28259_29870	238
12_65_28255_29870	304
12_67_26472_29870	351
11_2537_29096_29873	1
12_62_25378_29870	10
11_83_27059_29875	2
12_76_26243_29870	27
11_63_26468_28504_28815_29884	1
11_68_21554_23786_24101_29873	1
12_70_26471_29873	3
11_66_27385_28489_28650_29870	2
12_64_28252_29870	116
11_2726_29367_29870	1
11_66_27385_28460_28776_29876	1
11_66_27385_27554_27638_29876	1
12_73_28263_29870	113
11_64_28255_28490_28629_29654	1
12_67_26470_29870	64
12_65_25382_29870	170
11_69_27041_29710_29791_29872	2
12_75_27397_29870	94
12_61_26466_29870	157
11_64_27385_29557_29596_29871	1
12_77_27760_29870	5
12_58_26462_29870	9
12_65_26468_29870	253
12_72_27892_29870	47
12_72_26474_29870	121
12_72_21560_29873	70
11_6932_29492_29872	1
11_2080_2440_3770_29309_29874	1
12_70_27041_29870	89
11_2127_29196_29875	1
12_72_25389_29870	61
12_83_26482_29870	42
11_64_5786_6978_29404_29877	1
12_68_28263_29870	264
11_3829_28290_29837	1
11_74_25392_29875	2
11_1736_29210_29870	1
12_75_27891_29874	14
11_68_26471_28386_28449_29872	1
11_1067_29197_29881	1
12_64_26468_26779_26817_29876	7
12_61_28254_29870	394
11_1578_27710_29870	1
11_1607_29392_29870	1
12_61_26464_29870	8
12_79_27686_29870	23
11_2034_29096_29872	1
11_666_29481_29872	1
12_1852_29269_29873	7
11_6761_28728_29882	1
12_76_25390_29870	57
12_64_25380_29875	7
12_63_27383_29871	20
12_65_27885_29870	70
12_71_28260_29875	39
12_75_27051_29873	35
11_63_27384_28701_28747_29870	1
11_1385_27328_29871	1
12_71_27388_29870	24
11_6807_28599_29870	1
11_1853_28382_29873	1
11_58_26453_29873	2
12_75_25394_29873	18
11_83_21562_29871	1
11_826_29079_29874	2
11_5062_28848_29870	1
12_74_28263_29875	9
11_66_25382_29047_29383_29877	1
11_75_28265_28434_28804_29873	1
11_66_25382_29430_29841_29874	1
12_63_27885_29873	71
11_1632_29377_29876	1
11_66_27385_28518_28577_29881	1
11_2812_3180_3357_26513_27190_27222_29870	1
12_78_27049_29870	62
12_76_28272_29871	6
11_1271_29337_29873	1
12_69_28258_29870	32
12_76_25391_29870	250
12_59_27381_29875	26
12_72_28261_29870	145
11_936_26421_29880	1
11_66_26464_29870	4
11_1013_28158_29870	1
11_67_22497_29873	1
12_75_27896_29870	65
11_64_28255_28825_28876_29874	1
11_62_26468_27682_27754_29870	1
11_69_27041_29005_29082_29875	1
11_64_26468_28705_29109_29870	1
11_79_27793_29409_29752_29870	1
11_74_27689_29881	1
11_1087_27445_29872	1
11_62_26468_27299_27636_29874	1
11_67_21555_22068_22455_25753_26089_29173_29457_29864	1
11_60_26467_28917_29269_29876	1
12_67_27388_29873	7
11_3298_29471_29870	1
11_63_21552_23714_24276_29877	1
12_59_28255_29873	14
12_66_26469_29870	56
11_64_26468_27552_27638_28424_28944_29870	1
11_1061_29325_29875	2
11_1215_29420_29873	1
12_78_27053_29870	46
11_1608_29520_29873	1
11_3267_29335_29870	1
12_65_21552_26252_26284_29875	6
11_2948_29266_29873	1
12_71_26474_29870	49
11_1314_4882_6653_7958_8842_26666_29870	1
12_74_25391_29873	18
12_89_27810_29876	4
12_61_28253_29870	237
12_72_27389_29870	113
12_1770_5530_7490_29346_29871	1
12_1036_29360_29870	1
12_1853_29165_29875	2
12_61_27482_29875	5
12_65_27387_29870	153
12_76_27893_29874	11
12_62_26468_26775_26818_29868	2
12_66_26471_29870	316
12_80_26486_29877	5
12_64_26468_26772_26830_29872	1
12_67_28257_29873	133
12_1672_29235_29864	1
12_5261_29490_29876	1
12_6685_28468_29873	1
12_72_28262_29870	39
12_76_26479_29873	130
12_63_27038_29870	2
12_78_28268_29869	2
12_66_26467_29870	62
12_77_27395_29875	68
12_80_27055_29870	61
12_77_26271_26320_27326_29870	1
12_64_27039_29870	40
12_76_27400_29871	3
12_77_25391_29870	61
12_1946_29491_29882	1
12_83_28970_29872	4
12_1063_29329_29873	1
12_4366_4485_6606_28406_29879	1
12_1458_28716_29872	1
12_8712_23965_29875	1
12_1924_28408_29870	1
12_62_27884_29872	32
12_72_27390_29870	21
12_6943_29084_29870	1
12_83_27904_29871	6
12_2929_28216_29873	1
12_77_25394_29870	69
12_77_28272_29870	29
12_3032_29082_29873	1
12_1666_28299_29870	1
12_58_26481_29870	1
12_64_26468_26786_26821_29870	12
12_71_27889_29875	7
12_67_27042_29872	4
12_79_25391_29875	13
12_64_27381_29870	2
12_62_21552_29874	14
12_67_21555_29873	89
12_76_26481_28271_29175_29870	1
12_66_27385_28970_29081_29867	1
12_85_27056_29875	1
12_1238_29475_29879	1
12_2210_28954_29870	1
12_20433_21743_29870	1
12_4838_26831_29873	1
12_76_27892_29872	15
12_1906_29173_29870	1
12_85_26289_29871	1
12_73_26077_29875	3
12_66_27384_29870	90
12_62_27383_29875	28
12_77_27053_29870	18
12_74_27049_27552_27638_29863	1
12_1850_28832_29877	1
12_81_26486_29870	159
12_66_27037_29478	1
12_82_26491_29870	1
12_68_27041_29870	101
12_66_27385_28525_28577_29870	9
12_66_27385_28281_29145_29872	2
12_3699_29338_29874	1
12_6282_26783_29874	1
12_769_28202_29870	1
12_65_21552_23687_23838_29883	1
12_95_27421_29870	1
12_69_28263_29870	105
12_80_27058_29870	98
12_1371_29471_29870	1
12_76_25387_29874	2
12_83_27791_29872	6
12_57_28252_29870	79
12_66_27383_29870	24
12_70_26486_29870	1
12_1516_29350_29873	2
12_98_26504_29870	2
12_61_28252_29873	118
12_6852_29493_29873	1
12_6653_29494_29875	1
12_6797_29095_29877	1
12_62_27384_29870	284
12_1267_27758_29880	1
12_1114_28381_29874	1
12_75_27045_29871	16
12_59_26468_29870	23
12_78_26271_27403_27464_29870	1
12_1963_29316_29877	1
12_71_25424_29879	4
12_6809_28693_29873	2
12_72_21558_29872	6
12_1270_29417_29874	1
12_70_22945_29870	7
12_77_25389_29875	8
12_76_26481_29292_29410_29870	1
12_3813_28602_29869	1
12_61_27880_29872	5
12_73_27043_29870	1
12_4021_29268_29870	1
12_6928_28535_29873	1
12_63_26477_28362_29315_29874	1
12_66_27385_27577_27646_29873	2
12_64_25382_28524_28575_29870	1
12_1039_28749_29875	1
12_71_3819_4611_28574_29870	1
12_1382_29518_29873	1
12_64_28255_29016_29309_29875	1
12_87_28279_29867	1
12_71_26482_29870	1
12_64_28251_28464_28729_29875	1
12_4002_29326_29870	1
12_72_28256_29872	1
12_926_29232_29869	1
12_1816_29273_29873	1
12_60_28248_29870	75
12_64_27386_29870	73
12_1125_28753_29872	1
12_66_25382_28491_28646_29662_29840_29870	1
12_1009_28693_29872	1
12_68_26469_29870	16
12_72_28268_29873	12
12_1616_29470_29872	1
12_72_27889_29870	18
12_1864_29016_29870	1
12_62_26468_28691_28733_29877	1
12_63_25382_27682_27755_29877	1
12_76_26270_29870	116
12_939_29447_29873	2
12_55_28247_29870	14
12_76_26482_27682_27756_29872	1
12_76_27398_29874	3
12_76_26271_29870	54
12_915_28215_29872	1
12_64_28255_29339_29390_29882	1
12_66_27385_27773_29290_29873	1
12_77_25391_27790_27861_29871	1
12_64_26468_27554_27647_29875	5
14_1853_28601_29875	3
12_74_27048_28743_28809_29874	1
12_58_26473_29873	1
12_1571_29465_29870	1
12_75_27396_29870	268
12_62_26468_28008_28063_29870	1
12_70_27390_29870	1
12_2018_29082_29879	1
12_75_27893_29870	63
12_63_27883_29870	78
12_1309_27172_27794_29196_29870	1
12_1290_28976_29875	1
12_2369_26409_29875	1
12_66_21552_29870	32
12_76_21563_26786_26821_29884	1
12_63_21551_22673_28914_29874	1
12_1268_29222_29872	1
12_1483_29070_29874	1
12_6914_29475_29873	1
12_1363_29406_29870	1
12_1514_29306_29870	1
12_1387_29400_29875	1
12_71_21556_29873	7
12_75_26486_29870	132
12_67_27885_29870	20
12_64_25382_27385_27946_29874	1
12_2782_29442_29873	1
12_65_27043_29872	11
12_541_28208_29877	1
12_62_26468_26935_27017_29873	1
12_1454_29326_29879	1
12_2208_29515_29873	1
12_67_27884_29870	167
12_76_26481_27693_29283_29880	1
12_76_27393_29870	81
12_3431_29481_29871	1
12_71_27389_29870	52
12_1488_29143_29874	1
12_4590_29515_29873	1
12_73_28266_29870	106
12_72_28269_29874	3
12_76_27766_29870	23
12_76_26485_28722_28891_29874	1
12_759_28231_29870	7
12_77_26243_29870	10
12_76_27394_27765_29193_29872	1
12_1036_29305_29874	1
12_73_25388_29875	51
12_4988_26503_29886	1
12_76_27397_29872	12
12_69_27041_28749_28909_29877	1
12_64_26469_29873	35
12_5903_28933_29870	1
12_1394_29354_29870	1
12_65_27383_29870	16
12_64_26468_27705_28491_29874	1
12_64_26468_28361_28432_29870	3
12_1672_28293_29872	1
12_851_29152_29872	1
12_80_25396_26256_26289_29871	1
12_6752_28219_29875	1
12_3946_27407_29870	1
12_2163_27830_28186_29317_29871	1
12_75_27391_29870	60
12_63_25378_29870	37
12_78_27395_29870	35
12_1098_29480_29872	1
12_1853_27671_29876	1
12_4069_27552_29875	1
12_75_26511_29875	4
12_75_28273_29873	17
12_2857_29079_29885	1
12_5982_29083_29871	1
12_3677_27638_29875	1
12_66_26468_28597_28718_29870	1
12_1955_28256_29876	1
12_63_25380_27266_27301_29873	1
12_80_26502_29870	1
12_75_26241_29875	14
12_77_26271_27572_27623_29882	1
12_1828_29513_29878	1
12_63_28279_29873	1
12_2200_29380_29870	1
12_1234_28056_29877	1
12_7314_28497_29870	1
12_68_27383_29873	3
12_79_27397_29873	22
12_69_21554_29876	4
12_69_27390_29870	5
12_75_28258_29849	6
12_64_26471_29870	102
12_1408_29460_29870	1
12_70_27044_29879	1
12_1081_29353_29872	1
12_68_29112_29870	10
12_66_27385_28664_28729_29090	1
12_6083_29369_29870	1
12_68_26471_27190_27222_29870	1
12_76_26482_26675_26733_29878	1
12_79_27058_29875	31
12_92_26290_29876	2
12_1933_29193_29870	1
12_1971_27854_29872	1
12_64_28256_29870	38
12_1371_28691_29870	1
12_76_21561_29873	7
12_63_28254_29493_29813_29871	1
12_829_28042_29870	1
12_7228_28929_29872	1
12_6585_29476_29886	1
12_66_27385_28466_28745_29873	1
12_1995_28210_29869	1
12_2212_29237_29885	1
12_73_27390_29870	6
12_66_25382_25707_25791_29870	1
12_73_27394_29870	21
12_70_28278_29872	1
12_73_28262_29870	9
12_79_28270_29870	2
12_1183_29236_29870	1
12_60_25381_29874	4
12_67_21555_21592_27282_29871	1
12_66_27385_29620_29662_29870	1
12_76_21563_29870	76
12_73_28552_29870	1
12_1459_29147_29873	1
12_1155_29312_29872	1
12_6053_29250_29874	1
12_82_27409_29871	8
12_87_25406_29874	1
12_62_28255_28679_28731_29872	1
12_1133_29342_29870	1
12_80_26487_27282_29852_29872	1
12_1290_29478_29870	2
12_81_27407_29873	13
12_76_27395_29870	65
12_1063_24949_29874	1
12_62_26468_27486_27697_29872	1
12_65_21552_28359_28427_29872	1
12_64_25382_28337_29020_29875	1
12_76_26274_29870	66
