Genome position	Count
48	1
49	2
50	2
51	2
52	2
53	2
54	2
55	2
56	2
57	2
58	2
59	2
60	2
61	2
62	2
63	2
64	2
65	2
66	2
67	2
68	2
69	2
70	2
71	2
72	2
73	2
74	2
75	2
76	2
77	2
78	2
79	2
80	2
81	2
82	2
83	2
84	2
85	2
86	2
87	2
88	2
89	2
90	2
91	2
92	2
93	2
94	2
95	2
96	2
97	2
98	2
99	4
100	4
101	4
102	4
103	4
104	5
105	5
106	5
107	6
108	6
109	6
110	6
111	7
112	7
113	7
114	7
115	7
116	7
117	7
118	7
119	8
120	8
121	8
122	8
123	8
124	8
125	8
126	8
127	8
128	8
129	8
130	8
131	8
132	8
133	8
134	8
135	8
136	8
137	8
138	8
139	8
140	8
141	8
142	9
143	9
144	9
145	9
146	10
147	10
148	10
149	10
150	10
151	10
152	10
153	10
154	10
155	10
156	10
157	10
158	10
159	10
160	10
161	10
162	10
163	10
164	10
165	10
166	10
167	10
168	10
169	11
170	11
171	11
172	11
173	11
174	11
175	11
176	11
177	11
178	11
179	11
180	11
181	11
182	11
183	11
184	11
185	11
186	11
187	11
188	11
189	11
190	11
191	11
192	11
193	11
194	11
195	11
196	11
197	11
198	11
199	11
200	11
201	11
202	11
203	11
204	11
205	11
206	11
207	11
208	11
209	11
210	11
211	11
212	11
213	11
214	11
215	11
216	11
217	11
218	11
219	11
220	12
221	12
222	12
223	12
224	12
225	12
226	12
227	12
228	12
229	12
230	12
231	12
232	12
233	12
234	12
235	12
236	12
237	12
238	12
239	12
240	12
241	12
242	12
243	12
244	12
245	12
246	12
247	12
248	12
249	12
250	12
251	12
252	12
253	12
254	12
255	12
256	12
257	12
258	12
259	12
260	12
261	12
262	12
263	12
264	12
265	12
266	12
267	12
268	12
269	12
270	12
271	12
272	12
273	12
274	12
275	12
276	12
277	12
278	12
279	12
280	12
281	12
282	12
283	12
284	12
285	12
286	12
287	12
288	12
289	12
290	12
291	12
292	12
293	12
294	12
295	13
296	13
297	13
298	13
299	13
300	13
301	14
302	14
303	14
304	14
305	14
306	14
307	14
308	14
309	14
310	14
311	14
312	14
313	14
314	14
315	14
316	14
317	14
318	14
319	14
320	14
321	14
322	14
323	14
324	14
325	14
326	15
327	15
328	15
329	15
330	15
331	15
332	15
333	15
334	15
335	15
336	15
337	15
338	15
339	15
340	15
341	15
342	15
343	15
344	15
345	15
346	15
347	15
348	15
349	15
350	17
351	17
352	17
353	17
354	17
355	17
356	17
357	17
358	17
359	18
360	18
361	18
362	27
363	29
364	29
365	29
366	29
367	29
368	29
369	29
370	29
371	29
372	29
373	29
374	29
375	29
376	29
377	29
378	29
379	30
380	33
381	35
382	42
383	126
384	128
385	129
386	136
387	139
388	154
389	219
390	223
391	258
392	265
393	285
394	288
395	291
396	291
397	291
398	294
399	300
400	302
401	316
402	316
403	316
404	316
405	317
406	317
407	317
408	318
409	318
410	318
411	320
412	320
413	322
414	322
415	322
416	322
417	327
418	327
419	327
420	327
421	327
422	327
423	327
424	328
425	328
426	328
427	328
428	328
429	329
430	329
431	330
432	331
433	331
434	333
435	333
436	333
437	334
438	334
439	334
440	335
441	335
442	338
443	338
444	338
445	338
446	339
447	339
448	339
449	343
450	343
451	396
452	408
453	1510
454	1582
455	1691
456	1749
457	1812
458	2610
459	2710
460	2752
461	2771
462	2798
463	2807
464	2820
465	2828
466	2842
467	2859
468	2887
469	2893
470	2920
471	2949
472	2961
473	2979
474	2989
475	2993
476	2995
477	2995
478	3006
479	3008
480	3015
481	3019
482	3021
483	3021
484	3033
485	3039
486	3067
487	3068
488	3073
489	3081
490	3083
491	3094
492	3101
493	3105
494	3107
495	3109
496	3112
497	3112
498	3123
499	3126
500	3126
501	3128
502	3130
503	3138
504	3180
505	3194
506	3207
507	3213
508	3215
509	3215
510	3226
511	3229
512	3230
513	3236
514	3237
515	3237
516	3238
517	3242
518	3243
519	3246
520	3247
521	3247
522	3250
523	3250
524	3250
525	3250
526	3251
527	3251
528	3251
529	3254
530	3254
531	3254
532	3256
533	3258
534	3260
535	3263
536	3265
537	3266
538	3268
539	3268
540	3268
541	3270
542	3270
543	3272
544	3271
545	3272
546	3272
547	3271
548	3271
549	3271
550	3271
551	3261
552	2991
553	2981
554	2981
555	2979
556	2979
557	2980
558	2980
559	2980
560	2980
561	2981
562	2982
563	2983
564	2983
565	2984
566	2987
567	2987
568	2988
569	2988
570	2988
571	2988
572	2988
573	2988
574	2989
575	2990
576	2990
577	2990
578	2991
579	2991
580	2991
581	2991
582	2994
583	2995
584	2996
585	2996
586	2996
587	3003
588	3004
589	3007
590	3008
591	3010
592	3010
593	3011
594	3011
595	3011
596	3013
597	3013
598	3014
599	3015
600	3016
601	3018
602	3018
603	3018
604	3018
605	3018
606	3018
607	3018
608	3018
609	3018
610	3020
611	3020
612	3020
613	3020
614	3020
615	3019
616	3019
617	3020
618	3020
619	3023
620	3022
621	3023
622	3023
623	3023
624	3024
625	3024
626	3024
627	3024
628	3024
629	3023
630	3023
631	3023
632	3023
633	3023
634	3022
635	3021
636	3022
637	3022
638	3022
639	3022
640	3022
641	3021
642	3024
643	3027
644	3027
645	3027
646	3028
647	3028
648	3033
649	3034
650	3031
651	3031
652	3030
653	3030
654	3030
655	3030
656	3030
657	3030
658	3030
659	3030
660	3030
661	3030
662	3029
663	3029
664	3029
665	3023
666	3023
667	3024
668	3024
669	3024
670	3024
671	3026
672	3026
673	3026
674	3026
675	3027
676	3032
677	3032
678	3032
679	3032
680	3032
681	3032
682	3032
683	3035
684	3034
685	3034
686	3034
687	3034
688	3034
689	3034
690	3033
691	3033
692	3033
693	3038
694	3039
695	3039
696	3039
697	3039
698	3038
699	3038
700	3038
701	3040
702	3041
703	3041
704	3040
705	3039
706	3039
707	3039
708	3039
709	3039
710	3040
711	3040
712	3038
713	3038
714	3039
715	3039
716	3039
717	3037
718	3038
719	3038
720	3039
721	3039
722	3040
723	3038
724	3038
725	3039
726	3039
727	3039
728	3039
729	3039
730	3039
731	3039
732	3039
733	3040
734	3044
735	3047
736	3047
737	3047
738	3047
739	3047
740	3047
741	3048
742	3048
743	3047
744	3045
745	3046
746	3045
747	3044
748	3042
749	3041
750	3042
751	3042
752	3042
753	3041
754	3040
755	3039
756	3039
757	3038
758	3033
759	3011
760	3011
761	3011
762	3011
763	3010
764	3010
765	3010
766	3009
767	3008
768	3008
769	3008
770	3010
771	3010
772	3010
773	3010
774	3010
775	3009
776	3009
777	3010
778	3010
779	3010
780	3009
781	3009
782	3006
783	3006
784	3008
785	3007
786	3005
787	3005
788	3004
789	3004
790	3004
791	3004
792	3004
793	3005
794	3006
795	3007
796	3008
797	3008
798	3008
799	3007
800	3006
801	3006
802	3006
803	3006
804	3006
805	3006
806	3003
807	3001
808	3001
809	3000
810	3000
811	2998
812	2997
813	2997
814	2997
815	2996
816	2995
817	2995
818	2995
819	2995
820	2989
821	2990
822	2992
823	2992
824	2991
825	2991
826	2992
827	2991
828	2989
829	2987
830	2985
831	2980
832	2980
833	2980
834	2952
835	2959
836	2953
837	2951
838	2952
839	2953
840	2955
841	2955
842	2948
843	2946
844	2890
845	2891
846	2892
847	2893
848	2896
849	3279
850	3281
851	3295
852	3295
853	3337
854	3340
855	3336
856	3336
857	3338
858	3366
859	3488
860	3520
861	3535
862	3542
863	3552
864	3559
865	3562
866	3574
867	3601
868	3604
869	3604
870	3608
871	3613
872	3613
873	3613
874	3619
875	3620
876	3624
877	3625
878	3625
879	3625
880	3627
881	3629
882	3635
883	3635
884	3636
885	3624
886	3625
887	3626
888	3629
889	3629
890	3630
891	3632
892	3633
893	3636
894	3636
895	3638
896	3640
897	3641
898	3641
899	3644
900	3644
901	3644
902	3644
903	3644
904	3646
905	3647
906	3650
907	3651
908	3652
909	3653
910	3654
911	3656
912	3658
913	3659
914	3660
915	3661
916	3662
917	3661
918	3661
919	3662
920	3663
921	3664
922	3666
923	3667
924	3667
925	3669
926	3670
927	3671
928	3676
929	3677
930	3678
931	3677
932	3676
933	3676
934	3676
935	3677
936	3677
937	3675
938	3675
939	3675
940	3674
941	3674
942	3674
943	3674
944	3674
945	3675
946	3674
947	3674
948	3674
949	3674
950	3674
951	3675
952	3675
953	3676
954	3695
955	3700
956	3730
957	3753
958	3753
959	3754
960	3769
961	3771
962	3825
963	3829
964	3843
965	3846
966	3846
967	3846
968	3847
969	3847
970	3847
971	3872
972	3951
973	3965
974	3970
975	3973
976	3980
977	3980
978	3983
979	3993
980	3997
981	4001
982	4011
983	4012
984	4017
985	4020
986	4024
987	4023
988	4023
989	4026
990	4031
991	4030
992	4031
993	4035
994	4035
995	4036
996	4037
997	4038
998	4038
999	4037
1000	4043
1001	4044
1002	4040
1003	4040
1004	4040
1005	4030
1006	4030
1007	4030
1008	4026
1009	4025
1010	4016
1011	4012
1012	4004
1013	4003
1014	4002
1015	4000
1016	4002
1017	4000
1018	4000
1019	3999
1020	3983
1021	3983
1022	3981
1023	3977
1024	3976
1025	3969
1026	3967
1027	3965
1028	3939
1029	3941
1030	3935
1031	3935
1032	3933
1033	3923
1034	3923
1035	3920
1036	3919
1037	3919
1038	3920
1039	3952
1040	3953
