barcode	Count
1_308_3795_3798_4258_4696	1
1_44_8983_9607	1
1_552_4819_6140	1
1_210_9172_9457	1
1_119_9196_9622	1
1_133_8980_9622	1
1_534_3182_5028	1
82_98_9174_9621	16
1_355_1067_1868	1
1_543_9074_9621	1
1_51_8962_9150	1
1_299_4339_5480	1
1_46_8982_9622	1
1_552_4975_6658	1
1_583_3118_4639	1
2_41_8982_9601	1
2_299_9181_9622	3
3_714_1499_2055	1
3_41_9017_9222	1
5_41_9117_9622	1
7_299_9135_9622	1
18_41_8863_9622	1
19_41_8999_9610	1
21_557_9181_9619	1
22_87_8968_9626	1
25_275_348_531	1
25_56_9093_9616	1
26_343_9076_9619	1
27_51_8982_9622	1
30_41_9188_9626	1
30_46_9122_9494	1
36_88_9010_9496	1
38_313_8962_9552	1
40_46_9037_9589	1
41_46_9006_9622	1
45_146_9229_9610	1
47_56_9132_9613	2
50_64_9140_9618	1
52_146_9238_9610	1
53_167_9050_9622	1
53_75_9054_9621	1
71_256_9101_9621	1
79_106_9285_9622	1
80_210_8999_9618	1
81_567_8918_9482	1
82_96_1053_1644	1
84_96_8982_9612	1
93_167_9262_9518	1
94_339_6768_6889_9147_9626	1
98_552_1265_2009	1
100_153_9229_9622	13
99_534_1040_1864	1
99_119_9137_9622	1
99_176_9252_9622	3
108_113_9189_9621	16
100_148_9224_9621	8
100_364_9196_9544	1
100_131_9207_9622	20
100_334_9147_9622	1
100_334_9093_9580	1
100_146_9223_9501	3
100_118_9194_9621	11
100_210_318_389_9132_9621	1
100_109_9185_9595	1
100_432_3553_4704	1
100_559_8295_9240	1
100_334_9181_9621	7
100_129_9205_9622	2
100_129_9132_9613	1
100_559_5348_6171	1
109_461_9147_9608	4
100_118_8982_9438	1
100_539_1509_4642	1
100_133_9043_9622	1
100_118_9069_9466	2
100_167_9247_9440	1
100_124_9137_9540	1
100_159_291_552	1
100_316_9093_9567	1
100_334_9275_9622	1
100_408_1463_1895	1
100_334_9037_9622	1
100_334_1379_2387	1
100_334_7512_9612	1
100_210_9285_9622	7
100_118_9093_9627	1
100_118_8698_9622	1
100_534_4301_6153	1
100_432_8728_9480	1
100_334_9132_9593	1
100_497_9132_9622	1
100_118_7940_8624_8995_9621	1
100_557_8995_9619	1
100_362_9082_9622	1
100_334_1515_1951	1
100_476_9030_9621	1
100_583_6053_6875	1
100_552_3658_4138	1
100_389_1499_1819_3932_4401	1
100_119_9030_9450	1
100_634_3691_4686	1
100_129_9082_9622	1
103_349_8995_9622	1
105_118_9050_9622	1
105_124_9200_9494	3
105_334_8911_9533	1
105_634_3748_4153	1
105_482_9081_9612	1
105_617_9104_9614	1
105_174_9196_9432	1
105_493_850_1130	1
108_124_9196_9517	1
109_403_8578_9394	2
109_360_9196_9494	1
109_167_4362_4696	1
109_146_9219_9621	1
109_119_9272_9617	1
109_118_8694_9149	1
109_349_9168_9621	1
109_349_9181_9569	1
109_476_9168_9622	2
109_451_9135_9621	1
109_343_9030_9622	1
109_396_9135_9622	1
109_118_9175_9618	1
109_555_9050_9533	1
109_204_9188_9460	1
109_461_9139_9621	1
109_343_9168_9622	1
109_334_9188_9450	1
110_129_9181_9622	2
110_476_9137_9626	3
112_167_9238_9621	2
112_325_8826_8957	1
112_360_9139_9622	1
112_231_9106_9595	1
112_461_9137_9562	1
112_381_9162_9586	1
112_360_9010_9617	1
112_299_9188_9489	2
112_360_9147_9621	1
112_482_9168_9579	1
112_386_9170_9622	1
112_343_8782_9295	1
112_334_9196_9461	2
112_381_9006_9622	1
112_183_426_1130	1
112_174_9247_9515	1
113_334_8935_9038_9162_9619	1
113_308_9196_9452	1
114_119_9195_9621	2
114_152_405_487	1
114_302_9423_9611	1
114_207_9283_9615	1
115_421_9104_9618	1
115_174_893_1119	1
115_572_8995_9622	1
118_555_780_1864	1
118_124_9181_9622	1
118_451_9168_9621	1
120_446_9137_9459	1
120_493_9165_9474	1
120_493_9147_9570	1
120_580_9170_9456	1
120_580_9147_9510	1
120_349_9188_9622	1
120_362_9216_9487	1
120_461_9172_9383	1
120_476_9172_9457	1
120_559_9101_9503	1
120_389_9196_9488	1
120_473_9196_9456	1
120_513_9172_9455	2
120_498_9188_9487	1
120_396_9030_9621	1
120_360_9030_9488	1
120_574_9181_9593	2
122_493_9172_9381	1
122_389_453_1007	1
122_379_9050_9622	1
122_587_9168_9564	3
375_389_9181_9621	11
124_543_9181_9601	1
127_615_9181_9587	1
135_174_9181_9621	1
137_167_3401_3931	1
140_451_9137_9626	1
140_174_926_1226	1
140_376_9181_9467	1
146_435_9054_9615	1
146_386_9139_9618	1
146_254_9322_9622	1
149_461_8999_9517	1
168_248_7363_8408	1
168_174_6315_6690	1
168_210_9001_9621	1
168_399_9170_9589	1
168_313_9181_9415	1
168_516_9168_9557	1
170_552_8749_9622	1
170_343_9132_9622	1
170_435_9030_9569	2
170_204_9181_9467	1
170_567_9093_9482	1
170_248_7747_8177	1
170_482_8968_9487	1
179_406_9238_9629	1
180_185_9261_9622	1
184_325_9147_9414_9487_9622	1
184_201_9277_9615	3
189_194_2196_2590	1
197_256_401_543_6143_6650	1
197_446_9030_9626	1
197_552_1565_4676	1
204_555_1745_2530	1
214_334_9238_9457	1
214_615_9223_9622	1
224_615_9267_9585	1
240_482_9196_9621	1
244_265_9341_9622	1
244_334_1532_2055	1
263_299_9285_9621	1
266_493_9216_9621	2
363_368_9196_9503	3
266_303_9320_9573	1
269_501_9196_9622	1
271_408_9188_9532	2
275_552_9275_9622	1
276_448_9338_9618	1
283_303_9331_9621	1
288_313_9389_9593	1
291_572_9511_9593	1
293_329_9405_9621	6
293_308_9285_9621	1
293_396_9175_9621	2
295_543_860_1129	2
296_583_9247_9607	2
296_587_9272_9621	1
296_334_9181_9242_9318_9605	1
296_360_9366_9585	1
296_343_9216_9572	1
296_334_9247_9466	1
296_334_9223_9438	1
296_362_9188_9621	1
296_740_9147_9621	1
296_308_9181_9538	1
298_303_9272_9553	1
298_421_9216_9621	1
300_313_9331_9622	1
300_308_9216_9599	1
300_405_9272_9478	1
300_501_9106_9494	1
300_334_9106_9614	1
300_552_3932_4676	1
300_308_9247_9622	1
302_476_9226_9624	2
302_334_9272_9551	1
302_555_5976_6690	1
303_448_9188_9622	1
307_403_9223_9603	1
312_464_9331_9520	1
313_552_5008_6875	2
321_543_9175_9621	1
323_386_9430_9621	1
325_583_1835_4129	1
325_435_9340_9621	1
325_362_9181_9598	1
325_334_4311_4415	1
325_546_9285_9572	1
327_421_9172_9621	1
327_628_9172_9627	1
327_435_9226_9627	1
327_501_9366_9486	1
328_334_9076_9613	1
331_446_9168_9619	1
339_389_9285_9621	2
344_634_9181_9622	1
350_451_9093_9505	1
350_403_9247_9622	1
351_403_9331_9621	1
356_368_9181_9621	2
395_403_9181_9622	4
359_513_9170_9529	1
359_448_9037_9620	1
360_574_2753_4095	1
363_368_9216_9528	3
363_513_9139_9622	1
363_389_9200_9620	2
363_559_8884_9199_9451_9622	1
363_543_9347_9620	2
363_552_1094_1254_9451_9608	1
363_381_9455_9572	1
363_765_9132_9461	1
363_396_9347_9600	2
363_574_9275_9621	1
363_451_9366_9503	3
363_368_9188_9568	2
363_389_9135_9622	1
363_402_9331_9591	1
363_368_9223_9610	1
363_386_484_1085	1
363_368_8995_9535	1
363_412_9216_9621	2
363_682_9137_9618	1
364_617_9175_9602	1
364_389_8670_9621	1
364_555_9331_9621	1
364_628_9137_9413	1
364_555_9355_9621	1
364_381_9463_9590	1
364_446_9528_9621	1
364_546_9366_9595	1
364_555_4543_4621_9175_9621	1
364_399_9238_9626	2
384_421_9378_9622	7
392_399_9181_9622	13
384_396_9181_9622	11
366_552_3421_4837	1
367_432_9188_9626	1
375_412_860_1120	1
375_389_9216_9627	1
375_389_9162_9569	1
375_419_9393_9622	1
375_389_9265_9610	1
375_555_3292_4138	1
375_389_9068_9622	1
375_557_9347_9613	2
375_461_9196_9621	1
375_389_9393_9622	1
375_557_9275_9623	2
375_552_6150_6184	1
375_408_9181_9554	4
375_396_6433_9621	1
375_615_9247_9621	2
392_399_9216_9622	5
375_543_1088_1130	1
375_557_712_1019	1
454_743_5976_6171	20
375_389_506_884	1
376_448_9247_9621	1
376_552_9347_9622	2
377_389_9188_9589	1
379_385_9461_9619	1
381_513_996_1006	1
382_557_1745_4683	1
382_580_5207_6827	1
382_389_2668_3604	1
382_617_5620_6651	1
