end_site	Count
141026	55
67457	14585
586	1
552	1
143684	1225
24664	2811
541	1
25630	1
140515	6
140509	1
145460	20915
684	1
1039	1
11731	936
12497	57
1608	1
1635	1
1807	1
2106	1
117606	2
2726	2
2646	1
3289	1
2200	1
1981	2
1740	1
2014	1
1847	1
2975	1
1948	2
1975	1
1979	1
2174	1
2176	1
1933	1
2588	1
1925	1
1942	1
2041	1
1994	1
3731	1
2118	1
2115	1
1991	1
3128	1
2092	1
2236	1
2180	1
2075	1
2771	1
5691	20
120627	1
3323	1
3287	1
143689	5290
3286	3
108171	136
5697	66
2204	1
2888	5
2714	1
5696	56
3148	1
3294	1
2987	1
3797	1
2755	1
2625	1
3014	2
2492	1
3228	1
2499	1
3491	1
2745	1
2750	1
3016	1
3856	1
3231	1
2834	3
2807	1
3177	1
3081	2
2832	1
3055	1
2954	1
123675	1
2904	1
3005	1
3171	2
3272	1
2843	1
2748	1
3050	1
3165	1
2818	1
2902	1
5692	11
2992	1
2984	1
3044	1
3077	2
3268	2
2889	1
2854	1
3079	1
2784	1
3176	1
2802	1
2780	1
3214	1
2821	1
5576	1
3102	1
2882	1
3273	1
2990	1
3070	1
3486	1
3271	1
90993	40
3000	1
3076	1
2817	1
2974	1
3262	1
2849	1
2952	1
2999	1
2912	1
3174	1
3275	1
3039	1
123784	24
145457	2422
5684	3
5698	70
3332	1
3504	1
3799	1
3597	2
3733	1
67453	802
25495	49
54124	3
5690	15
24665	1032
18775	5
122234	4
52782	464
5699	122
5497	1
27032	11
26565	17
5687	5
11733	705
25057	1766
25516	1
25214	18
5678	2
67447	118
25935	15
5675	1
5695	4
5689	5
5688	3
5551	2
5621	3
5694	10
121578	3
7098	1
5561	1
70955	3438
145459	1724
5519	1
5516	1
23575	4
31181	3
5078	1
5662	1
5681	2
5700	9
7850	1
5176	1
5610	1
5331	1
121393	1
5232	1
121431	1
5547	1
5197	1
121359	32
121355	6
5663	2
5642	4
5685	2
5671	2
5643	2
5680	3
121244	4
5453	1
5629	1
5254	1
5419	1
5236	1
5701	2
121156	1
5658	1
121256	2
5682	1
121270	2
121350	4
5677	1
5580	1
5667	1
5659	5
5446	1
7369	1
5577	1
94651	491
5653	1
5637	1
5616	1
105256	54
124253	16
6282	1
31806	2
6142	1
6122	1
6117	1
7069	10
6347	1
7037	1
7066	1
141032	1378
7049	1
13517	13
13433	1
14083	2
10964	766
10492	1
7820	1
8154	1
7885	1
7827	1
8654	1
8144	23
8433	1
8093	1
8140	5
7842	1
8548	1
8141	3
7796	1
7974	1
8337	9
8306	2
8421	2
8296	4
8137	2
7751	1
8136	3
7847	1
8289	1
8205	1
7755	5
8733	1
8459	1
7967	1
8309	4
7812	1
137527	135
8423	2
8392	2
7993	3
7845	1
7748	2
8067	3
7753	2
8074	1
7724	1
8143	3
8570	1
8341	4
8270	1
8014	1
8196	1
8235	1
8152	2
8072	1
103310	78
8155	3
8566	2
8264	3
8845	2
8464	1
8062	1
7853	1
8131	3
7984	1
8084	1
8336	1
8311	4
8013	1
8276	1
7929	1
7988	1
145317	1
7991	1
8230	1
118353	1
7990	1
8286	1
8279	1
118683	1
118670	1
7871	1
8042	1
8184	1
7848	1
8148	1
8542	1
7992	1
8312	1
8145	2
8751	1
8553	5
8545	2
128930	1
8589	1
8711	1
8103	1
8300	1
8245	1
8238	1
8343	2
8340	1
8045	1
8283	1
7811	1
8142	2
8298	1
8415	1
7798	1
8563	1
8333	1
8443	1
118714	1
8187	1
7972	1
8339	2
8071	1
8133	1
8404	1
8029	1
8179	1
7768	1
8317	1
8308	1
118725	7
8587	1
8051	1
8732	1
8590	1
8302	1
8268	1
10005	1
7874	1
118727	61
8416	1
8422	2
7981	1
7980	1
24666	3819
8258	1
8559	1
9263	1
118728	15
8544	1
8520	1
91591	1447
8373	1
11732	4647
8874	1
8450	1
8736	1
8546	1
8547	1
8667	1
8567	1
117923	1
10959	270
118036	2
8857	1
8893	1
141029	202
9023	2
8913	1
50729	1
70847	10
145349	3
11735	965
24527	3
71736	1
25499	38
10962	64
11734	3975
10961	205
10951	13
10671	2
10252	1
11367	1
10968	2
10360	1
10016	1
10445	2
9915	1
9429	1
11233	1
91000	1922
9745	1
10960	17
10190	2
10250	1
9674	1
9528	1
10963	44
10592	6
10002	1
10253	1
10694	1
11651	12
10747	1
9374	1
10843	1
9589	1
10650	3
10047	1
10513	1
10823	2
10180	1
10954	26
11185	1
10372	2
9691	1
10629	1
9810	1
10570	1
10171	1
10958	48
10338	1
10944	8
10940	1
11729	556
10032	1
10100	1
10776	1
10488	1
10449	1
11289	2
9783	1
9788	1
10952	15
10394	1
10793	1
10280	1
11010	1
11021	3
10912	3
9637	1
9378	1
10923	2
10711	2
11727	66
9975	1
11713	45
141020	44
10943	10
10955	32
10314	1
9607	1
10508	2
11728	298
9434	1
10299	1
10965	36
10899	2
10455	1
9994	1
10763	1
11640	8
70959	2416
10906	4
9895	1
9689	1
10525	1
10086	1
10390	1
11736	78
11721	82
10873	2
9564	1
10905	2
10328	1
10926	4
9950	1
10949	36
9371	1
146105	449
9811	1
11045	1
11011	1
10807	1
11187	1
10867	1
11724	144
10957	28
11616	2
10903	6
9856	1
10044	1
9728	1
11577	2
141034	1359
10935	2
9591	1
10435	1
9553	1
10579	1
10097	1
10767	1
9964	1
10467	1
10279	1
10308	1
10816	1
9816	1
10844	1
11702	10
9683	1
9778	1
10560	1
10468	1
10927	4
10749	1
10626	2
9946	1
9991	2
9884	1
11725	137
10761	1
103704	243
9980	1
10595	1
10946	9
10909	8
10027	1
10590	1
10719	1
11088	1
10304	1
9929	1
11276	1
9970	1
10675	1
10966	5
11312	1
10878	2
10948	4
10666	1
9855	1
11718	167
24627	10
10589	1
10847	1
14342	9
10809	1
10934	1
11716	23
11723	96
10748	2
10851	1
26648	2
10924	2
10969	2
10417	1
10884	2
9832	1
11730	396
52785	3036
10061	1
10495	1
10914	7
10904	5
10411	1
11641	16
31202	1
10382	1
10837	1
11622	1
11415	4
10754	1
10945	4
10574	1
10548	1
133959	1455
10685	1
11726	232
10526	1
10929	3
10928	3
10358	1
11003	2
10791	1
11665	11
10318	1
11297	1
11009	1
10572	1
10485	1
11706	10
10956	11
10429	1
10919	1
10464	2
10601	1
11712	27
10950	10
10838	1
10947	15
11670	11
24659	356
10930	2
11128	4
10937	3
10549	1
11397	1
11176	2
10582	1
10758	2
11465	3
10652	1
11435	2
10820	1
11737	10
10552	1
115301	1298
11137	2
10814	1
11637	5
10941	5
10691	1
10680	1
11672	12
11722	83
11083	1
10441	1
10902	3
10545	1
10907	1
10953	1
10622	1
10803	1
10936	5
11714	48
10792	1
11324	2
11467	1
10875	1
10778	1
10885	1
10910	3
10501	1
11719	70
10911	4
10682	1
10627	1
71238	15
11155	1
10584	1
10887	2
91867	454
11057	1
10874	1
11845	1
10587	1
11143	6
10620	1
11375	4
11041	1
11283	1
10599	1
10528	1
11359	1
10786	1
137529	195
10696	1
10939	1
11078	1
10707	1
10556	1
11072	1
115269	3
10715	1
11653	7
11136	2
10942	3
10876	1
10922	1
10984	1
25712	1
11611	2
11687	6
11062	1
10901	2
10970	2
11720	59
11215	1
11371	1
11040	1
11663	5
11522	6
10921	1
11081	1
11116	1
11717	27
141023	19
139747	1
11559	2
10971	1
10877	1
67445	121
11597	2
11711	34
11416	3
11694	9
57263	1
11493	1
11675	2
11709	10
11582	2
11710	38
11184	1
137455	3
10891	1
11535	1
10999	1
11170	2
11689	3
11571	4
11627	3
11431	1
11171	1
28144	1
46856	4
11310	3
10981	1
11272	3
11466	3
11173	2
11384	3
11086	2
12239	1
11538	1
26659	2
70951	243
11671	9
11601	4
11177	1
11529	2
11325	2
11654	12
11569	1
11401	1
11101	2
11430	2
11645	1
11740	2
11647	7
11643	6
11445	20
24486	3
11576	2
11157	2
11202	1
11669	11
11693	5
11715	21
11545	1
11547	1
11704	7
11608	4
11570	2
11273	2
11385	5
11127	2
11129	1
11673	5
11103	1
11615	5
11464	2
11443	1
11394	1
11286	1
11377	1
11455	2
11532	2
11278	1
11140	2
11328	1
11488	2
11639	5
11595	4
11617	1
11659	6
11156	1
11277	2
11630	3
11126	2
11707	18
11628	6
11425	1
11247	1
11106	1
11648	4
11275	1
11523	4
70958	5736
11695	3
11180	4
11642	4
11683	2
11668	9
11657	5
11556	1
11692	2
11541	2
11055	1
11291	1
11629	2
11449	3
11162	1
44022	2
11077	4
11473	1
11708	7
11698	8
11566	2
11308	1
11241	2
11739	4
11100	2
72379	31
11650	12
11632	3
11567	2
11606	1
144353	8
11393	1
11305	3
11700	4
11480	2
11424	2
11554	3
11251	1
11688	2
11580	7
11521	2
11151	1
11485	2
11623	3
11245	4
11482	1
20576	1
11636	2
11159	1
11348	2
11258	2
132321	1
11537	1
135282	9
11411	3
11349	1
11119	3
11536	2
145259	8
11390	1
11293	1
11195	3
98689	1351
11635	9
11655	2
11323	2
66391	1
11374	1
11167	1
11370	1
11179	2
11697	7
11469	1
11600	3
11337	1
11658	9
72423	30
11372	4
11508	2
11314	1
