junction	Count
642_801	10
152_1312	1040
649_815	1812
150_1312	1026
106_1285	2
450_541	1
154_1314	84
152_1317	528
148_1314	212
768_1006	1
649_807	83
637_799	8
85_140	2
785_927	1
637_800	146
703_776	1
639_801	132
649_808	16
637_802	24
133_1292	3
1156_1225	1
655_822	3
847_1220	5
649_809	14
847_1089	1
148_1309	6
148_1310	13
1180_1374	1
785_956	1
185_750	2
314_566	1
656_824	10
148_1312	74
656_822	5
148_1311	23
280_378	1
148_1328	11
106_1255	1
496_687	1
663_758	2
410_630	1
847_956	1
1402_1457	2
619_798	1
248_1161	2
261_1061	1
628_801	3
285_566	1
624_799	1
643_801	11
748_815	1
947_1102	1
154_1328	18
152_1313	26
637_801	22
153_1002	1
657_822	5
489_1170	1
489_883	1
649_868	1
154_212	1
1303_1371	1
649_841	3
649_806	14
684_1063	1
648_822	2
651_824	10
980_1142	1
869_1237	1
238_549	1
489_545	1
417_455	1
655_832	1
747_1251	1
648_1170	1
746_1292	1
269_1430	2
128_1285	1
757_824	1
607_776	2
192_266	1
450_559	1
185_1353	1
248_308	1
217_300	2
511_566	1
210_266	2
830_1289	1
1280_1391	1
641_801	15
645_799	1
380_455	1
647_822	2
285_545	1
694_758	1
133_608	1
99_1245	3
253_801	10
261_409	1
580_650	1
450_621	1
726_956	1
166_1337	13
718_1292	1
637_805	7
299_499	1
628_799	2
235_787	1
847_899	2
152_1337	14
422_574	1
185_233	1
830_1170	2
882_971	1
553_602	1
767_1213	2
747_1292	1
266_1337	1
649_824	4
232_1292	2
746_1391	1
659_822	2
452_596	1
955_1013	1
152_1311	11
388_566	1
847_1409	1
185_242	2
1040_1109	1
1165_1325	1
232_455	1
261_815	6
358_429	1
410_983	1
1129_1220	1
875_1047	1
540_635	2
299_377	1
637_859	1
285_729	1
388_500	1
687_822	1
564_616	1
575_1083	1
658_822	1
947_1251	4
1030_1074	1
152_1309	1
1037_1355	1
505_568	1
286_1002	1
1406_1550	1
660_822	1
394_539	1
394_455	2
540_591	1
154_1325	4
714_758	1
720_1355	1
656_758	5
746_1314	2
830_927	3
628_822	3
185_266	1
679_758	1
248_799	4
217_455	2
877_1170	1
637_798	6
54_455	1
830_1184	5
235_320	1
650_822	2
95_524	1
656_841	2
615_944	1
955_1030	1
154_1312	4
138_308	1
847_1213	2
689_750	1
148_1308	1
286_374	1
388_442	2
1103_1154	1
785_848	3
185_244	1
595_866	1
623_800	2
637_824	4
978_1184	1
774_1314	1
200_770	1
875_1061	1
637_803	17
535_713	1
910_1285	2
532_639	1
655_830	1
489_927	1
532_1337	1
185_295	1
1230_1285	1
1082_1205	2
767_1314	2
532_1135	1
315_399	1
1129_1180	1
235_484	1
721_1285	1
152_1324	1
12_353	1
148_1292	1
489_549	1
959_1002	1
648_1197	1
126_176	3
384_1047	1
142_1317	2
210_488	1
595_770	2
580_701	1
437_528	1
285_430	1
293_374	1
675_1135	1
217_275	1
11_704	1
1343_1418	1
649_859	1
616_745	1
148_1332	1
847_927	3
540_681	1
203_545	1
448_596	1
148_233	1
805_1170	1
261_455	2
666_794	1
174_1337	2
498_569	1
148_1322	1
532_1074	1
261_810	1
694_1083	1
11_822	1
11_374	2
243_290	1
830_990	1
232_1337	1
126_1301	1
148_1324	1
398_455	1
286_729	1
736_956	1
323_639	1
1245_1355	1
767_1102	1
1327_1391	2
388_508	1
107_1142	1
79_215	1
1343_1457	1
740_1314	2
1165_1237	1
1162_1232	1
150_1314	31
681_927	1
528_868	2
54_442	1
955_1239	3
252_1161	1
640_801	3
452_1285	1
235_367	1
532_582	1
1031_1457	1
126_758	1
768_1125	1
496_639	1
154_1320	3
148_341	1
887_956	1
599_639	1
1413_1491	1
830_1192	1
40_92	1
235_782	1
99_162	1
595_720	1
651_758	1
422_593	1
651_815	21
1370_1436	1
152_1301	2
1214_1343	1
261_331	1
637_807	3
540_639	1
388_545	1
653_822	4
453_1002	1
637_750	1
651_822	1
148_1303	1
339_405	1
422_621	1
640_824	1
1162_1409	2
599_770	1
767_1184	1
448_545	1
133_1328	1
1040_1256	1
154_353	2
654_822	4
154_1323	6
847_1170	4
106_1267	1
148_1305	1
54_493	1
1082_1261	1
768_965	1
714_927	1
933_1002	1
276_956	1
126_266	1
662_758	2
402_979	1
643_799	1
947_1255	1
1394_1457	1
694_1002	1
1190_1247	1
1004_1213	1
610_681	1
11_300	2
261_803	2
148_1320	1
665_729	1
32_99	1
637_797	1
871_1238	1
248_794	1
757_841	1
52_183	1
185_300	1
152_639	1
166_1324	1
1025_1142	1
285_442	1
437_504	1
955_1237	1
1156_1309	1
990_1550	1
334_639	1
