start_site	Count
23	1
27	2
29	1
30	6
31	937
32	45
33	46
34	26
35	10
36	16
37	42
38	76
39	1
40	24
41	15
42	20
43	3
44	2
45	20
46	2
47	3
49	2
51	2
54	1
55	1
60	1
62	1
67	2
68	1
79	1
165	1
205	1
216	1
285	1
429	2
462	1
553	2
609	1
616	1
646	2
649	1
655	1
656	21
658	2
666	5
667	1
673	1
675	2
733	1
735	1
766	1
775	1
854	1
858	1
873	1
889	1
893	1
927	1
944	1
945	24
946	2
953	1
956	1
958	3
961	2
965	1
976	1
982	1
997	1
1000	3
1014	2
1019	1
1020	2
1029	1
1045	2
1059	1
1071	1
1074	1
1088	1
1094	1
1097	1
1099	1
1100	218
1101	7
1102	7
1103	2
1104	4
1105	11
1106	4
1107	1
1108	2
1109	2
1110	1
1111	6
1114	4
1115	3
1116	2
1117	1
1118	1
1119	2
1122	1
1126	1
1130	1
1134	1
1138	1
1142	1
1149	1
1318	1
1501	1
1514	1
1583	1
1625	1
1637	2
1703	1
1704	1
1711	1
1759	3
1760	1
1821	1
1896	1
1999	1
2035	1
2041	2
2049	1
2078	1
2128	1
2151	1
2152	2
2153	342
2154	8
2155	7
2156	1
2157	6
2158	4
2159	7
2160	10
2161	6
2163	26
2164	7
2165	11
2166	4
2167	1
2168	3
2170	1
2171	2
2173	1
2174	1
2175	3
2180	1
2182	1
2183	1
2184	1
2197	1
2198	1
2199	1
2211	1
2226	1
2248	1
2281	1
2314	2
2325	1
2351	1
2375	1
2393	1
2408	1
2409	1
2412	1
2437	1
2464	1
2503	1
2508	1
2523	1
2539	1
2541	2
2547	1
2607	1
2628	1
2666	1
2668	1
2720	1
2721	1
2739	1
2820	1
2824	1
2830	1
2837	2
2844	1
2847	1
2892	1
2906	1
2917	1
2918	2
2919	1
2935	4
2941	2
2950	1
2962	1
2966	1
2976	1
3015	5
3019	1
3042	1
3071	1
3077	1
3083	1
3093	1
3098	1
3138	1
3139	9
3141	1
3142	1
3144	693
3145	13
3146	178
3147	20
3148	12
3149	12
3150	33
3151	25
3152	5
3153	11
3154	20
3155	5
3156	13
3157	7
3158	22
3159	8
3160	16
3161	7
3162	9
3163	11
3164	8
3165	8
3166	9
3167	2
3168	4
3169	8
3170	4
3171	6
3172	4
3173	1
3174	2
3175	3
3176	1
3177	2
3178	2
3179	1
3180	1
3181	1
3182	4
3183	2
3184	1
3187	1
3188	1
3189	1
3194	1
3203	1
3216	1
3217	1
3251	2
3257	1
3258	1
3262	1
3297	1
3510	1
3519	1
3521	1
3551	2
3607	1
3613	1
3636	1
3662	1
3663	1
3804	1
3840	1
3910	2
3938	1
3981	1
3985	2
3986	1
3991	1
3996	1
4003	1
4011	1
4014	1
4021	1
4029	1
4032	1
4049	1
4051	1
4052	1
4055	1
4059	1
4069	1
4070	1
4094	1
4095	1
4106	1
4111	2
4122	1
4134	1
4143	1
4145	3
4159	1
4167	209
4168	16
4169	7
4170	9
4171	3
4173	1
4174	2
4175	4
4176	6
4177	7
4179	3
4180	3
4181	4
4183	2
4185	1
4186	1
4188	1
4190	1
4191	1
4192	1
4194	1
4195	1
4196	2
4197	1
4198	1
4202	1
4203	1
4204	1
4206	1
4210	2
4212	2
4251	1
4362	1
4400	1
4410	1
4424	1
4450	1
4506	1
4587	1
4623	1
4696	1
4756	1
5001	1
5035	2
5086	1
5102	1
5107	2
5112	1
5115	1
5146	1
5168	1
5243	1
5254	2
5256	1
5258	91
5259	14
5260	1
5261	2
5262	4
5263	19
5264	3
5265	1
5267	4
5268	2
5270	2
5273	4
5274	1
5275	1
5282	1
5299	1
5838	1
5938	1
5956	1
6006	1
6032	1
6089	5
6091	1
6096	1
6164	1
6217	1
6244	1
6282	1
6283	291
6284	16
6285	8
6286	6
6287	1
6288	3
6289	6
6290	10
6291	2
6292	18
6293	2
6294	17
6295	2
6296	33
6297	16
6298	4
6299	4
6300	2
6301	9
6302	1
6303	1
6304	3
6305	2
6307	1
6309	1
6311	1
6313	2
6314	2
6315	1
6349	1
6369	1
6403	1
6437	1
6585	1
6624	1
6707	1
6714	3
6727	1
6737	2
6757	3
6758	1
6786	1
6787	1
6886	1
6888	1
6907	1
6914	1
6930	1
6932	1
6946	1
6979	1
7026	1
7042	5
7048	1
7060	1
7061	1
7065	1
7066	2
7076	1
7093	2
7096	1
7135	1
7157	1
7170	1
7178	1
7188	1
7205	1
7206	4
7215	1
7221	2
7233	1
7258	1
7263	1
7280	2
7287	1
7290	1
7295	1
7299	550
7300	32
7301	6
7302	9
7303	4
7304	2
7305	7
7306	3
7307	5
7308	16
7309	3
7310	9
7311	8
7312	6
7313	4
7314	5
7315	2
7316	2
7318	4
7319	3
7320	2
7321	1
7325	1
7327	3
7328	1
7336	1
7341	1
7381	1
7396	1
7408	1
7418	1
7518	1
7538	1
7597	1
7606	1
7785	1
7819	2
7821	1
7853	1
7854	4
7877	1
7890	1
7967	1
7985	2
7995	1
7998	1
8023	1
8053	1
8102	1
8103	2
8107	1
8109	1
8111	1
8127	2
8167	1
8172	1
8182	1
8187	1
8220	1
8224	1
8226	1
8230	1
8240	1
8248	1
8252	1
8253	318
8254	10
8255	35
8256	18
8257	23
8258	5
8259	18
8260	17
8261	4
8262	7
8263	7
8264	6
8265	5
8266	4
8267	7
8268	1
8269	1
8271	2
8272	2
8273	2
8274	2
8275	1
8286	3
8288	4
8292	1
8296	2
8303	2
8304	1
8314	1
8317	1
8318	1
8332	1
8335	1
8363	2
8458	1
8475	5
8799	1
8832	1
8865	1
8919	1
8938	1
8953	1
8965	1
9016	1
9086	1
9196	1
9216	1
9232	1
9247	1
9259	2
9262	1
9284	1
9302	1
9303	56
9304	235
9305	14
9306	8
9307	9
9308	14
9309	5
9310	8
9311	1
9312	11
9313	10
9314	13
9315	28
9316	8
9317	6
9321	4
9322	5
9323	1
9325	1
9326	3
9327	4
9334	2
9346	1
9347	1
9352	1
9358	2
9360	3
9361	1
9379	2
9396	3
9419	1
9425	1
9480	1
9547	1
9675	2
9710	1
9715	1
9898	1
10052	1
10066	1
10073	1
10083	1
10162	1
10192	1
10211	1
10249	1
10261	1
10264	1
10282	1
10284	1
10291	1
10311	2
10314	2
10320	1
10324	1
10329	1
10332	1
10335	1
10337	1
10339	1
10340	8
10343	3
10344	740
10345	27
10346	22
10347	30
10348	20
10349	16
10350	30
10351	5
10352	18
10353	4
10354	2
10355	16
10356	12
10357	6
10358	3
10359	2
10360	1
10361	3
10362	3
10363	1
10369	1
10370	1
10372	1
10373	2
10375	1
10376	1
10377	1
10379	1
10382	2
10384	1
10385	1
10386	1
10388	1
10394	1
10405	1
10411	1
10412	1
10460	2
10474	1
10540	1
10570	1
10577	1
10585	1
10594	1
10629	1
10705	1
10715	1
10780	1
10928	1
10957	1
10971	3
10994	1
11025	3
11036	1
11049	1
11088	1
11089	2
11096	1
11104	1
11110	1
11120	2
11125	1
11137	1
11138	1
11144	4
11152	3
11155	1
11165	2
11200	1
11203	1
11211	1
11215	1
11262	1
11283	1
11290	1
11294	1
11311	1
11332	1
11335	1
11346	1
11347	1
11366	1
11371	1
11373	469
11374	23
11375	10
11376	20
11377	8
11378	10
11379	14
11380	17
11381	10
11382	11
11383	12
11384	9
11385	9
11386	2
11387	3
11388	4
11389	3
11390	8
11391	1
11392	5
11394	1
11396	7
11397	1
11398	2
11400	1
11401	2
11403	1
11406	1
11408	1
11409	5
11411	1
11412	1
11414	1
11418	1
11419	1
11432	1
11433	1
11437	1
11504	1
11506	1
11512	1
11534	1
11552	1
11637	1
11961	1
12037	1
12258	1
12281	1
12334	1
12335	1
12343	2
12356	1
12367	1
12386	1
12420	1
12425	1
12434	1
12438	1
12447	1
12448	1
12449	3
12450	625
12451	23
12452	25
12453	54
12454	11
12455	13
12456	15
12457	13
12458	3
12459	9
12460	15
12461	3
12462	12
12463	13
12464	2
12465	7
12466	4
12468	5
12469	1
12470	10
12471	1
12472	1
12473	2
12474	1
12476	1
12478	1
12479	1
12480	1
12482	2
12483	3
12485	1
12488	1
12495	1
12501	1
12519	1
12549	1
12561	1
12593	1
12744	1
12785	1
12849	1
13065	1
13276	2
13283	1
13287	1
13347	2
13350	1
13377	1
13388	1
13392	1
13442	1
13449	1
13455	1
13459	1
13493	1
13502	1
13507	1
