junction	Count
148_1307	3589
94_249	11
94_224	3
791_837	2
289_1139	13
1382_1458	3
591_882	2
996_1319	1
462_1139	1
610_935	178
751_825	5
209_273	1
460_592	2
976_1210	1
387_743	1
969_1307	5
305_394	1
469_827	1
1002_1077	2
260_1251	2
1075_1136	5
744_795	1
514_595	1
232_1281	1
1382_1564	3
536_699	2
752_805	1
460_882	5
190_243	1
1382_1507	16
852_1139	1
300_545	1
708_994	1
821_1139	1
991_1116	21
477_532	2
664_943	2
503_1171	1
782_843	1
1095_1154	2
1058_1192	1
260_653	1
35_80	6
825_1136	1
333_454	1
440_495	1
967_1129	1
581_935	3
645_829	1
744_829	1
1089_1139	1
141_1302	12
997_1054	2
280_960	1
260_1139	6
711_935	1
325_935	1
1002_1116	2
237_491	1
1089_1177	32
460_1154	8
350_485	1
1044_1154	1
460_1569	1
208_298	2
684_1523	1
439_960	1
664_789	2
715_818	1
397_935	1
439_1129	1
1059_1116	16
132_298	2
1080_1139	12
130_243	1
311_970	3
165_278	1
994_1154	3
272_1281	1
623_1077	1
190_331	1
35_243	2
990_1171	9
983_1108	1
462_579	1
260_429	1
325_492	1
199_298	1
1497_1576	1
581_689	1
1342_1480	1
715_875	3
477_752	1
460_960	10
289_635	1
94_184	1
11_441	1
143_1307	7
387_1154	1
1351_1480	1
546_596	1
440_1154	1
981_1103	1
1044_1206	2
11_352	3
1382_1523	4
35_193	2
143_1317	2
260_964	11
184_1364	1
318_912	1
215_1073	1
846_900	3
644_834	6
705_834	1
1401_1480	1
705_763	1
626_699	1
333_532	1
681_815	1
1353_1411	1
969_1281	7
141_1307	6
1111_1154	1
714_834	2
260_631	2
72_373	2
1008_1480	1
209_280	1
460_1281	1
750_1036	1
272_807	1
986_1154	1
576_670	1
453_951	1
199_1364	1
711_1210	1
141_218	1
14_373	1
439_1036	2
1098_1154	2
363_545	1
55_1171	1
141_1301	3
664_920	1
691_803	1
664_825	7
487_960	1
297_441	1
387_523	2
572_1083	1
260_1210	1
511_912	2
469_970	1
776_994	1
222_1307	4
387_441	6
626_729	1
774_827	1
589_1139	1
1090_1154	4
633_816	1
973_1245	1
309_398	1
681_1190	1
862_935	1
192_679	1
248_352	2
483_670	1
491_935	1
581_635	1
451_1171	1
1343_1396	1
19_241	1
657_818	1
862_1480	1
715_791	1
681_1458	1
715_831	1
83_249	1
1031_1101	1
141_193	2
28_74	2
1072_1154	1
428_592	2
203_1364	1
148_1319	9
1058_1154	11
975_1281	1
742_806	1
227_316	1
364_635	1
576_706	1
1024_1103	1
157_1307	1
409_523	3
825_876	1
460_523	1
681_1036	1
841_888	1
62_241	3
11_541	1
898_1319	1
418_529	1
687_1154	1
465_565	1
311_505	1
754_807	1
900_1307	5
536_604	1
341_416	1
1077_1136	1
744_935	2
594_635	1
1134_1281	7
72_127	1
644_805	1
260_420	1
576_631	1
851_960	1
156_1319	1
898_1281	1
761_1139	1
572_670	1
24_116	3
711_896	1
560_825	2
865_920	1
644_789	1
360_424	1
595_1154	1
1058_1129	1
248_318	1
460_614	1
687_1307	1
454_541	1
284_425	1
1333_1574	1
546_604	2
228_1307	2
260_447	2
141_1300	3
691_747	1
1108_1458	1
1002_1139	1
956_1139	1
72_1245	2
260_1249	3
1299_1566	2
1079_1129	9
260_395	1
224_1281	2
443_960	1
828_1129	4
973_1103	1
260_381	1
440_545	2
137_1307	3
132_1281	2
599_670	1
881_994	1
55_184	1
626_687	2
835_912	1
184_416	1
645_832	2
645_809	3
1007_1129	1
825_882	5
1074_1139	1
160_315	1
62_243	1
305_1206	1
871_935	3
570_935	1
1299_1378	1
14_116	1
460_1574	1
35_95	1
184_241	2
215_1281	3
610_953	1
260_323	1
560_670	2
507_776	1
975_1307	1
19_373	1
439_764	1
402_880	1
215_373	1
649_789	1
165_243	2
194_272	1
1004_1206	1
1368_1507	2
177_243	2
1089_1154	1
140_1307	2
184_243	2
681_1480	1
14_492	1
727_1036	1
465_970	2
715_767	1
309_373	1
718_834	1
177_398	1
218_1281	1
14_161	1
594_658	1
610_720	1
156_1307	1
581_786	1
272_331	1
1291_1411	1
83_204	1
755_1025	1
1201_1346	1
184_263	1
274_561	1
148_197	1
1080_1129	1
1134_1181	1
11_777	1
222_1496	1
209_1154	1
357_411	1
679_789	3
570_833	1
305_592	1
610_706	1
603_838	1
446_805	1
55_207	1
475_631	1
1288_1422	1
265_348	1
1471_1523	1
727_838	1
11_523	2
11_935	1
581_880	2
50_396	1
325_381	1
491_646	1
160_1319	3
24_697	1
727_818	1
691_1343	1
228_1281	2
679_834	2
1044_1319	1
32_184	1
829_1129	1
915_999	1
610_713	1
62_107	4
215_1307	2
385_648	1
148_1281	1
546_592	1
228_670	1
215_805	1
148_1325	1
141_476	1
475_563	1
944_1136	1
1218_1427	1
117_193	1
159_1319	1
691_833	1
105_1222	2
360_416	2
742_818	1
1044_1129	1
501_670	3
670_783	2
654_713	1
260_1177	1
1002_1263	1
43_101	1
214_416	1
289_514	1
260_1152	1
576_805	1
1108_1230	1
495_545	1
320_860	1
555_912	1
409_743	1
248_441	2
148_352	1
1149_1317	1
633_687	1
222_352	1
142_1307	6
654_699	1
167_545	1
447_818	2
645_786	3
900_1523	1
1368_1451	1
589_1241	1
453_935	1
1134_1480	1
984_1139	2
465_635	1
279_343	1
262_352	2
862_1171	1
747_1154	1
439_743	1
791_853	1
711_1343	1
1082_1171	1
645_831	1
387_491	1
722_999	1
664_733	2
325_379	1
669_789	1
531_686	1
664_777	1
742_912	1
612_789	1
1031_1193	1
55_293	1
143_193	1
645_880	1
232_1307	3
944_1103	1
330_545	2
305_1157	1
191_331	1
418_935	2
55_131	1
222_670	1
828_1319	1
1310_1384	1
1175_1271	1
915_959	1
184_1177	1
900_1154	1
626_815	2
55_249	3
980_1116	3
465_1177	1
72_118	1
1497_1548	1
78_243	1
224_752	1
633_871	1
536_584	1
717_877	1
28_90	1
224_900	1
184_262	1
715_830	2
615_699	1
289_342	1
136_1295	3
791_960	2
94_168	1
727_952	1
1089_1263	1
305_352	4
1332_1443	1
453_529	1
418_759	1
933_1116	1
418_477	1
298_679	1
