end_site	Count
1205	816
21638	1
1202	18
1200	15
25776	1
27849	2
25789	590
1190	9
1193	15
1204	30
21642	55
27893	730
25788	19
9390	7
27880	9
1186	1
911	1
27884	5
27865	2
27890	10
1198	14
224	1
27881	16
29786	52
1203	22
25586	1
21628	6
1201	17
25478	1
1187	10
148	1
162	2
21625	2
27869	3
25787	14
25678	1
1192	4
1189	1
1195	11
150	1
1191	2
23631	248
179	1
27883	6
1177	1
221	1
198	2
26764	2
25575	1
27889	2
21635	10
1185	1
1194	7
26826	4
27888	13
27632	1
25779	25
25746	1
13621	707
21637	3
883	1
25767	4
26855	21
11468	692
29770	2
22065	1
201	1
230	1
196	1
27891	17
1091	1
202	1
1199	17
216	1
25492	1
19677	1295
1184	1
1206	2
1196	6
27537	1
5358	258
25780	16
1212	3
25769	2
21634	12
25785	12
27886	14
27887	3
25783	4
1208	2
25784	3
1180	2
4261	679
21629	10
27879	2
27895	2
23611	2
1197	3
27882	5
25778	4
1163	1
25786	9
1207	3
1155	1
25772	2
27855	3
25762	1
25782	2
812	1
26853	27
20697	204
1182	2
29783	36
132	1
153	1
25777	2
21641	2
23618	6
27530	1
27875	3
212	1
27868	1
2265	215
11458	53
1096	1
1174	1
775	1
1045	1
889	1
1146	1
29006	487
2228	2
2264	6
2261	8
21598	1
2250	2
2256	9
2233	1
1287	1
1816	1
2254	5
2249	2
2257	4
19120	1
2263	9
2253	5
2246	1
1258	1
1255	1
1369	1
2201	1
2272	1
1770	1
2238	1
1776	1
2266	5
2260	3
2241	1
2262	3
2248	1
2225	1
2234	1
2259	4
2258	2
2239	1
2217	1
2212	1
3258	362
2245	1
3195	2
3251	12
3245	2
3233	1
3235	1
3193	2
3241	3
3230	5
3243	6
3238	1
3254	16
2396	1
3210	4
2320	2
3244	4
3179	1
3242	5
3253	6
3256	13
3257	4
3231	1
14620	5
3240	2
3249	5
2896	1
2303	1
3229	2
2411	1
2304	1
3248	4
2339	1
3255	8
3246	2
3259	3
3228	1
3198	2
3250	1
3209	2
3239	3
14636	28
3234	4
3199	1
3224	3
3042	1
3222	2
2370	1
3215	1
3219	1
2347	1
3184	1
3207	1
3218	1
3220	1
3157	1
3236	2
3139	1
3165	1
2957	1
3206	2
3214	1
3203	1
3213	1
3197	1
3247	1
4254	10
4260	112
4252	75
4251	22
4262	38
3498	3
4203	1
3365	1
3453	3
4259	7
4240	8
4245	10
4248	10
3345	3
4249	54
3295	1
4253	11
4250	10
4246	12
4247	3
4258	26
4210	2
4255	13
4227	4
4234	9
4238	3
4236	5
4239	4
4244	7
4257	5
3265	1
4237	5
3367	1
3292	1
3893	1
4263	7
3806	1
4229	7
4205	3
3697	1
4241	2
3459	1
22512	1
3930	2
4235	5
4242	4
4218	2
3325	1
26856	720
3334	1
3421	1
3917	1
4232	2
4231	2
3411	1
3626	1
4256	8
4243	9
4214	1
4219	3
4264	1
4225	2
4228	1
3635	1
3639	1
3290	1
10451	342
16712	5
4220	1
3454	1
4191	1
3366	1
3687	1
3446	1
17756	7
3376	1
4216	1
3349	1
3401	1
3422	1
3415	1
4050	2
12560	504
3615	1
3466	1
4224	1
4222	1
16720	455
5342	1
4331	1
5348	3
5339	1
5334	2
4546	1
5198	1
5357	6
4380	1
4626	2
5130	2
4427	1
5300	1
5338	1
5344	5
4327	1
5351	2
5355	5
5347	2
5356	3
5340	2
4440	1
5018	1
4365	1
4378	1
5331	1
4915	1
5291	2
5360	1
4369	1
4391	1
5005	1
5341	1
5170	1
5346	2
5323	1
4876	1
5343	1
6379	104
6393	1
5655	1
6349	1
6366	2
6369	1
6370	2
6368	1
6367	2
6376	4
6329	1
6377	9
5526	1
5404	1
5412	1
6378	6
5468	1
6341	1
7400	376
6375	1
6374	1
6320	1
6343	3
6372	2
6000	1
6334	1
6356	2
6229	1
6364	1
6344	3
26711	1
6339	1
6389	1
6143	1
5924	1
6325	1
6308	1
6321	1
6319	1
14640	759
17755	482
6346	1
15734	265
6873	1
7384	2
7395	8
7401	1
7389	6
7398	16
18702	18
7388	10
7397	19
6664	1
7354	1
6443	1
7399	12
7387	4
7385	8
6755	1
7391	2
7390	5
6529	1
7342	1
7383	4
6441	1
6550	1
7210	1
7396	18
7406	2
7263	1
7351	1
6582	1
7372	2
7377	3
6385	1
7378	1
7375	2
8994	1
7380	2
23624	1
7362	1
7133	1
7315	2
7393	1
7386	1
7394	1
7370	1
7356	1
8373	23
8384	473
8377	36
8381	10
8380	15
8379	16
8378	65
8338	1
7454	1
7430	1
8371	4
8366	3
8350	1
7576	1
7595	1
8382	1
8374	8
8383	3
7435	1
8318	2
8372	5
8370	3
7607	1
7466	1
8319	1
8369	2
7438	1
8368	3
8364	1
8348	2
8325	2
8304	1
8314	1
8347	1
8360	1
10439	1
